"ABBREVIATE_CHART_LABELS";"Abbreviate chart labels"
"reply";"Reply"
"repo";"Repository"
"repo_contains";"Repository contains:"
"repo_downloaded_from";"This Repository was downloaded from:"
"repo_id_no_exists";"This repository ID does not exist, please enter a valid one!"
"repo_info";"Repository Information"
"repo_linking";"Links from Repositories"
"repo_list";"Repository List"
"repo_name";"Repository Name:"
"repo_not_found";"Repository not found"
"report_engine";"Report Engine"
"report_titles_generated";"Report titles have been generated."
"report_titles_not_generated";"Report titles have not been generated."
"reports";"Reports"
"repos";"Repositories"
"repos_found";"Repositories found"
"requestaccount";"Request new user account"
"requestpassword";"Request new password"
"research_log";"ToDo's"
"reset";"Reset"
"reset_caches";"Reset all Genmod caches"
"reset_caches_ok";"Caches will be rebuilt at next use"
"reset_counters";"Reset Hit Counters"
"reset_default_blocks";"Reset to default blocks"
"reset_isdead";"Reset isdead status"
"resolution";"Screen Resolution"
"restart_setup";"Restart setup"
"restore_faq_edits";"Restore FAQ edit functionality"
"return_editconfig_gedcom";"You may return to this configuration at any time by clicking the link <b>Edit</b> in the <b>#gm_lang[current_gedcoms]#</b> table on the <b>#gm_lang[gedcom_adm_head]#</b> page or by pointing your browser to </i>editconfig_gedcom.php</i>.<br />"
"review_changes";"Review File Changes"
"review_changes_block";"Pending Changes"
"review_changes_body";"Online changes have been made to a genealogical database.  These changes need to be reviewed and accepted before they will appear to all users.  Please use the URL below to enter that Genmod site and login to review the changes."
"review_changes_descr";"The Pending Changes block will give users with Edit rights a list of the records that have been changed online and that still need to be reviewed and accepted.  These changes are pending acceptance or rejection.<br /><br />If this block is enabled, users with Accept rights will receive an email once a day notifying them that changes need to be reviewed."
"review_changes_email";"Send out reminder emails?"
"review_changes_email_freq";"Reminder email frequency (days)"
"review_changes_subject";"Genmod - Review changes"
"right_section";"Right Section Blocks"
"role";"Role"
"root_person";"Root Person ID"
"rootid";"Root Person for charts"
"rss_descr";"News and links from the #GEDCOM_TITLE# site"
"rss_feeds";"RSS Feeds"
"rss_logo_descr";"Feed created by Genmod"
"rtl";"Right to left"
"run_report";"View report"
"run_tools";"Do you want to run one of the following tools on your GEDCOM before it is imported:"
"same_ids";"You entered the same IDs.  You cannot merge the same records."
"saturday";"Saturday"
"saturday_1st";"Sa"
"save";"Save"
"save_and_import";"After you save this GEDCOM configuration you will need to import the GEDCOM by clicking the <b>Import GEDCOM</b> button or by going to <b>Admin->Manage GEDCOMs->Import</b>"
"save_changed_settings";"Save changes"
"save_config";"Save configuration"
"savedata";"Save changed data"
"savelang";"Save"
"sc_check";"Check"
"sc_check_components";"Check System Components"
"sc_check_gedtags";"Check for invalid GEDCOM-tags in the selected GEDCOMS"
"sc_check_invgeds";"Check for invalid GEDCOM ID's"
"sc_check_oldgeds";"Check tables for old GEDCOM ID's"
"sc_check_sys_settings";"Check PHP and MySQL settings"
"sc_cits";"Check for facts without source citation (families and individuals)"
"sc_cits_ok";"All facts have source citations."
"sc_dir_noaccess";"Cannot read directory. Check directory name and user rights for:"
"sc_double_fam_to_indi";"The following families have double references to the same individual"
"sc_double_indi_to_fam";"The following individuals have double references to the same family"
"sc_double_ok";"All references between individuals and families only exist once"
"sc_empty_fam";"The following families have no members:"
"sc_facttag";"GEDCOM tag:"
"sc_fam";"Family:"
"sc_fdatasize";"Total size of main file data:"
"sc_file";"File:"
"sc_fs_dirrw";"The following directories are found to be writable. You should change permissions for these directories to read only:"
"sc_fs_filesro";"The following files are found to be read only. You should change permissions for these files to read/write:"
"sc_fs_filesrw";"The following files are found to be writable. You should change permissions for these files to read only:"
"sc_fs_index";"Index directory and files"
"sc_fs_index_error";"Your index directory is not writable. Change permissions to read/write."
"sc_fs_languages";"Languages directory and files"
"sc_fs_languages_ro";"Your languages directory and files are not writable. You cannot use the translation facilities of Genmod."
"sc_fs_languages_rw";"Your languages directory and/or files are writable. This should only be in case you want to use the translation facilities of Genmod."
"sc_fs_main";"Root level directory and files"
"sc_fs_main_error";"Your root level directory is writable. Change permissions to read only."
"sc_fs_media";"Media directory and files"
"sc_fs_media_ro";"Your media directory is not writable. This should only be in case you do not use Genmod to upload multimedia files.<br />Directory:"
"sc_fs_media_rw";"Your media directory is writable. This should only be in case you use Genmod to upload multimedia files.<br />Directory:"
"sc_fs_other";"Other Genmod directories and files"
"sc_fs_security";"Check File system security"
"sc_fthumbsize";"Total size of thumb data:"
"sc_gd";"PHP graphical module"
"sc_gd_missing";"No PHP GD-module is found on your system. You will not be able to run graphical charts like the fanchart. You may ask your server's Administrator to install the graphical module."
"sc_ged_displ_unlinked";"Check for unlinked persons"
"sc_ged_nounlink";"No unlinked persons found."
"sc_ged_sets";"Check GEDCOM integrity"
"sc_ged_unlink";"The following unlinked persons are found:"
"sc_ged_unlinked_noselect";"Check for unlinked persons was not selected"
"sc_gedname";"Gedcom:"
"sc_hasno_cits";"The following records are missing a source citation"
"sc_haswrongfacts";"The following records have unrecognized GEDCOM tags:"
"sc_indi";"Individual:"
"sc_ini_faults";"The following differences have been found between required and actual settings. Please ask your server's Administrator to adjust these values."
"sc_ini_name";"PHP INI-setting: "
"sc_inv_aref";"The following individuals/families have a reference to a non existing associate/alias:"
"sc_inv_mref";"The following individuals have a reference to a non existing multimedia item:"
"sc_inv_mref_fam";"The following families have a reference to a non existing multimedia item:"
"sc_inv_mref_file";"The following reference from multimedia item to physical file are incorrect:"
"sc_inv_mref_repo";"The following repositories have a reference to a non existing multimedia item:"
"sc_inv_mref_sour";"The following sources have a reference to a non existing multimedia item:"
"sc_inv_noteref";"The following records have a reference to a non existing general note:"
"sc_inv_pointer";"Inconsistent references detected:"
"sc_inv_rref_sour";"The following sources have a reference to a non existing repository:"
"sc_inv_sref";"The following individuals have a reference to a non existing source:"
"sc_inv_sref_fam";"The following families have a reference to a non existing source:"
"sc_inv_sref_media";"The following multimedia items have a reference to a non existing source:"
"sc_low_value_found";"Lowest value found:"
"sc_media";"Multimedia item:"
"sc_mem";"PHP memory limit"
"sc_mem_low";"The memory setting limit for one or more of your GEDCOM files is set lower than the adviced value. You should adjust this in your GEDCOM settings. Nevertheless, the memory limit can also be set by your server's Administrator, thus overriding your maximum setting."
"sc_mysql";"MySQL version"
"sc_mysql_databases";"You should revoke the rights to show or access other databases than"
"sc_mysql_dbcreate";"You should revoke the right to create databases."
"sc_mysql_dbdrop";"You should revoke the right to drop databases."
"sc_mysql_low";"Your version of MySQL is too low to run Genmod properly. Please ask your server's Administrator to upgrade the MySQL installation."
"sc_mysql_user";"Minimum MySQL DB User rights"
"sc_mysql_user_obs";"Obsolete MySQL DB User rights"
"sc_mysql_users";"You should revoke the right to read the USER table."
"sc_no_backward_fam";"Families has no backward reference to this individual."
"sc_no_backward_indi";"Individual has no backward reference to this family."
"sc_no_fam";"No family with this ID exists for this individual."
"sc_no_indi";"No individual with this ID exists for this family."
"sc_no_inv_point";"No inconsistencies detected between families and individuals."
"sc_no_lock_rights";"The database user has no LOCK priviledges. This will have a negative effect on your import actions."
"sc_no_rights";"The database user for connecting to the MySQL database has insufficient rights. You should grant rights ONLY for the database in use by Genmod. The following rights should be granted for THIS database: SELECT, INSERT, UPDATE, DELETE, CREATE, ALTER, INDEX, DROP. For extra performance on import, also grant the LOCK priviledge."
"sc_nocheck_gedtags";"Check for invalid GEDCOM-tags was not selected"
"sc_nocits";"Check for source citations was not selected"
"sc_noref_sour_repo";"The following sources have no reference to a repository:"
"sc_not_set";"Not set"
"sc_nowrongfacts";"No GEDCOM tags found that are unknown to Genmod."
"sc_numchecked";"Number of files checked:"
"sc_numpoint_checked";"Number of references checked:"
"sc_numrecs_checked";"Checked:"
"sc_numrecs_found";"Found:"
"sc_ok";"OK"
"sc_ok_all_file";"All references from multimedia items to physical files are correct"
"sc_ok_all_mref";"All multimedia items are being referenced to."
"sc_ok_all_nref";"All general notes are being referenced to."
"sc_ok_all_rref";"All repositories are being referenced to."
"sc_ok_all_sref";"All sources are being referenced to."
"sc_ok_aref";"All references from individuals/families to associates/aliases are correct."
"sc_ok_empty_fam";"All families have at least one family member."
"sc_ok_mref";"All references from individuals to multimedia items are correct."
"sc_ok_mref_fam";"All references from families to multimedia items are correct."
"sc_ok_mref_repo";"All references from repositories to multimedia items are correct."
"sc_ok_mref_sour";"All references from sources to multimedia items are correct."
"sc_ok_noteref";"All references to notes are valid."
"sc_ok_order_fam";"All families have their children recorded in the right order."
"sc_ok_rref_sour";"All references from sources to repositories are correct."
"sc_ok_sour_repo_ref";"All sources have a reference to a repository."
"sc_ok_sref";"All references from individuals to sources are correct."
"sc_ok_sref_fam";"All references from families to sources are correct."
"sc_ok_sref_media";"All references from multimedia items to sources are correct."
"sc_ok_use_file";"All multimedia files are being referenced to."
"sc_oldged_actions";"Records exist in actions table for non-existent gedcom:"
"sc_oldged_blocks";"Records exist in blocks table for non-existent gedcom:"
"sc_oldged_cache";"Records exist in eventcache table for non-existent gedcom:"
"sc_oldged_changes";"Records exist in changes table for non-existent gedcom:"
"sc_oldged_dates";"Records exist in dates table for non-existent gedcom:"
"sc_oldged_fams";"Records exist in families table for non-existent gedcom:"
"sc_oldged_favs";"Records exist in favorites table for non-existent gedcom:"
"sc_oldged_gedconf";"Records exist in gedcom config table for non-existent gedcom:"
"sc_oldged_indichild";"Records exist in individual-child table for non-existent gedcom:"
"sc_oldged_indifamily";"Records exist in individual-family table for non-existent gedcom:"
"sc_oldged_indis";"Records exist in individuals table for non-existent gedcom:"
"sc_oldged_indispouse";"Records exist in individual-spouse table for non-existent gedcom:"
"sc_oldged_log";"Records exist in log table for non-existent gedcom:"
"sc_oldged_media";"Records exist in media table for non-existent gedcom:"
"sc_oldged_mediam";"Records exist in media mapping table for non-existent gedcom:"
"sc_oldged_names";"Records exist in names table for non-existent gedcom:"
"sc_oldged_news";"Records exist in news table for non-existent gedcom:"
"sc_oldged_ok";"All GEDCOM names and ID's in tables are valid"
"sc_oldged_other";"Records exist in other table for non-existent gedcom:"
"sc_oldged_otherm";"Records exist in other mapping table for non-existent gedcom:"
"sc_oldged_pl";"Records exist in placelinks table for non-existent gedcom:"
"sc_oldged_places";"Records exist in places table for non-existent gedcom:"
"sc_oldged_plot";"Records exist in plot cache table for non-existent gedcom:"
"sc_oldged_privacy";"Records exist in privacy table for non-existent gedcom:"
"sc_oldged_soundex";"Records exist in soundex table for non-existent gedcom:"
"sc_oldged_sources";"Records exist in sources table for non-existent gedcom:"
"sc_oldged_sourcesm";"Records exist in source mapping table for non-existent gedcom:"
"sc_oldged_stats";"Records exist in statscache table for non-existent gedcom:"
"sc_oldged_ug";"Records exist in users gedcom rights table for non-existent gedcom:"
"sc_oldgedclean_error";"Attempt to cleanup valid GEDCOM/GEDCOM-ID. Cleanup cancelled."
"sc_opt_cannot";"Cannot optimize tables: insufficient rights for DB user"
"sc_opt_tables";"MySQL table optimization"
"sc_opt_tables_done";"Tables are optimized now"
"sc_order_fam";"The following families may have their children recorded in the wrong order"
"sc_php";"PHP version"
"sc_php_ini";"PHP INI-file settings"
"sc_php_low";"Your version of PHP is too low to run Genmod properly. Please ask your server's Administrator to upgrade the PHP installation."
"sc_result";"Result"
"sc_role";"Role:"
"sc_sanity_check";"Genmod Sanity Check"
"sc_sanity_check_short";"Sanity Check"
"sc_start";"Start sanity check"
"sc_unu_file";"The following files are not being referenced to:"
"sc_unu_mref";"The following multimedia items are not being referenced to:"
"sc_unu_nref";"The following general notes are not being referenced to:"
"sc_unu_rref";"The following repositories are not being referenced to:"
"sc_unu_sref";"The following sources are not being referenced to:"
"sc_value_found";"Value found:"
"sc_value_req";"Value required:"
"sc_ver_found";"Version found:"
"sc_ver_req";"Version required:"
"sc_vfr_nodata";"File entry found with no data for"
"sc_vfr_nodir";"File entry found with no directory entry for"
"sc_vfr_nothumb";"File entry found with no thumb for"
"sc_vfr_ordata";"Orphaned filedata found for"
"sc_vfr_orthum";"Orphaned thumbdata found for"
"sc_vfs_sane";"The Virtual File System is healthy"
"sealed_father";"Sealed father"
"sealed_mother";"Sealed mother"
"sealed_parents";"with sealed parents"
"sealing";"Sealed"
"sealing_brother";"Sealed brother"
"sealing_child";"Sealed child"
"sealing_daughter";"Sealed daughter"
"sealing_sister";"Sealed sister"
"sealing_son";"Sealed son"
"search";"Search"
"search_DM";"Daitch-Mokotoff"
"search_asso_label";"Associates"
"search_asso_text";"Show related persons/families"
"search_fams";"Families"
"search_gedcom";"Search GEDCOM files"
"search_geds";"GEDCOMS to search in"
"search_general";"General search"
"search_indis";"Individuals"
"search_inrecs";"Search for"
"search_media";"Multimedia"
"search_more_chars";"Please enter more than one character"
"search_notes";"General Notes"
"search_options";"Search options"
"search_place";"Place"
"search_prtall";"All names"
"search_prthit";"Names with hit"
"search_prtnames";"Individuals'<br />names to print:"
"search_repos";"Repositories"
"search_russell";"Russell"
"search_sorton";"Sort results on"
"search_soundex";"Soundex search"
"search_soundextype";"Soundex type:"
"search_sources";"Sources"
"search_tagfilter";"Exclude Filter"
"search_tagfoff";"Off"
"search_tagfon";"Exclude some non-genealogical data"
"search_type";"Search type"
"search_year";"Year"
"searchtype";"Search type"
"sec";"sec."
"seconds";"&nbsp;&nbsp;seconds"
"security_no_create";"Security Warning: Could not create file <b><i>index.php</i></b> in "
"security_not_exist";"Security Warning: File <b><i>index.php</i></b> does not exist in "
"sel_location";"Move to"
"select";"Select"
"select_all";"Select all"
"select_an_option";"Select an option below:"
"select_date";"Select a date"
"select_deselect_all";"Select/Deselect all"
"select_fact";"Select a fact..."
"select_gedcom_records";"Select two GEDCOM records to merge.  The records must be of the same type."
"select_privacyfile_button";"Select privacy file"
"select_report";"Select report"
"selected_report";"Selected Report"
"send";"Send"
"sending_to";"This message will be sent to #TO_USER#"
"sep";"September"
"servant";"Servant"
"server_url_note";"This should be the URL to your Genmod folder.  You should only change this setting if you are sure you know what you are doing.  Genmod has determined this value to be <b>#GUESS_URL#</b>"
"set_link";"Set Link"
"sex";"Gender"
"show";"Show"
"show_actions";"Show ToDo items"
"show_age";"Show Age Marker"
"show_basic";"Print basic events when blank?"
"show_changes";"This record has been updated.  Click here to show changes."
"show_contexthelp";"Show Contextual Help"
"show_cousins";"Show cousins"
"show_details";"Show Details"
"show_dir";"Show Directory"
"show_empty_block";"Should this block be hidden when it is empty?"
"show_events";"Show Events"
"show_gedrec_-1";"Never"
"show_gedrec_0";"To all users and visitors"
"show_gedrec_1";"To users with at least access rights"
"show_gedrec_2";"To users with at least edit rights"
"show_gedrec_3";"To users with at least approve changes rights"
"show_gedrec_4";"To users with at least manage GEDCOM rights"
"show_gedrec_5";"Only to site administrators"
"show_last";"Show last"
"show_links";"Show Links"
"show_next_id";"Show next free ID's"
"show_notes";"Show notes?"
"show_path";"Show path"
"show_photos";"Show photos?"
"show_phpinfo";"Show PHP information page"
"show_place_hierarchy";"Show Places in Hierarchy"
"show_place_list";"Show All Places in a List"
"show_question";"Show?"
"show_sections";"Sections to show"
"show_spouses";"Show spouses"
"show_status";"Show ToDo's with status:"
"show_surnames";"Show Surname lists"
"show_thumbnail";"Show thumbnails"
"showcal";"Show events of:"
"sibling";"Sibling"
"siblings";"Sibling"
"sister";"Sister"
"sister-in-law";"Sister-in-law"
"site_config";"Site configuration for"
"site_default";"Site Default"
"site_name";"Site Name to remove"
"siteadmin";"Site administrator"
"size";"Size"
"skip_cleanup";"Skip Cleanup"
"skip_surnames";"Skip Surname lists"
"slk_list";"EXCEL SLK list"
"son";"Son"
"son-in-law";"Son-in-law"
"sorry";"<b>Sorry, Help text for this page or item is not yet available.</b>"
"sort_by";"Sort by"
"sort_by_birth";"Sort by birth dates"
"sort_by_marriage";"Sort by marriage date"
"sort_by_person";"Sort list by relation"
"sort_by_repo";"Sort list by repository name"
"sort_on_linked";"Sort on linked"
"sort_on_name";"Sort on name"
"sort_on_size";"Sort on size"
"sosa_10";"Great-grandfather"
"sosa_11";"Great-grandmother"
"sosa_12";"Great-grandfather"
"sosa_13";"Great-grandmother"
"sosa_14";"Great-grandfather"
"sosa_15";"Great-grandmother"
"sosa_16";"Great-great-grandfather"
"sosa_17";"Great-great-grandmother"
"sosa_18";"Great-great-grandfather"
"sosa_19";"Great-great-grandmother"
"sosa_2";"Father"
"sosa_20";"Great-great-grandfather"
"sosa_21";"Great-great-grandmother"
"sosa_22";"Great-great-grandfather"
"sosa_23";"Great-great-grandmother"
"sosa_24";"Great-great-grandfather"
"sosa_25";"Great-great-grandmother"
"sosa_26";"Great-great-grandfather"
"sosa_27";"Great-great-grandmother"
"sosa_28";"Great-great-grandfather"
"sosa_29";"Great-great-grandmother"
"sosa_3";"Mother"
"sosa_30";"Great-great-grandfather"
"sosa_31";"Great-great-grandmother"
"sosa_32";"Great-great-great-grandfather"
"sosa_33";"Great-great-great-grandmother"
"sosa_34";"Great-great-great-grandfather"
"sosa_35";"Great-great-great-grandmother"
"sosa_36";"Great-great-great-grandfather"
"sosa_37";"Great-great-great-grandmother"
"sosa_38";"Great-great-great-grandfather"
"sosa_39";"Great-great-great-grandmother"
"sosa_4";"Grandfather"
"sosa_40";"Great-great-great-grandfather"
"sosa_41";"Great-great-great-grandmother"
"sosa_42";"Great-great-great-grandfather"
"sosa_43";"Great-great-great-grandmother"
"sosa_44";"Great-great-great-grandfather"
"sosa_45";"Great-great-great-grandmother"
"sosa_46";"Great-great-great-grandfather"
"sosa_47";"Great-great-great-grandmother"
"sosa_48";"Great-great-great-grandfather"
"sosa_49";"Great-great-great-grandmother"
"sosa_5";"Grandmother"
"sosa_50";"Great-great-great-grandfather"
"sosa_51";"Great-great-great-grandmother"
"sosa_52";"Great-great-great-grandfather"
"sosa_53";"Great-great-great-grandmother"
"sosa_54";"Great-great-great-grandfather"
"sosa_55";"Great-great-great-grandmother"
"sosa_56";"Great-great-great-grandfather"
"sosa_57";"Great-great-great-grandmother"
"sosa_58";"Great-great-great-grandfather"
"sosa_59";"Great-great-great-grandmother"
"sosa_6";"Grandfather"
"sosa_60";"Great-great-great-grandfather"
"sosa_61";"Great-great-great-grandmother"
"sosa_62";"Great-great-great-grandfather"
"sosa_63";"Great-great-great-grandmother"
"sosa_7";"Grandmother"
"sosa_8";"Great-grandfather"
"sosa_9";"Great-grandmother"
"soundex_search";"Search the way you think the name is written (Soundex):"
"sour_linking";"Links from Sources"
"source";"Source"
"source_complete";"Source Index file update complete."
"source_contains";"Source contains:"
"source_downloaded_from";"This Source was downloaded from:"
"source_id_no_exists";"This source ID does not exist, please enter a valid one!"
"source_info";"Source Information"
"source_list";"Source List"
"source_menu";"Options for source"
"source_name";"Source Name:"
"source_not_found";"Source not found"
"sources";"Sources"
"sources_found";"Sources Found"
"spouse";"Spouse"
"spouse-family";"Spouse and children"
"ssourcess";"Sources"
"standard_conf";"Standard Configuration Options"
"start_at_parents";"Start at parents"
"starts_with";"Starts with:"
"stat_10_none";"none"
"stat_11_mb";"Month of birth"
"stat_12_md";"Month of death"
"stat_13_mm";"Month of marriage"
"stat_14_mb1";"Month of birth of first child in a relation"
"stat_15_mm1";"Month of first marriage"
"stat_16_mmb";"Months between marriage and first child."
"stat_17_arb";"Age related to birth year."
"stat_18_ard";"Age related to death year."
"stat_19_arm";"Age in year of marriage."
"stat_200_none";"all (or blank)"
"stat_201_num";"Numbers"
"stat_202_perc";"Percentage"
"stat_20_arm1";"Age in year of first marriage."
"stat_21_nok";"Number of children."
"stat_300_none";"None"
"stat_301_mf";"Male/female"
"stat_302_cgp";"Periods. Check tickvalues for periods z-axis"
"stat_average_children";"Average number of children per family"
"stat_avg_age_at_death";"Average age at death"
"stat_earliest_birth";"Earliest Birth Year"
"stat_events";"Total events"
"stat_families";"Families"
"stat_gax";"check tickvalues for ages"
"stat_gmx";"check tickvalues for months"
"stat_gnx";"check tickvalues for numbers"
"stat_individuals";"Individuals"
"stat_latest_birth";"Latest Birth Year"
"stat_longest_life";"Person who lived the longest"
"stat_media";"Multimedia Objects"
"stat_most_children";"Family with the most children"
"stat_other";"Other Records"
"stat_ro";"Read Only"
"stat_rw";"Read/Write"
"stat_sources";"Sources"
"stat_surnames";"Total surnames"
"stat_users";"Total users"
"statar_xga";"Tickvalues for numbers (x-axis):"
"statar_xgl";"Tickvalues for ages    (x-axis):"
"statar_xgm";"Tickvalues for months  (x-axis):"
"statar_xgp";"Tickvalues for periods (x-axis):"
"statar_zgp";"Tickvalues for periods (z-axis):"
"statistics";"Statistics"
"statistiek_list";"Statistics Plot"
"statlxa";"Along x-axis:"
"statlya";"Along y-axis:"
"statlza";"Along z-axis"
"statmess1";"<b>Just fill in next rows related to earlier settings on x-axis or z-axis</b>"
"statnfam";"Number of families"
"statnfemale";"Number of females"
"statnmale";"Number of males"
"statnnames";"Number of names"
"statreset";"Reset"
"stats_to_show";"Select the stats to show in this block"
"statsubmit";"Show the plot"
"status";"Status"
"statutci";"unable to create index"
"statvars";"Fill in the following variables for the plot"
"step1";"Step 1 of 4:"
"step2";"Step 2 of 4:"
"step3";"Step 3 of 4:"
"step4";"Step 4 of 4:"
"stepbrother";"Step-Brother"
"stepdad";"Step-Father"
"stepfamily";"Step Family"
"stepmom";"Step-Mother"
"stepsister";"Step-Sister"
"still_living_error";"This person is still living or does not have a birth or death date recorded.	All details of living persons are hidden from public view.<br />For more information contact"
"stillborn";"Stillborn"
"stpl";"..."
"stplGDno";"Graphics Display Library is not available in PHP 4. Please contact your system administrator"
"stplage";"age"
"stplgzas";"borders z-axis:"
"stplinfo";"plotting information:"
"stplipot";"/ timeperiod"
"stpljpgraphno";"JpGraph modules are not available in directory <i>genmod/modules/jpgraph/</i>. More information about this module may be found in the modules/readme.txt file or in the Genmod forum. Please get them from http://jpgraph.net/download/<br /> <h3>First install JpGraph in directory <i>genmod/modules/jpgraph/</i></h3><br />"
"stplmarrbirth";"Months between marriage and birth of first child"
"stplmf";"/ man-woman"
"stplmonth";"month"
"stplnoim";"not implemented:"
"stplnum";"numbers"
"stplnumbers";"numbers for a family"
"stplnumof";"Counts "
"stplperc";"percentage"
"stpltype";"type:"
"subm";"SUBMITTER"
"submitter";"Submitter"
"submitter_record";"Submitter record"
"subtractions";"Subtractions"
"suffix";"Suffix:"
"sunday";"Sunday"
"sunday_1st";"Su"
"support_contact";"Technical help contact"
"surname";"Surname:"
"surnames";"Surnames"
"switch_functions";"Switch functions"
"sync_gedcom";"Synchronize User Settings with GEDCOM Data"
"sync_mailsource";"Generated from user information by Genmod"
"syslog";"System Log"
"system_configuration_updated";"System configuration updated successfully."
"system_time";"Current System Time:"
"tables_exist";"Genmod tables already exist in the database"
"temple";"LDS Temple"
"temple_code";"LDS Temple Code:"
"text";"Source Text:"
"text_direction";"Text direction"
"thankyou";"Hello #user_fullname# ...<br />Thank you for your registration"
"theme_select_block";"Theme Select"
"theme_select_descr";"The Theme Select block displays the Theme selector even when the Change Theme feature is disabled."
"this_family";"This family"
"this_individual";"This individual"
"this_media";"This media object"
"this_note";"This note"
"this_repository";"This repository"
"this_source";"This source"
"thishelp_add_text";"Add an English helptext for this topic"
"thishelp_add_trans";"Add a translation for this help text"
"thishelp_edit_trans";"Edit this help text"
"thumb_genned";"Thumbnail #thumbnail# generated automatically."
"thumb_options";"Thumbnail options"
"thumbgen_error";"Thumbnail #thumbnail# could not be generated automatically."
"thumbnail";"Thumbnail"
"thumbnail_deleted";"Thumbnail file successfully deleted."
"thumbnail_not_deleted";"Thumbnail file could not be deleted."
"thumbs_deleted";"Thumbnail directory successfully removed."
"thumbs_not_deleted";"Thumbnail directory not removed."
"thursday";"Thursday"
"thursday_1st";"Th"
"time_format";"Time format"
"time_limit";"Time limit:"
"timeline_chart";"Timeline Chart"
"timeline_instructions";"In most recent browsers you can click and drag the boxes around on the chart."
"timeline_title";"Genmod Timeline"
"timeout_error";"The script timed out before a relationship could be found."
"title";"Title"
"titles_found";"Titles"
"to";"to"
"to_family";"To Family"
"to_person";"To Person"
"to_source";"To Source"
"today";"Today"
"todays_events_block";"On This Day"
"todays_events_descr";"The On This Day, in Your History... block shows anniversaries of events for today.  You can configure the amount of detail shown."
"todo";"ToDo"
"tools_readme";"See the Tools section of the #README.TXT# file for more information."
"top";"Top"
"top10_botviews";"Most Viewed Items by robots"
"top10_botviews_descr";"This block will show the 10 records that have been viewed the most by robots.  This block requires that Hit Counters be enabled in the GEDCOM configuration settings."
"top10_pageviews";"Most Viewed Items"
"top10_pageviews_block";"Most Viewed Items"
"top10_pageviews_descr";"This block will show the 10 records that have been viewed the most.  This block requires that Hit Counters be enabled in the GEDCOM configuration settings."
"top10_pageviews_msg";"The counters must be enabled in the GEDCOM configuration for this block to work."
"top10_pageviews_nohits";"There are currently no hits to show."
"top_level";"Top Level"
"total_actions";"Total ToDo's"
"total_dead";"Total dead"
"total_fams";"Total families"
"total_indis";"Total individuals"
"total_living";"Total living"
"total_media";"Total Media Objects"
"total_memory_usage";"Total Memory Usage:"
"total_messages";"Total number of messages:"
"total_names";"Total Names"
"total_not_born";"Total not yet born"
"total_notes";"Total Notes"
"total_places";"Places found"
"total_privacy_checks";"Total privacy checks: "
"total_queries";"Total Database Queries: "
"total_repositories";"Total Repositories"
"total_sources";"Total Sources"
"total_unic_places";"Total Unique Places"
"translation_forum";"Genmod Translations forum on Genmod.net"
"translation_forum_desc";"This <a href="http://www.sourceforge.net/projects/genmod" target=_blank><b>link</b></a> opens a new browser window.  You will be redirected to the Translations forum of Genmod, where you can discuss translation topics."
"translator_tools";"Translator tools"
"tuesday";"Tuesday"
"tuesday_1st";"Tu"
"twin";"Twin"
"twin_brother";"Twin brother"
"twin_sister";"Twin sister"
"type";"Type"
"type_audio";"Audio"
"type_book";"Book"
"type_card";"Card"
"type_electronic";"Electronic"
"type_fiche";"Fiche"
"type_film";"Film"
"type_magazine";"Magazine"
"type_manuscript";"Manuscript"
"type_map";"Map"
"type_newspaper";"Newspaper"
"type_photo";"Photo"
"type_tombstone";"Tombstone"
"type_video";"Video"
"um_actions";"ToDo's"
"um_backup";"Backup"
"um_bu_actions";"ToDo's"
"um_bu_config";"Genmod Configuration File, Include Files and Lockout tables"
"um_bu_explain";"This tool can make a backup of several kinds of data in Genmod.<br /><br />The data you choose to back up will be gathered into a ZIP file, which you can download by clicking the link at the bottom of the page, after the backup has been successfully made.<br /><br />The ZIP file will remain in your Index directory until you remove it manually.<br />"
"um_bu_gedcoms";"GEDCOM Files"
"um_bu_gedsets";"GEDCOM Settings, Configuration and Privacy files"
"um_bu_lang";"Language settings and language extension files"
"um_bu_logs";"GEDCOM Logs, SearchLogs, Genmod Logs and hitcounters"
"um_bu_media";"Backup mediafiles in use by Genmod"
"um_bu_mypages";"MyPages"
"um_bu_usinfo";"User definitions, Block settings, Favorites, Messages, News"
"um_creating";"Creating"
"um_export";"Export"
"um_file_create_fail1";"Creation of new file failed, a file with that name already exists:"
"um_file_create_fail2";"Cannot create"
"um_file_create_fail3";"Check access rights on this directory."
"um_file_create_succ1";"Creation of new file successful:"
"um_file_not_created";"File is not created."
"um_files_exist";"One or more files already exist. Do you want to overwrite them?"
"um_header";"User Information Migration tool"
"um_imp_blocks";"Importing blocks"
"um_imp_fail";"Import failed"
"um_imp_favorites";"Importing favorites"
"um_imp_messages";"Importing messages"
"um_imp_news";"Importing news"
"um_imp_succ";"Import successful"
"um_imp_users";"Importing users"
"um_import";"Import"
"um_mediaexp";"Media is exported to the physical filesystem, in your media directory. You must remove these files manually after creating the backup."
"um_mk_bu";"Make Backup"
"um_mk_res";"Start Restore"
"um_noaction";"No action is required to migrate user information to SQL mode.<br /><br />Once switched to SQL mode, you need to restart the User Migration tool to import all data into the SQL database.  Genmod will use existing files from Index mode.<br /><br /><b>Do <u>not</u> remove <i>authenticate.php</i> and <i>.dat</i> files from your index directory while switching.</b><br />"
