"stat_sources";"Fuentes"
"review_readme";"Debería repasar primero el archivo <a href="readme.txt" target="_blank">readme.txt</a> antes de continuar configurando Genmod.<br /><br />Puede volver a esta configuración en cualquier momento señalando en su navegador al archivo configure.php.<br /><br />Puede conseguir ayuda para cada item seleccionando el símbolo "?" que aparece en cada celda."
"save_config";"Salvar Configuración"
"download_here";"Pulse aquí para descargar el archivo."
"download_gedconf";"Descargar configuración del GEDCOM."
"not_writable";"Se ha detectado que su archivo de configuración no se puede reescribir por PHP.  Puede utilizar el botón de descarga para guardar el archivo en su ordenador, editarlo con su configuración y subirlo de nuevo."
"download_file";"Descargar archivo"
"upload_to_index";"Subir archivo al directorio index: "
"edit_privacy";"Editar privacidad"
"edit_privacy_title";"Editar Ajustes de Privacidad del GEDCOM"
"PRIV_PUBLIC";"Todo el mundo"
"PRIV_USER";"Sólo usuarios registrados"
"PRIV_NONE";"Sólo administradores"
"PRIV_HIDE";"Suprimir acontecimiento"
"save_changed_settings";"Salvar cambios"
"add_new_pp_setting";"Añadir privacidad a un ID"
"add_new_up_setting";"Añadir privacidad a un Usuario"
"add_new_gf_setting";"Añadir privacidad global a un Acontecimiento"
"add_new_pf_setting";"Añadir nueva privacidad a un Acontecimiento"
"add_new_pf_setting_indi";"Añadir privacidad a un Acontecimiento de una Persona "
"add_new_pf_setting_source";"Añadir privacidad a un Acontecimiento de una Fuente "
"privacy_indi_id";"Persona - ID"
"privacy_source_id";"Fuente - ID"
"privacy_indi_source";"Persona / Fuente"
"privacy_indi";"Persona"
"privacy_source";"Fuente"
"file_read_error";"E R R O R !!! No se pudo leer el archivo de privacidad!"
"edit_exist_person_privacy_settings";"Editar privacidad de un ID"
"edit_exist_user_privacy_settings";"Editar privacidad de un Usuario"
"edit_exist_global_facts_settings";"Editar privacidad global de un Acontecimiento"
"edit_exist_person_facts_settings";"Editar privacidad de un Acontecimiento"
"accessible_by";"Visible por"
"hide";"No"
"show_question";"Mostrar"
"user_name";"Nombre usuario"
"name_of_fact";"Nombre acontecimiento"
"choice";"Elegir"
"fact_show";"Ver acontecimiento"
"fact_details";"Ver detalles del Acont."
"privacy_header";"Editar privacidad"
"unable_to_find_privacy_indi";"No fue posible encontrar una persona con el ID"
"save_and_import";"Después de guardar la configuración para este GEDCOM, necesitará importar el archivo haciendo clic en el botón <b>Importar GEDCOM</b> o yendo a <b>Admin.->Administrar GEDCOMs->Importar</b>"
"help_info";"Puede obtener ayuda para cada opción haciendo clic en el signo de interrogación rojo "?" a la derecha de cada enunciado."
"SHOW_LIVING_NAMES";"Ver nombres de vivos"
"SHOW_RESEARCH_LOG";"Ver panel investigación"
"USE_RELATIONSHIP_PRIVACY";"Utilizar privacidad en parentesco"
"MAX_RELATION_PATH_LENGTH";"Max. largo del camino"
"CHECK_MARRIAGE_RELATIONS";"Verificar parentesco por matrimonio"
"SHOW_DEAD_PEOPLE";"Ver fallecidos"
"edit_langdiff";"Editar y Configurar archivos de Idiomas"
"edit_lang_utility";"Herramienta para Edición de Idiomas"
"language_to_edit";"Idioma a editar"
"file_to_edit";"Tipo de archivo a editar"
"lang_save";"Guardar"
"contents";"Contenidos"
"listing";"Lista"
"no_content";"No hay contenido"
"original_message";"Mensaje original"
"message_to_edit";"Mensaje a editar"
"changed_message";"Cambio realizado"
"message_empty_warning";"-> Atención!!! Este mensaje está vacío en [#LANGUAGE_FILE#] <-"
"language_to_export";"Idioma a exportar"
"export_lang_utility";"Exportar un archivo de idioma"
"export";"Exportar"
"export_ok";"Mensajes de ayuda exportados"
"compare_lang_utility";"Comparación de archivos de idioma"
"new_language";"Nuevo idioma"
"old_language";"Idioma anterior"
"compare";"Compare"
"comparing";"Archivos de idiomas se comparan"
"additions";"Añadidos"
"no_additions";"No hubo añadidos"
"subtractions";"Supresiones"
"no_subtractions";"No hubo supresiones"
"config_lang_utility";"Configuración de idiomas"
"active";"Activar"
"edit_settings";"Editar preferencias"
"lang_edit";"Editar"
"lang_language";"Idioma"
"export_filename";"Nombre del archivo con los datos de exportación:"
"lang_back";"Regresar al menú principal para editar y configurar los archivos de idiomas"
"lang_back_admin";"Regresar al menú de Administración."
"lang_name_chinese";"Chino"
"lang_name_danish";"Danés"
"lang_name_dutch";"Alemán"
"lang_name_english";"Inglés"
"lang_name_french";"Francés"
"lang_name_german";"Germano"
"lang_name_hebrew";"Hebreo"
"lang_name_italian";"Italiano"
"lang_name_norwegian";"Noruego"
"lang_name_polish";"Polaco"
"lang_name_portuguese";"Portugués"
"lang_name_portuguese_br";"Portugués Brasileño"
"lang_name_russian";"Ruso"
"lang_name_spanish";"Español"
"lang_name_spanish_ar";"Español Latino Americano"
"lang_name_swedish";"Sueco"
"lang_name_turkish";"Turco"
"original_lang_name";"Nombre original del idioma en #D_LANGNAME#"
"lang_shortcut";"Atajo para archivos de idiomas"
"flagsfile";"Nombre archivo banderas"
"text_direction";"Dirección texto"
"date_format";"Formato fecha"
"week_start";"Comienzo semana"
"name_reverse";"Primero apellido"
"ltr";"Izquierda a derecha"
"rtl";"Derecha a izquierda"
"file_does_not_exist";"ERROR! El archivo no existe..."
"alphabet_upper";"Alfabeto Mayúsculas"
"alphabet_lower";"Alfabeto minúsculas"
"lang_config_write_error";"Error escribiendo los ajustes del idioma en el archivo [language_settings.php]. Chequee los permisos e inténtelo de nuevo."
"translation_forum";"Enlace a foro Genmod de traducciones en SourceForge"
"system_time";"Tiempo del sistema:"
"gedcom_not_imported";"Este GEDCOM no ha sido importado todavía."
"lang_set_file_read_error";"E R R O R !!! No se pudo leer el [language_settings.php]!"
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
