"ABBREVIATE_CHART_LABELS";"Afgekorte veldtitels"
"hs_searchhow";"Woordcombinatie:"
"hs_searchin";"Zoek in:"
"hs_searchsentence";"Exacte zin"
"hs_searchuser";"Help voor gebruikers"
"hs_title";"Zoeken in helpteksten"
"html_block_descr";"Dit is een eenvoudig HTML-tekstvak waarin u uw eigen tekst kunt plaatsen."
"html_block_name";"HTML-tekstvak"
"html_block_sample_part1";"<p class="blockhc"><b>Plaats hier de titel</b></p>rn<p>Klik op de knop "Instellen""
"html_block_sample_part2";"om aan te passen wat hier is weergegeven.</p>"
"html_reports";"HTML rapporten"
"husb_present";"Dit gezin heeft al een mannelijke partner."
"husband";"Echtgenoot"
"husband_added";"Mannelijke partner is toegevoegd."
"id";"ID"
"illegal_chars";"Ongeldige karakters in de naam"
"image_format";"Type afbeelding"
"image_size";"Afmetingen afbeelding"
"imageview";"Afbeelding bekijken"
"import_complete";"Import gereed"
"import_gedcom";"Importeer dit GEDCOM-bestand"
"import_marr_names";"Importeren achternamen in huwelijk"
"import_multiple";"werken met meerdere GEDCOM-bestanden"
"import_options";"Importopties"
"import_progress";"Voortgang importeren...."
"import_sql";"Er zijn SQL bestanden gevonden in uw index-map. Omdat deze afkomstig kunnen zijn van "Migreren gebruikersinformatie", heeft u hier de mogelijkheid om de informatie te importeren in uw database. Wilt u nu proberen deze bestanden te importeren? Alle bestaande gebruikersinformatie(gebruiker, nieuws, boodschappen, vak-indelingen en favorieten) gaat verloren.<br /><br />Als u doorgaat, zal Genmod trachten om de gegevens te importeren. Als dit niet succesvol verloopt, zal u worden gevraagd om een Administrator account aan te maken.<br /><br />"
"import_statistics";"Importeren statistieken"
"import_time_exceeded";"De maximale uitvoeringstijd is bereikt. Druk op de knop "Doorgaan" om de import van het GEDCOM-bestand voort te zetten."
"import_warn";"De volgende talen zijn gewijzigd en moeten opnieuw geïmporteerd worden:"
"importing_dates";"Bezig met importeren datums"
"importing_places";"Bezig met importeren locaties"
"importing_records";"Toevoegen records aan de database"
"in";"in "
"in_this_month";"In deze maand, in het verleden..."
"in_this_year";"In dit jaar, in het verleden...."
"inc_languages";"Talen"
"inc_themes";"Thema's"
"ind_evt_report";"Persoonsgebeurtenissen (datum en locatie)"
"indevtdate1";"Startdatum gebeurtenissen"
"indevtdate2";"Einddatum gebeurtenissen"
"indevtplace";"Locatie bevat"
"index_complete";"Indexeren gereed."
"index_edit_advice";"Selecteer een vaknaam en klik op een van de pijlen om het vak in de aangegeven richting te verplaatsen."
"index_header";"Kwartierstaat"
"indi_complete";"Persoonsindex voltooid"
"indi_downloaded_from";"Deze persoon is gedownload van:"
"indi_id_no_exists";"Dit persoons-ID bestaat niet, voer een geldige in!"
"indi_info";"Persoonsinformatie"
"indi_linking";"Links van personen"
"indis_charts";"Opties voor persoon"
"indis_with_fistname_letter";"Personen met voornaam beginnend met #letter#"
"indis_with_surname";"Personen met achternaam #surname#"
"indis_with_surname_letter";"Personen met achternaam beginnend met #letter#"
"individual";"Persoon"
"individual_list";"Personen"
"individual_list_report";"Lijst personen"
"individual_report";"Persoon"
"individuals";"Personen"
"infant";"Kind"
"informant";"Informant"
"information";"Informatief bericht"
"inject_media_tool";"Multimedia toevoegen aan GEDCOM-bestand"
"int";"afgeleid"
"invalid_birthfams";"Een kind kan met slechts één gezin een geboorterelatie hebben. Geen aanpassingen gemaakt."
"invalid_dates";"Ongeldig datumformaat gevonden. Bij het opschonen worden deze datums gewijzigd in het formaat DD MMM YYYY (bijvoorbeeld 1 JAN 2004)."
"invalid_email";"Voer een geldig e-mailadres in"
"invalid_file";"Ongeldige tekens in map/bestandsnaam"
"invalid_gedformat";"Ongeldig GEDCOM 5.5 formaat"
"invalid_header";"GEDCOM-regels aanwezig voor de kopregel (0 HEAD). Deze worden bij het opschonen verwijderd."
"invalid_id";"Dit ID bestaat niet in deze genealogie."
"invalid_ip";"Ongeldig IP-adresformaat"
"invalid_order";"De aangegeven volgorde is niet juist. Geen aanpassingen gemaakt."
"invalid_search_input";"Jaar wordt alleen gebruikt in combinatie met een achternaam, voornaam of locatienaam."
"invalid_user";"Gebruikersnaam bestaat niet"
"invalid_username";"De gebruikersnaam bevat ongeldige tekens"
"ip_address";"IP adres"
"is_alive_in";"Is in leven in #YEAR#"
"is_rawedited";"Deze gegevens zijn gewijzigd met behulp van "Wijzig GEDCOM-gegevens". Wijzigingen worden mogelijk niet correct getoond."
"item_with_id";"Item met ID"
"jan";"januari"
"jewish";"Joods"
"jewish_and_gregorian";"Joods en Gregoriaans"
"jul";"juli"
"julian";"Juliaans"
"jun";"juni"
"just_family";"Voeg alleen dit gezin toe."
"just_person";"Voeg alleen deze persoon toe."
"landscape";"Liggend"
"lang_back";"Terug naar het Hoofdmenu om taalbestanden te wijzigen en te configureren"
"lang_back_admin";"Terug naar menu Beheer"
"lang_back_manage_gedcoms";"Terug naar menu Beheer GEDCOM-bestanden"
"lang_config_write_error";"Fout bij het wegschrijven van de taalinstellingen in het bestand  [language_settings.php]. Controleer de schrijfrechten en probeer het opnieuw."
"lang_debug";"Helptekst foutzoeken"
"lang_debug_desc";"Als u deze optie aanzet, worden de namen van de taalvariabelen die in de helptekst worden gebruikt, in het popup-venster getoond. Dit helpt vertalers om de naam van de variabele te bepalen, als de tekst moet worden aangepast.<br /><br />Deze optie blijft alleen gedurende uw huidige Genmod-sessie aanstaan."
"lang_debug_use";"Gebruik optie foutzoeken in helptekst "
"lang_edit";"Wijzig"
"lang_file_write_error";"F O U T !!!<br /><br />De wijzigingen kunnen niet in het geselecteerde taalbestand worden weggeschreven!<br />Controleer de schrijfrechten op (#lang_filename#)|"
"lang_filenames";"Taalbestand"
"lang_langcode";"Taaldetectiecodes"
"lang_language";"Taal"
"lang_name_arabic";"Arabisch"
"lang_name_chinese";"Chinees"
"lang_name_czech";"Tsjechisch"
"lang_name_danish";"Deens"
"lang_name_dutch";"Nederlands"
"lang_name_english";"Engels"
"lang_name_finnish";"Fins"
"lang_name_french";"Frans"
"lang_name_german";"Duits"
"lang_name_greek";"Grieks"
"lang_name_hebrew";"Hebreeuws"
"lang_name_hungarian";"Hongaars"
"lang_name_italian";"Italiaans"
"lang_name_lithuanian";"Litouws"
"lang_name_norwegian";"Noors"
"lang_name_polish";"Pools"
"lang_name_portuguese";"Portugees"
"lang_name_portuguese_br";"Portugees (Brazilië)"
"lang_name_russian";"Russisch"
"lang_name_spanish";"Spaans"
"lang_name_spanish_ar";"Spaans (Latijns-Amerikaans)"
"lang_name_swedish";"Zweeds"
"lang_name_turkish";"Turks"
"lang_name_vietnamese";"Vietnamees"
"lang_new_language";"Nieuwe taal"
"lang_save";"Opslaan"
"lang_set_file_read_error";"F O U T !!! Kan het bestand [language_settings.php] niet lezen!"
"lang_shortcut";"Afkorting van de taal"
"language_to_edit";"Taal om te wijzigen"
"language_to_export";"Kies taal voor export"
"last_email_sent";"De laatste e-mailherinnering is verzonden op "
"last_login";"Laatst aangemeld"
"lastname";"Achternaam"
"lastname_search";"Achternaam"
"launch_media_tool";"Klik hier om multimedia toe te voegen."
"lds_sealing";"LDS zegeling:"
"leave_blank";"Laat het wachtwoord leeg als u het huidige wachtwoord wilt behouden."
"line_up_generations";"Uitlijnen gelijke generaties"
"link_as_child";"Koppel deze persoon als kind aan een bestaand gezin"
"link_as_husband";"Koppel deze persoon als partner aan een bestaand gezin"
"link_as_wife";"Koppel deze persoon als partner aan een bestaand gezin"
"link_exists";"Er bestaat al een relatie."
"link_media";"Koppel multimedia"
"link_media_records";"Koppel multimedia aan personen"
"link_new_husb";"Bestaande mannelijke partner toevoegen"
"link_new_wife";"Bestaande vrouwelijke partner toevoegen"
"link_not_added";"U heeft een koppeling gemaakt met een niet-bestaand ID. De koppeling is niet toegevoegd:"
"linked";"Gekoppeld"
"linked_only";"Alleen bestanden die zijn gekoppeld aan een multimediaobject"
"list_children";"Kinderen gesorteerd op geboortedatum."
"listing";"Lijst"
"lists";"Detailgegevens"
"living";"Levend"
"living_only";"Levende personen"
"living_or_all";"Alleen gebeurtenissen van levende personen tonen?"
"load_all_langs";"Alle actieve talen herladen vanuit de taalbestanden"
"load_english";"Laad Engelse taalbestanden"
"locked";"niet wijzigen"
"lockout_at";"Geblokkeerd"
"lockout_submit";"Blokkering toevoegen"
"lodger";"Kamerbewoner"
"logfile_content";"Inhoud van log-bestand"
"logged_in_as";"Aangemeld als"
"logged_in_users_block";"Aangemelde gebruikers"
"logged_in_users_descr";"Het vak "Aangemelde gebruikers" toont een lijst met gebruikers die op dat moment zijn aangemeld."
"login";"Aanmelden"
"login_aut";"Mijn gegevens"
"login_block";"Aanmelden"
"login_descr";"In het vak "Aanmelden" kunnen bezoekers zich aanmelden met hun gebruikersnaam en wachtwoord."
"login_head";"Genmod aanmelden gebruiker"
"login_user";"1 aangemelde gebruiker"
"login_users";"#gm_lang[global_num2]# aangemelde gebruikers"
"loglevel_0";"Geen logging"
"loglevel_1";"Log overschrijdingen grenswaarde"
"loglevel_2";"Log overschrijdingen grenswaarde en aantal pagina's bekeken in de tijdseenheid"
"logout";"Afmelden"
"logs";"Logbestanden"
"lost_password";"Wachtwoord vergeten?"
"lost_pw_reset";"Verzoek om een nieuw wachtwoord"
"ltr";"v.l.n.r.:"
"m_imp_err";"Er zijn fouten opgetreden. Controleer uw systeemlog."
"macfile_detected";"Het bestand is in Macintosh-formaat. Bij het opschonen wordt het omgezet naar DOS-formaat."
"magnify";"Vergroten"
"mail01_line01";"Hallo #user_fullname# ..."
"mail01_line02";"Op ( #SERVER_NAME# ) is een verzoek gedaan om aan te melden met het e-mailadres ( #user_email# )."
"mail01_line03";"De volgende gegevens zijn gebruikt."
"mail01_line04";"Klik op deze koppeling en vul de gegevens in om uw gebruikersnaam en e-mailadres te verifiëren."
"mail01_line05";"Als u deze gegevens niet heeft aangevraagd, kunt u dit bericht verwijderen."
"mail01_line06";"U krijgt geen e-mailberichten meer van dit systeem, omdat uw gebruikersnaam, zonder verificatie, binnen zeven dagen wordt verwijderd."
"mail01_subject";"Uw registratie op #SERVER_NAME#"
"mail02_line01";"Hallo Beheerder ..."
"mail02_line02";"Een nieuwe gebruiker vroeg een gebruikersnaam aan op ( #SERVER_NAME# )."
"mail02_line03";"Deze gebruiker ontving een e-mail met de voor verificatie noodzakelijke informatie, met koppeling:"
"mail02_line04";"U krijgt bericht zodra de gebruiker de verificatie heeft uitgevoerd. Daarna kunt u de gebruiker toestemming geven om aan te melden op de site."
"mail02_line04a";"U wordt per e-mail ingelicht als deze toekomstige gebruiker de gegevens heeft geverifieerd. De gebruiker zal daarna in staat zijn zich aan te melden zonder dat van uw kant actie ondernomen hoeft te worden."
"mail02_subject";"Er is een verzoek gedaan op ( #SERVER_NAME# ) om aan te melden met het e-mailadres ( #user_email# )."
"mail03_line01";"Hallo Beheerder ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) heeft de registratiegegevens geverifieerd."
"mail03_line03";"Klik op de onderstaande koppeling, meld u aan bij uw site en geef de gebruiker toestemming om zich aan te melden."
"mail03_line03a";"U hoeft geen actie te ondernemen, de gebruiker kan zich nu aanmelden."
"mail03_subject";"Nieuwe verificatie op #SERVER_NAME#"
"mail04_line01";"Hallo #user_fullname# ..."
"mail04_line02";"Voor uw gebruikersnaam is een nieuw wachtwoord aangevraagd!"
"mail04_line03";"Aanbeveling:"
"mail04_line04";"Klik op de onderstaande koppeling, meldt u aan met het nieuwe wachtwoord en wijzig het vervolgens."
"mail04_line05";"Doe het volgende nadat u bent aangemeld: klik op '#gm_lang[myuserdata]#' in het menu '#gm_lang[mygenmod]#' en vul de gegevens bij wachtwoord in, om uw wachtwoord te wijzigen."
"mail04_subject";"Verzoek om gegevens op #SERVER_NAME#"
"mailto";"Mailen naar"
"main_section";"Vakken hoofdsectie"
"maintenance";"Onderhoud"
"make_slklist";"Export naar Excel bestand (SLK formaat)"
"male";"Man"
"malecousin";"Neef"
"manage_gedcoms";"Beheer GEDCOM-bestanden en privacy-instellingen"
"manage_media";"Beheren multimedia"
"manage_media_files";"Beheren multimediabestanden"
"mandatory";"Vakken met een * zijn verplicht."
"mar";"maart"
"marr_name_import_instr";"Kies deze functie alleen als u de huwelijkse achternamen wilt opnemen voor vrouwelijke personen in deze genealogie. Dit maakt het mogelijk om vrouwen te zoeken en te tonen op hun huwelijkse achternaam."
"marr_report";"Huwelijksplaatsen en -data"
"marrdate1";"Huwelijksdatum na"
"marrdate2";"Huwelijksdatum voor"
"marriage";"Huwelijk:"
"marriage_license";"Huwelijksovereenkomst:"
"marrplace";"Huwelijksplaats bevat"
"max_generation";"Het maximum aantal generaties in de kwartierstaat is #PEDIGREE_GENERATIONS#."
"max_media_depth";"U kunt niet meer dan #MEDIA_DIRECTORY_LEVELS# niveaus diep in de mappen gaan"
"max_time";"Test maximale uitvoeringstijd"
"max_upload_size";"Maximale uploadgrootte: "
"maxtime_explain";"Dit script wordt uitgevoerd totdat:<br />1. de maximale uitvoeringstijd, die door de beheerder is ingesteld, is verstreken;<br />2. de maximale uitvoeringstijd, hieronder ingesteld, wordt bereikt.<br /><br />De bereikte waarde wordt opgeslagen in de database.<br /><br />Na beëindiging van dit script kunt u dit window sluiten.<br /><br />"
"maxtime_explain2";"Selecteer het maximaal aantal minuten dat dit programma mag lopen. Dit voorkomt een eeuwige looptijd. Klik daarna op Uitvoeren."
"maxtime_is";"De eerder gemeten maximale uitvoeringstijd is:"
"maxtime_lower";"De maximale uitvoeringstijd is groter dan de maximale tijd die bij het starten van dit programma is aangegeven.<br />"
"maxtime_measure";"Klik <a href="maxtime.php" target="_blank">hier</a> om een nieuwe meting te starten"
"maxtime_not_set";"De maximale uitvoeringstijd voor uw systeem is nog niet bepaald"
"maxtime_now";"De maximale uitvoeringstijd in seconden is tenminste:"
"maxviews_exceeded";"Maximaal aantal pagina's overschreden, probeer later opnieuw."
"may";"mei"
"maybe";"Misschien "
"md5_ok";"Alle bestandversies zijn correct"
"media";"Multimedia"
"media_conf";"Multimedia"
"media_contains";"Multimedia bevat:"
"media_deleted";"Multimediamap succesvol verwijderd"
"media_drive_letter";"In het pad naar de multimediamap kan geen driveletter worden opgenomen. Een foutief multimediapad leidt ertoe, dat multimedia-items niet worden weergegeven."
"media_exists";"Multimediabestand bestaat al."
"media_file";"Mediabestand"
"media_file_deleted";"Mediabestand verwijderd."
"media_file_not_deleted";"Mediabestand kan niet worden verwijderd."
"media_file_size";"Multimediagrootte"
"media_files";"Referenties aan mediabestanden in deze GEDCOM"
"media_folder_corrupt";"De multimediamap is corrupt."
"media_format";"Multimediatype"
"media_found";"Multimedia-objecten gevonden"
"media_id";"Multimedia ID"
"media_id_no_exists";"Dit multimedia-ID bestaat niet, voer een geldige in!"
"media_import";"Importeren en omzetten multimediagegevens"
"media_info";"Multimedia-informatie"
"media_linked";"Dit multimediabestand is gekoppeld aan:"
"media_list";"Multimedia"
"media_not_deleted";"Multimediamap niet verwijderd"
"media_not_found";"Multimedia-item niet gevonden"
"media_not_linked";"Dit multimediabestand is niet aan genealogiegegevens gekoppeld."
"media_object";"Multimedia-object:"
"media_record_deleted";"Mediagegevens van #xref# en koppelingen zijn uit het bestand verwijderd."
"media_record_not_deleted";"Mediagegevens van #xref# en koppelingen kunnen niet worden verwijderd uit het bestand."
"media_table_created";"De <i>media</i>tabel is bijgewerkt."
"media_thumb_exists";"Miniweergave bestaat al."
"medialist_show";"Toon"
"menu";"Menu"
"menu_calendar";"Kalender"
"menu_calendar_day";"Dag"
"menu_calendar_month";"Maand"
"menu_calendar_year";"Jaar"
"menu_charts";"Overzichten"
"menu_edit";"Wijzig"
"menu_favorites";"Favorieten"
"menu_file";"Bestand"
"menu_lists";"Selecteren"
"menu_open";"Open"
"menu_reports";"Rapporten"
"menu_view";"Toon"
"merge_dm_0";"Niet samenvoegen"
"merge_dm_1";"Samenvoegen op bestandsnaam"
"merge_dm_2";"Samenvoegen op bestandsnaam en titel"
"merge_facts_same";"De volgende gebeurtenissen zijn exact hetzelfde bij beide ID's en zullen worden samengevoegd."
"merge_from";"Samenvoegen van ID:"
"merge_gedcom";"GEDCOM-bestand samenvoegen"
"merge_more";"Meer gegevens samenvoegen."
"merge_records";"Gegevens samenvoegen"
"merge_same";"Gegevens zijn niet van hetzelfde type en kunnen daarom niet worden samengevoegd."
"merge_step1";"Samenvoegen stap 1 van 3"
"merge_step2";"Samenvoegen stap 2 van 3"
"merge_step3";"Samenvoegen stap 3 van 3"
"merge_success_auto";"Samenvoegen succesvol uitgevoerd. De wijzigingen zijn aangebracht in de database."
"merge_to";"Samenvoegen naar ID:"
"merge_what";"GEDCOM-bestand om samen te voegen"
"merge_what_upload";"GEDCOM-bestand om te uploaden en samen te voegen"
"merge_with";"Bestaand GEDCOM-bestand om mee samen te voegen"
"message";"Boodschap"
"message_body";"Inhoud:"
"message_deleted";"Bericht verwijderd"
"message_email1";"Het volgende bericht is verzonden naar uw Genmod-gebruiker:"
"message_email2";"U zond het volgende bericht naar een Genmod-gebruiker:"
"message_email3";"U zond het volgende bericht naar de Genmod beheerder:"
"message_empty_warning";"WAARSCHUWING! De tekst van deze boodschap ontbreekt in [#LANGUAGE_FILE#]"
"message_from";"E-mail adres:"
"message_from_name";"Uw naam:"
"message_instructions";"<b>Let op:</b> Vertrouwelijke informatie over levende personen wordt alleen verstrekt aan verwanten en andere geautoriseerde personen. Voordat u vertrouwelijke informatie ontvangt, wordt eerst uw relatie met de desbetreffende persoon geverifieerd.<br />Soms is informatie over reeds overleden personen ook vertrouwelijk. Dit kan voorkomen, als er niet voldoende informatie voorhanden is, om vast te stellen of de persoon daadwerkelijk is overleden. Waarschijnlijk is ook niet meer informatie voorhanden over deze persoon.<br /><br />Controleer, voordat u een vraag stelt, aan de hand van data, plaatsen en familieleden, dat het de juiste persoon betreft. Als u genealogische informatie versterkt, vermeldt dan de bronnen waar de informatie vandaan komt."
"message_sent";"Bericht verzonden"
"message_subject";"Onderwerp:"
"message_to";"Bericht aan:"
"message_to_all";"Bericht aan alle gebruikers sturen"
"message_to_edit";"Te wijzigen bericht"
"messages";"Berichten"
"messaging";"Genmod interne berichten"
"messaging2";"Interne berichten en e-mails"
"messaging3";"Genmod verzendt e-mails zonder opslaan"
"meta_conf";"Website en META-tags"
"mgv";"MyGenmod"
"min_generation";"Het minimum aantal generaties in de kwartierstaat is 3."
"mm_exports";"Aantal geëxporteerde items:"
"mm_inserts";"Aantal geïmporteerde items:"
"mm_linking";"Links van multimedia"
"mm_links";"Links naar dit multimediaobject"
"mon_short";"Afkortingen voor maandnamen"
"monday";"Maandag"
"monday_1st";"Ma"
"month";"Maand:"
"month1";"maand"
"month_before_day";"Maand voor dag (MM DD YYYY)"
"monthly";"Maandelijks"
"months";"maanden"
"more_config_help";"<br /><b>Meer helpinformatie</b><br />Meer helpinformatie is beschikbaar door op het <b>?</b> te klikken naast de items op de pagina.<br />"
"more_events_privacy";"Andere gebeurtenissen voor de komende #gm_lang[global_num4]# dagen zijn vanwege privacybeperkingen verborgen."
"more_events_privacy1";"Andere gebeurtenissen voor morgen zijn vanwege privacybeperkingen verborgen."
"more_information";"Neem voor meer informatie contact op met "
"more_today_privacy";"Andere gebeurtenissen voor vandaag zijn vanwege privacybeperkingen verborgen."
"mother";"Moeder"
"mothers_family_with";"Moeders gezin met "
"mousedown";"Door muisknop ingedrukt"
"mouseover";"Door muisaanwijzer erover"
"move_down";"Omlaag"
"move_file_success";"Multimedia- en miniweergavebestanden succesvol verplaatst."
"move_left";"Verplaats naar links"
"move_right";"Verplaats naar rechts"
"move_to";"Verplaats naar -->"
"move_up";"Omhoog"
"mu_descr";"Omschrijving"
"multi_title";"Multimedialijst"
"must_provide";"Invoeren:"
"my_favorites";"Mijn favorieten"
"my_indi";"Mijn persoonsgegevens"
"my_journal";"Mijn notitieblok"
"my_messages";"Mijn berichten"
"my_pages";"Mijn pagina's"
"my_pedigree";"Mijn kwartierstaat"
"mygenmod";"MyGenmod"
"mygenmod_desc";"Op uw persoonlijke MyGenmod pagina kunt u uw favoriete personen aangeven, kijken naar gebeurtenissen die binnenkort plaatsvinden en samenwerken met andere Genmod gebruikers van deze site."
"mysql";"MySQL"
"myuserdata";"Mijn gegevens"
"name";"Naam"
"name_contains";"Naam bevat:"
"name_description";"Naam / Omschrijving"
"name_list";"Namenlijst"
"name_of_fact";"Omschrijving gegevens"
"name_reverse";"Achternaam eerst:"
"navigation";"Navigatie"
"never";"Nooit"
"new";"Nieuw"
"new_gedcom_title";"Genealogie van [#GEDCOMFILE#]"
"new_gnote_created";"Nieuwe gedeelde notitie is met succes gecreëerd"
"new_language";"Eerste taal"
"new_record";"Nieuwe gegevens"
"new_repo_created";"Nieuwe bewaarplaats aangemaakt"
"new_source_created";"Bron succesvol aangemaakt."
"newfact";"Nieuwe gebeurtenis"
"newfam_as_child";"Gezin toevoegen met deze persoon als kind"
"newlink_as_husband";"Gezin toevoegen met deze persoon als mannelijke partner"
"newlink_as_wife";"Gezin toevoegen met deze persoon als vrouwelijke partner"
"news_saved";"Artikel / notitie succesvol opgeslagen."
"next";"volgende &gt;"
"next_email_sent";"De volgende e-mailherinnering wordt verzonden na "
"next_free";"Volgende vrije voor"
"next_path";"Zoek volgend pad"
"no";"Nee"
"no_account_yet";"Nog geen gebruikersnaam?"
"no_action_found";"Geen acties gevonden"
"no_additions";"Geen toevoegingen"
"no_changes";"Er zijn op dit moment geen wijzigingen ter beoordeling."
"no_children";"Geen kinderen"
"no_content";"Geen inhoud"
"no_empty_dirs";"Geen lege mappen gevonden"
"no_empty_notes";"U kunt geen lege notities invoeren!"
"no_events_all";"Er zijn geen gebeurtenissen voor de komende #gm_lang[global_num4]# dagen."
"no_events_all1";"Er zijn geen gebeurtenissen voor morgen."
"no_events_living";"Er zijn geen gebeurtenissen van levende personen in de komende #gm_lang[global_num4]# dagen."
"no_events_living1";"Er zijn geen gebeurtenissen van levende personen voor morgen."
"no_events_privacy";"Er zijn gebeurtenissen in de komende #gm_lang[global_num4]# dagen, maar deze worden vanwege privacybeperkingen niet getoond."
"no_events_privacy1";"Er zijn gebeurtenissen voor morgen, maar deze worden vanwege privacybeperkingen niet getoond."
"no_family_facts";"Geen gebeurtenissen voor dit gezin"
"no_faq_content";"Een VGV moet een koptekst en tekst bevatten"
"no_faq_items";"De VGV-lijst is leeg."
"no_favorites";"U heeft geen favorieten geselecteerd. U kunt een persoon aan uw favorieten toevoegen door de details van de persoon op te zoeken en te klikken op "Toevoegen aan favorieten". U kunt ook het ID van de persoon, als u dit kent, in het vak hieronder intypen."
"no_gedcom_favorites";"Op dit moment zijn geen favorieten geselecteerd. De sitebeheerder kan favorieten toevoegen die bij het starten worden getoond."
"no_id";"Geen VGV-ID gespecificeerd!"
"no_journal";"U heeft geen notities gemaakt."
"no_link_found";"Geen (andere) verbinding tussen de twee personen gevonden."
"no_lockouts";"Geen blokkeringen aanwezig"
"no_login";"De gebruiker is niet geautoriseerd."
"no_login_users";"Geen (anoniem) aangemelde gebruikers"
"no_logs";"Log-bestand uitschakelen"
"no_matches_found";"Geen overeenkomende gebeurtenissen gevonden"
"no_messages";"U heeft geen ongelezen berichten."
"no_messaging";"Geheel geen contact"
"no_news";"Er zijn geen artikelen op het prikbord geplaatst."
"no_open";"F O U T !!!<br /><br />Kan bestand niet openen: #lang_filename#"
"no_primary";"Gebruik geen primaire familie voor overzichten"
"no_relation";"Geen relatie"
"no_results";"Geen resultaat gevonden."
"no_subtractions";"Geen verwijderingen"
"no_tab1";"Geen gebeurtenissen voor deze persoon."
"no_tab2";"Geen notities voor deze persoon."
"no_tab3";"Geen bronvermeldingen voor deze persoon."
"no_tab4";"Geen multimedia-objecten voor deze persoon."
"no_tab5";"Geen verwanten voor deze persoon."
"no_tab6";"Geen actiepunten gekoppeld aan deze persoon."
"no_tab7";"Geen relaties bekend"
"no_temple";"Geen Temple - Living Ordinance"
"no_thumb_dir";"map voor miniweergaves bestaat niet en kan niet worden aangemaakt"
"no_to_user";"Geen geadresseerde ingevoerd."
"no_upload";"Het uploaden van multimediabestanden is niet toegestaan omdat gebruik van multimedia is uitgeschakeld, of omdat u in de multimediamap geen schrijfrechten heeft."
"no_users_selected";"Er zijn geen gebruikers geselecteerd"
"noemail";"Zonder e-mailadres"
"none";"Geen"
"none_today_all";"Er zijn geen gebeurtenissen voor vandaag."
"none_today_living";"Er zijn geen gebeurtenissen van levende personen voor vandaag."
"none_today_privacy";"Er zijn gebeurtenissen voor vandaag, maar deze worden vanwege privacybeperkingen niet getoond."
"normal";"Alle nieuws"
"not_an_array";"Geen tabel"
"not_writable";"Er is geconstateerd dat PHP geen schrijftoegang heeft tot uw configuratie bestand. Klik op de download-knop om het bestand elders te plaatsen. Later kan dit handmatig op de juiste locatie geplaatst worden."
"note";"Notitie"
"note_contains";"Gedeelde notitie bevat:"
"note_downloaded_from";"Deze notitie is gedownload van:"
"note_id_no_exists";"Dit gedeelde notitie-ID bestaat niet. Voer een geldige in!"
"note_info";"Informatie over notitie"
"note_linking";"Links van gedeelde notities"
"note_list";"Gedeelde notities"
"note_not_found";"Notitie niet gevonden"
"notes";"Notities"
"notes_sources_media";"Notities, bronnen en multimedia"
"nothing_selected";"Er was niets geselecteerd"
"nov";"november"
"now_import";"Klik op de onderstaande koppeling om het GEDCOM-bestand te importeren in Genmod"
"num_to_show";"Aantal te tonen achternamen"
"number";"Aantal"
"number_children";"Aantal kinderen:"
"number_sign";"&nbsp;"
"nurse";"Verpleegster"
"object_note";"Object notitie:"
"oct";"oktober"
"of";"van"
"ok";"ok"
"old_language";"Tweede taal"
"old_record";"Oude gegevens"
"oldest_top";"Toon oudste bovenaan"
"on";"op "
"on_this_day";"Op deze dag, in het verleden..."
"only_show_logged_in";"Toon dit vak alleen aan aangemelde gebruikers"
"onlyemail";"Met e-mailadres"
"optional";"Optionele programma's"
"optional_tools";"U kunt kiezen om de volgende programma's uit te voeren, voordat het GEDCOM-bestand wordt geïmporteerd."
"options";"Opties:"
"or";"of"
"order";"Volgorde"
"orientation";"Oriëntatie"
"original_lang_name";"Originele naam van de taal in het #D_LANGNAME#"
"original_message";"Origineel bericht"
"other";"Overige"
"other_mmrecords";"Gegevens die verwijzen naar dit multimedia object:"
"other_note_records";"Gegevens met een koppeling naar deze gedeelde notitie:"
"other_records";"Andere gegevens die verwijzen naar deze bron:"
"other_repo_records";"Gegevens die verwijzen naar deze bewaarplaats:"
"other_theme";"Ander, typ in"
"p_A3";"A3"
"p_A4";"A4"
"p_A5";"A5"
"p_legal";"Legal"
"p_letter";"Letter"
"page";"Pagina"
"page_deleted";"De pagina is verwijderd"
"page_size";"Paginagrootte"
"parent";"Ouder"
"parents";"Ouders:"
"parents_and_child";"Voeg de ouders, dit gezin en de kinderen toe."
"parents_and_family";"Voeg de ouders en dit gezin toe."
"parents_desc";"Voeg de ouders, dit gezin en alle nakomelingen toe."
"parents_timeline";"Toon partners op de tijdlijn"
"partner";"Partner"
"password";"Wachtwoord"
"password_mismatch";"Wachtwoorden zijn verschillend."
"passwordlength";"Het wachtwoord moet uit minimaal 6 karakters bestaan."
"paste_id_into_field";"Plak dit bron-ID in de invoervelden voor verwijzing naar deze bron "
"paste_mm_id_into_field";"Plak het volgende multimedia-ID in het formulier om dit multimedia object te koppelen"
"paste_noteid_into_field";"Plak het volgende ID van de gedeelde notitie in het formulier om deze gedeelde notitie te koppelen"
"paste_person";"Persoon plakken"
"paste_rid_into_field";"Plak het ID van de bewaarplaats in uw invoerpagina om de verwijzing naar de bewaarplaats over te nemen "
"paternal_chart";"Patriarchale / matriarchale lijnen"
"paternal_grandparents";"Grootouders"
"paternal_line_type";"Lijntype"
"paternal_lines_from";"Lijnen vanaf"
