"stat_sources";"pramenů,"
"new_language";"Zdrojový jazyk"
"old_language";"Druhý jazyk"
"compare";"Porovnat"
"comparing";"Porovnávané jazykové soubory"
"additions";"Přebývající části"
"no_additions";"Žádné přebývající části"
"subtractions";"Chybějící části"
"no_subtractions";"Žádné chybějící části"
"config_lang_utility";"Konfigurace podporovaných jazyků"
"active";"Aktivní"
"edit_settings";"Upravit nastavení"
"lang_edit";"Upravit"
"lang_language";"Jazyk"
"export_filename";"Název souboru obsahujícího exportovaná data:"
"lang_back";"Pro úpravu a nastavení jazyka se vraťte  zpět do hlavního menu."
"lang_back_admin";"Zpět do menu Admina"
"lang_back_manage_gedcoms";"Zpět do menu správy GEDCOMů"
"lang_name_czech";"Čeština"
"lang_name_chinese";"Čínština"
"lang_name_danish";"Dánština"
"lang_name_dutch";"Holandština"
"lang_name_english";"Angličtina"
"lang_name_finnish";"Finština"
"lang_name_french";"Francouzština"
"lang_name_german";"Němčina"
"lang_name_hebrew";"Hebrejština"
"lang_name_hungarian";"Maďarština"
"lang_name_italian";"Italština"
"lang_name_norwegian";"Norština"
"lang_name_polish";"Polština"
"lang_name_portuguese";"Portugalština"
"lang_name_portuguese_br";"Brazilská portugalština"
"lang_name_russian";"Ruština"
"lang_name_spanish";"Španělština"
"lang_name_spanish_ar";"Latinsko-americká španělština"
"lang_name_swedish";"Švédština"
"lang_name_turkish";"Turečtina"
"lang_name_greek";"Řečtina"
"lang_name_arabic";"Arabština"
"lang_new_language";"Nový jazyk"
"original_lang_name";"Jak tento jazyk označuje jazyk #D_LANGNAME#"
"lang_shortcut";"Zkratka pro jazyk."
"lang_langcode";"Kód pro rozpoznání jazyka"
"flagsfile";"Soubor s vlajkou"
"text_direction";"Směr textu"
"date_format";"Formát data:"
"time_format";"Formát času"
"week_start";"Počáteční den týdne"
"name_reverse";"Příjmení na prvním místě"
"ltr";"Zleva doprava"
"rtl";"Zprava doleva"
"file_does_not_exist";"CHYBA! Soubor neexistuje..."
"alphabet_upper";"Velká písmena abecedy"
"alphabet_lower";"Malá písmena abecedy"
"lang_config_write_error";"Chyba během zápisu jazykového nastavení do souboru [language_settings.php]. Zkontrolujte práva a zkuste to znovu."
"translation_forum";"Odkaz do fóra překladů Genmod na SourceForge"
"system_time";"Aktuální systémový čas:"
"gedcom_not_imported";"Tento GEDCOM ještě nebyl importován."
"lang_set_file_read_error";"C H Y B A !!! Nelze číst soubor [language_settings.php]!"
"add_new_language";"Přidat soubory a nastavení nového jazyka"
"add_new_lang_button";"Přidat nový jazyk"
"hide_translated";"Skrýt přeložené"
"lang_file_write_error";"C H Y B A !!!<br /><br />Změny nebylo možné do zvoleného jazykové souboru zapsat!<br />Zkontrolujte práva zápisu pro soubor (#lang_filename#)"
"no_open";"C H Y B A !!!<br /><br />Není možné otevřít soubor #lang_filename#"
"never";"Nikdy"
"um_header";"Nástroj pro přesun informací o uživatelích"
"um_proceed";"Pokračovat v exportu uživatelských datových souborů?<br /><br />"
"um_creating";"Kopírování"
"um_file_create_fail1";"Nebylo možné vytvořit nový soubor; soubor s tímto názvem již existuje:"
"um_file_create_fail2";"Není možné zkopírovat"
"um_file_create_fail3";"Zkontrolujte přístupová práva k této složce."
"um_file_create_succ1";"Vytvoření nového souboru proběhlo úspěšně:"
"um_file_not_created";"Soubor nebyl vytvořen."
"um_nomsg";"Zdá se, že v tuto chvíli v systému nejsou žádné zprávy."
"um_nofav";"Zdá se, že v tuto chvíli nejsou v systému žádné oblíbené,"
"um_nonews";"Zdá se, že v tuto chvíli nejsou v systému žádné novinky."
"um_noblocks";"Zdá se, že v tuto chvíli nejsou v systému žádné bloky."
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
