"select_an_option";"Gjør et valg under:"
"help_family.php";"~Siden: Familie-opplysninger~<br /><br />Denne siden vil vise en oversikt over valgt familie.<br /><br />På venstre side fra toppen ser du følgende bokser:<ul><li>Ektemannen og hans foreldre</li><li>Hustruen og hennes foreldre</li><li>Barna</li></ul>- Utseende og innholdet til boksene er lik den du finner for <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a> og <a href="?help=help_descendancy.php">#gm_lang[descend_chart]#</a>.<br />- Klikker du på pilen til høyre for navneboksene til foreldrene, vil du siden med familiesiden til disse forfedrene/-mødrene (dersom disse  i slektsbasen).<br />- <i>Inne</i> i navnerammen til høyre, vil du kunne se et forstørrelsesglass for å vise litt mer informasjon om personen. Ved å klikke på navnet, vil du få opp siden med faktopplysninger om personen.<br /><br />På høyre side fra toppen ser du:<ul><li>Menyen "#gm_lang[fams_charts]#" som inneholder:<dl><dt><b>#gm_lang[charts]#</b></dt><dd>Her vil du flere varianter av diagrammet #gm_lang[timeline_chart]# der personer fra denne side er forhåndsvalgt.</dd><dt><b>#gm_lang[reports]#</b></dt><dd>Her finner du noen rapporter som er relatert til familien. Her vil også denne familien være forhåndsvalgt.</dd><dt><b>#gm_lang[edit]#</b></dt><dd>Dersom du har de nødvendige rettigheter, vil du her få ulike valg for å legge til, endre eller slette opplysninger for familien.</dd><dt><b>#gm_lang[other]#</b></dt><dd>Her kan det være at du vil få valget om å legge denne familien i Utklippsmappen og vise opplysningene om denne familien slik de er lagret i slektsfilen.</dd></dl></li><li>#gm_lang[family_group_info]#<br />Viser alle kjente faktaopplysninger om familien, slik som ekteskap, multimediafiler og noter. Du kan klikke på stedsnavn, datoer, mulimediafiler, kilder mm, og da vil du få opp sider med andre personer som er knytter til de samme faktaene.<br />Dersom du har de nødvendige rettigheter, så kan du endre, slette og legge til fakta også.</li></ul>Under boksene til barna kan du finne du en link for å "#gm_lang[add_child_to_family]#".<br />"
"help_sourcelist.php";"~Siden: Liste med kilder~<br /><br />På denne siden vises en liste over kilder.<br />Det er vanskelig å finne en meningsfull sorterings-rekkefølge for alle type kilder, fordi kilder kan være personer med fornavn og etternavn, eller det kan være offentlige databaser, kirkebøker osv. Derfor vises det ikke noen alfabetisk indeks på toppen.<br /> For å ha en viss sortering, brukes kildenavnene.<br /><br /><b>Om kilder</b><br />Vi er avhengige av kilder for å kunne lage en slektsbase, fordi all informasjon i databasen er fra en eller flere kilder. Det kan være en slektning til en person, en institusjon, offentlig database, kirkebok osv.<br />En kilde kan være koblet til mange personer. For å si det på en annen måte, kan en person også være koblet til mange kilder. Du kan ha flere kilder for hver begivenhet, om det er fødselsdag, yrke, ekteskap, barn, osv.<br /><br />"
"help_source.php";"~Siden: Detaljer om kilder~<br /><br />På denne siden vises opplysninger om kildene. Kilder er veldig viktig for slektsforskere og vil hjelpe deg til å følge sporene andre forskere brukte for å finne informasjonen.<br /><br />Her vil du kunne se informasjon om tittel på kilden, forfatter, publikasjon og hvor stedet kilden ble funnet.  Fordi det er så mange forskjellige typer kilder, kan noen kilder ha mer informasjon enn andre.<ul><li>Dersom et multimedia-objekt er knyttet til kilden (slik som et skannet dokument), kan du se objektet i et eget vindu ved enten å klikke på objektet eller filnavnet ved siden av.</li><li>Etter detaljopplysningen om kilden, vil du se en liste med alle personer og/eller familier som er knyttet til kilden.  Dette gjør at du kan se all informasjon som ble funnet i en bestemt data-kilde.</li><li>Du vil kunne se en eller to meny-ikoner på siden dersom administratoren av nettstedet har aktivisert dem:<ul><li><i>#gm_lang[view_gedcom]#</i>, som viser informasjonen i slektsfilen.</li><li><i></i>, som gjør at du kan lagre denne informasjonen i #gm_lang[clip_cart]# din. Derfra kan du laste ned (download) informasjonen og importere den til ditt eget slektsprogram.</li></ul></li></ul>#gm_lang[context_help]#"
"help_placelist.php";"~Stedsnavn~<br />(eller personer fra sted)<br /><br />På denne siden kan du se hvilke personer eller familier som koblet til ulike steder vist som nivåer eller en utvidet liste med alle stedsnavn.<br /><br />Dersom det er en kobling mellom en person eller familie og en begivenhet på et bestemt sted, vil programmet finne det for deg.<br /><br />Resultatet blir vist i en todelt liste:<br />En for personer og en for familier.<br /><br />#gm_lang[more_help]#"
"help_medialist.php";"~Siden: Bilder eller andre medier~<br /><br />Denne listen viser alle MultiMedia-filer (MM) som er lagret i denne slektsbasen eller med kobling til en anne Internett-adresse (URL).<ul><li>For hvert MM kan du finne en tittel eller filnavn, navn på personer eller familier som er knyttet til MM, og eventuelle noter.</li><li>Ved å klikke på navnet eller direkte på bildet, så vil filen/URLen, avhengig av formatet (eks.: *.gif, *.jpg), åpnes i den interne bildefremviseren eller i nettleseren din.</li><li>Ved å klikke på linjen med "Vis person/familie/kilde" under navnet, så vil du få opp siden med fakta om personen, familien eller kilden.</li><li>Ved å høyreklikke på et MM, vil du få fram de valgene som nettleseren din gir deg. Som for eksempel, lagre et bilde, bruke det som bakgrunn, få en utskrift, osv.</li></ul>"
"help_uploadmedia.php";"~Hente (upload) Medie-filer~<br /><br />Å laste opp (upload) filer er enkelt, så her er litt tilleggsinfomasjon:<br /><br /><b>#gm_lang[thumbnail]</b><br />Disse små bildene bør ha en bredde på rundt 100px.<br />Filnavnet <b>må</b> være det samme som originalen.<br /><br /><b>Overføre (upload)</b> <br />Filene vil bli overført og lagret i mappen ../media for de store bildene og ../media/thumbs/ for de små bildene. <br /><br />#gm_lang[readme_help]#"
"help_calendar.php";"~Siden: #gm_lang[anniversary_calendar]#~<br /><br /><ul><li><a href="#calendar_general">Generell informasjon</a><li><a href="#calendar_day">#gm_lang[day]#</a><li><a href="#calendar_month">#gm_lang[month]#</a><li><a href="#calendar_year">#gm_lang[year]#</a><li><a href="#calendar_show">#gm_lang[show]# / #gm_lang[showcal]#</a><li><a href="#calendar_sex">#gm_lang[sex]#</a><li><a href="#calendar_event">Hendelse</a><li><a href="#calendar_button">Type visning</a><li><a href="#calendar_tip">Tips</a></ul><br /><a name="calendar_general"></a>Den Historisk kalenderen viser personer og familier som er knyttet til en hendelse på en bestemt dag og/eller måned eller i en bestemt tidsperiode. Kalenderen har flere avanserte metoder for å vise deg de rette hendelsene.<dl><dt><b>Vis <a href="#calendar_day">dag</a></b></dt><dd>Her vises hendelsene som er knyttet til en bestemt dag, uavhengig av valgt år. Du vil se en <i>liste</i> med navn på personer eller familier, eller en tospaltet liste med personer i den første og familier i den andre.</dd><dt><b>Vis <a href="#calendar_month">måned</a></b></dt><dd>Her får du en <i>kalender</i> med navn på personer og/eller familier fordelt på de enkelte dagene i den valgte måneden. Kalenderen blir vist i henhold til det året som er valgt i feltet for år. Det er kun hendelser <i>fram til den valgte måneden og året</i> som vil bli vist.<br />I kombinasjon med valget "<a href="#calendar_show">#gm_lang[recent_events]#</a>" vil den gi en autentisk visning slik forfedrene dine ville ha sett den.</dd><dt><b>Vis <a href="#calendar_year">år</a></b></dt><dd>Her vises hendelsene som er knyttet til et bestemt år, eller flere år. Du vil se en <i>liste</i> med navn på personer eller familier, eller en tospaltet liste med personer i den første og familier i den andre.</dd></dl>Valgt dag og måned blir vist i en annen farge i menyen til kalenderen.<br /><br />De navnene du finner i listen for dag eller år eller i kalenderen, kan du klikke på. Da vil du kunne se opplysninger om disse personene eller familiene. Klikker du på en dato, vil du hoppe til "Vis dag" visning (eller år) med hendelser knyttet til den datoen du klikket på.<br /><br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_day"> </a>#gm_lang[annivers_date_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_month"> </a>#gm_lang[annivers_month_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_year"> </a>#gm_lang[annivers_year_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_show"> </a>#gm_lang[annivers_show_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_sex"> </a>#gm_lang[annivers_sex_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_event"> </a>#gm_lang[annivers_event_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_button"> </a>#gm_lang[day_month_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_tip"> </a>#gm_lang[annivers_tip_help]#"
"help_clippings.php";"~Siden: Utklippsmappe~<br />Denne siden gir deg mulighet til å hente utdrag ("utklipp") fra denne slektsbasen og samle dem i ny fil som du kan laste ned til PCen din og deretter importere inn i ditt eget slektsprogram.<br />Filen blir lagd i standardformatet for slektsfiler (<a href="?help=def_gedcom_help">GEDCOM</a>).<dl><dt><b>Hvordan klippe ut?</b></dt><dd>Dette er veldig enkelt. Alle steder der du kan se et navn du kan klikke på (enkeltperson, familie eller kilde),<br />kan du gå til en side med fakta om dette navnet. På den nye siden vil du se et valg som sier "Legg i utklippsmappen".<br />Dersom du klikker på denne, så vil du få opp en ny side der du blir gitt flere valg for å legge personen og familien<br />i utklippsmappen.<br /></dd><dt><br /><b>Hvordan laste ned (download)?</b></dt><dd>Når du lagt person(er)/familier i mappen din, kan du laste dem ned ved bare å klikke på linken "Last ned (download) nå".<br />Følg så de neste instruksjonene og linkene.</dd></dl>"
"help_search.php";"~Siden: Søke~<br />Selv om denne siden ser ut til å være veldig enkel, så er det forholdsvis kraftig søkemuligheter som tilbys.<br />- Til forskjell fra andre nettsteder som viser slektsopplysninger der du kan søke på (etter)navn, så kan Genmod praktisk talt søke etter alt mulig som finnes i slektsbasen!<dl><dt><b>Søkefeltet på venstre side av skjermen</b><br />(er det samme som søkefeltet på toppen av siden.)</dt><dd>- Dersom du leter etter personer knyttet til et bestemt år, kan du bare skrive inn året. Programmet vil finne alle forbindelse for deg.</dd><br /><dd>- Lete etter et navn, eller et sted?<br />Skriv bare inn navnet eller stedet, hele eller bare deler av det, og programmet gjør resten.</dd><dt><b>Søkefeltet på høyre side av skjermen</b><br />Fonetisk søk.</dt><dd>Her kan du søke etter navn dersom du ikke er helt sikker på hvordan det staves.</dd><dt>#gm_lang[more_help]#</dt></dl>"
"help_individual.php";"~Siden: #gm_lang[indi_info]#~<br />Denne siden vil vise alle opplysninger om personen.<br /><br />Dersom det er et bilde tilgjengelig, så vil du se det øverst til venstre.<br />Ved siden av bildet (hvis det er der) vil du se detaljer om navnet til personen.<br />Dersom noen av navnene har noter eller kilder knyttet til seg, vil du se dem opplistet under de tilhørende navnene.<br />En person kan også ha et alias (kjent under et annet navn) og da vil dette også bli vist.<br /><br />På denne siden vil du se egne ark med tilhørende "faner", der du vil finne all informasjon som er lagret i slektsbasen om denne personen:<dl><dt><b>#gm_lang[personal_facts]#</b></dt><dd>Dette arket vil vise deg alle faktaopplysninger om denne personen og eventelle ekteskap.<br />- Klikker du på en dato så vil du få opp #gm_lang[anniversary_calendar]#, slik at du kan se alle hendelser i slektsbasen som hendte på denne dagen.<br />- Klikker du på et sted, vil du få opp siden med stednavn, slik at du kan se alle hendelser i slektsbasen som hendte på det samme stedet.  For ekteskap og andre hendelser knyttet til familien, vil navnet til ektefellen også vises slik at du kan se på denne og og en link til familien.</dd><dt><b>#gm_lang[notes]#</b></dt><dd>Dette arket vil vise deg eventuelle notater som er gjort om denne personen.</dd><dt><b>#gm_lang[ssourcess]#</b></dt><dd>Dette arket vil vise deg alle kilder som er knyttet til denne personen.  Klikker du på tittelen til kilden, så vil du få opp siden med kilder i slektsbasen slik at du kan se andre personer som er knyttet til den samme kilden.</dd><dt><b>#gm_lang[media]#</b></dt><dd>Dette arket vil vise deg alle bilder og andre medieobjekt som er knyttet til personen.  Klikke du på et minibilde, vil du få se bilde i full størrelse.</dd><dt><b>#gm_lang[relatives]#</b></dt><dd>Dette arket viser deg foreldre og søsken til personen, i tillegg til alle ektefeller og barn denne personen har eller har hatt.  Personene vil bli vist i bokser tilsvarende de du også vil kunne se i diagram.</dd></dl>Øverst til høyre på siden, vil du se en meny med <b>#gm_lang[indis_charts]#</b>.<dl><dt><b>#gm_lang[charts]#</b></dt><dd>De fleste er like med dem du finner i hovedmenyen, men forskjellen er at her vil personen på siden bli startpersonen (proband) i diagrammene i steden for den vanlige startpersonen i slektsbasen.<br />Dersom du er logget inn og er knyttet til slektsbasen, vil du også få valget <i>#gm_lang[relationship_to_me]#</i>.</dd><dt><b>#gm_lang[reports]#</b></dt><dd>Her finner du noen rapporter som er relatert til personer. Her vil også personen på siden bli startperson.</dd><dt><b>#gm_lang[edit]#</b></dt><dd>Dersom du har de nødvendige rettigheter, vil du her få ulike valg for å legge til, endre eller slette opplysninger for personen.</dd><dt><b>#gm_lang[other]#</b></dt><dd>Her kan det være at du vil få valget om å legge denne personen i Utklippsmappen og vise opplysningene om denne personen slik de er lagret i slektsfilen.</dd></dl>Mer hjelp er tilgjengelig for siden ved å klikke på <b>?</b> ved linkene eller boksene."
"help_editconfig.php";"~Oppsett av Genmod~<br /><br />På denne siden har du feltene for de globale innstillingene som du må fylles ut før Genmod-programmet kan kjøres på din nettserver.<br />#gm_lang[review_readme]#<br /><br />Siden disse innstillingene er <b>globale</b>, gjelder de for selve programmet og for alle slektsfiler du bruker i programmet.<br />For hver slektsbase kan du ha forskjellige innstillinger.<br />Her på Konfigurasjon-siden kan du også klikke på linken til Redigere GEDCOMfiler rett over skjemaet eller gå til den samme siden fra menyvalget "Min GedView"."
"help_edit_merge.php";"~#gm_lang[merge_records]#~<br /><br />Denne siden gir deg mulighet til å flette (føye sammen) 2 GEDCOM-poster i slektsbasen.  Dette er en nyttig funksjon dersom du har importert en annen slektsbase (GEDCOM) inn i din egen og du har fått dobbelt opp av flere personer, familier og/eller kilder.<br /><br />Denne siden innholder 3 steg.<br /><ol><li>Du angir to IDer i slektsbasen.  IDene må være av samme slag (type).  (dvs. at du ikke kan flette en person og en familie, eller en familie og en kilde).  I feltet <b>#gm_lang[merge_to]#</b> angir du IDen til posten (personen) som du ønsker skal bli den den nye posten etter at flettingen er fullført.  I feltet <b>#gm_lang[merge_from]#</b> angir du IDen til posten som skal flettes inn i den første og deretter vil bli slettet.</li><li>Du velger hvilke opplysninger som du vil beholde fra de to postene etter at de flettet sammen til en post.  Du klikke bare på sjekkfeltet ved siden av de(n) du ønsker å beholde.</li><li>Viser deg resultatet av flettingen.</li></ol>For at endringen skal være gyldig og bli vist andre, må du sjekke resultatet og godkjenne den først.<br />"
"help_reportengine.php";"~Rapporter~<br /><br />Valgene i menyen vil gi deg rapporter i formatet <a href="?help=def_pdf_format_help">PDF</a> (som betyr at du må ha et program som kan vise/skrive ut dette formatet, for eksempel <a href="http://www.adobe.com/products/acrobat/readstep2.html" alt="Hent det gratis her" title="Hent det gratis her" >Adobe Reader</a>).<br />Etter å ha valgt ønsket rapport, må du gjøre ulike valg i forhold til hva som skal vises;<br />- I rapporten for person kan du blant annet velge om du vil vise kilder, noter og bilder.<br />Du kan enten velge <b><i>#gm_lang[run_report]#</i></b> for å se på rapporten (ikke tilgjengelig...) eller <b><i>#gm_lang[download_report]#</i></b> for å lagre den på datamaskinen din. <br /><br />Noen av de tilgjengelige rapportene er:<ul><li><a href="#report_ahnen">#gm_lang[ahnentafel_report]#</a><li><a href="#report_birth">#gm_lang[birth_report]#</a><li>#gm_lang[individual_report]#<li>#gm_lang[family_group_report]#<li>#gm_lang[index_header]#<li><a href="#report_rela">#gm_lang[relatives_report]#</a><br /><br /><li><a href="#report_report">Lage rapporter</a></li></ul><br /><br /><a href="#top">#gm_lang[UpArrow]#</a><a name="report_ahnen"> </a>#gm_lang[help_ahnentafel.xml]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="report_birth"> </a>#gm_lang[help_birthlist.xml]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="report_rela"> </a>#gm_lang[help_relativelist.xml]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="report_report"> </a>#gm_lang[help_xml_reports]#<br />"
"help_ahnentafel.xml";"~#gm_lang[ahnentafel_report]#~<br />Dette er en rapport som viser den valgte personen og tilhørende forfedre vist som et hefte.  Den starter med personen og fortsetter med foreldrene, besteforeldrene osv.<br /><br />"
"help_birthlist.xml";"~#gm_lang[birth_report]#~<br />Dette er en rapport som kan vise alle personer som er født på et bestemt tidspunkt eller sted.<br /><br />"
"help_relativelist.xml";"~#gm_lang[relatives_report]#~<br />Dette er en rapport som viser alle slektninger til den valgte personen.  Du kan velge hvilke slektninger i tillegg til valgt person:<ul><li><b>#gm_lang[child-family]#</b> vil vise foreldre og søsken.</li><li><b>#gm_lang[spouse-family]#</b> vil vise ektefelle og felles barn.</li><li><b>#gm_lang[direct-ancestors]#</b> vil vise foreldre, besteforeldre, oldeforeldre, ... til det ikke finnes flere registrerte foreldre i slektslinjen til personen.</li><li><b>#gm_lang[ancestors]#</b> vil vise alle personer i rapporten #gm_lang[direct-ancestors]# og i tillegg tanter og onkler, søsken til besteforeldre osv.  Den vil ikke vise søskenbarn.</li><li><b>#gm_lang[descendants]#</b> vil vise etterkommere (barn, barnebarn, osv).</li><li><b>#gm_lang[all]#</b> vil vise en kombinasjon av rapportene #gm_lang[descendants]# og #gm_lang[ancestors]#.</li></ul><br /><br />"
"help_xml_reports";"~Lage rapporter~<br />Genmod lager rapporter ved hjelp av malfiler i kodespråket XML (avansert utgave av HTML). Formatet på rapportene er <a href="?help=def_pdf_format_help">PDF</a>.<br /><br />De viste rapportene er et resultat av XML-filer funnet i mappen "reports".  Du kan lage dine egne rapporter ved å kopiere en av de eksisterende malene og endre innholdet.<br />Nye rapporter i mappen "reports" vil automatisk bli oppdaget og vist i menyvalget "Rapporter".<br /><br />"
"help_contents_gedcom_info";"GEDCOM / slektsfil"
"help_contents_gedcom_places";"Steder i slektsbasen (Ged)"
"help_repolist.php";"~#gm_lang[repo_list]#~<br /><br />En liste med oppbevaringssteder eller arkivat blir vist på denne siden.<br />Navnene er vist i alfabetisk rekkefølge.<br /><br /><b>Oppbevaringssted</b><br />Uten oppbevaringssteder for kilder kan kan vi ikke lage slektsbasen vår. Det er en kilde for all informasjon lagret her, og kildene oppbevares på et oppbevaringssted. Oppbevaringssteder kan være en person, arkivet til en person, en institusjon, en offentlig database, et offentlig eller kirkelig arkiv, en Internett-kilde, osv. For å få tilgang til en kilde så ønsker vi å vite hvor og på hvilket sted den befinner seg. All nødvendig informasjon for å finne en kilde bør lagres i en liste over oppbevaringssteder.<br /><br />Et oppbevaringssted kan knyttes mot mange kilder.<br /><br />"
"help_repo.php";"~#gm_lang[repo_info]#~<br /><br />Detaljer om oppbevaringsstedet blir vist her. Sammen med kilder, er informasjon om oppbevaringsstedene veldig viktig for slektsforskere.  Ved å ha nøyaktig informasjon om kilder og oppbevaringsteder, kan du følge sporene andre slektsforskere brukte for å finne informasjonen.  Du bør kunne finne den samme informasjonen igjen.<br /><br />På denne siden vil du forhåpentligvis kunne se informasjon om navnet på oppbevaringsstedet, adresse, epost og internettside.<br /><br />Etter informasjonen om oppbevaringsstedet, vil du se en liste med alle kilder som er knyttet til dette oppbevaringsstedet. Det gir deg muligheten til å se all informasjon som er funnet på dette bestemte oppbevaringsstedet.<br /><br />Du vil også ha to eller flere meny-valg på denne siden dersom administratoren til nettstedet har aktivert dette:<br /><b>#gm_lang[view_gedcom]#</b>, som viser informasjonen i GEDCOM-format.<br /><b>#gm_lang[add_to_cart]#</b>, som gjør det mulig å kopiere informasjonen til #gm_lang[clip_cart]# ditt. Herfra kan du hente ned (download) informasjonen i GEDCOM fil-format og import den inn i slektsprogrammet ditt på din lokale maskin.<br /><br />#gm_lang[context_help]#<br /><br />"
"block_default_index";"~Standard rammer for #gm_lang[welcome]#~<br /><br />Dersom du fjerner alle rammene fra listene #gm_lang[main_section]# og #gm_lang[right_section]# eller klikke på knappen <b>#gm_lang[reset_default_blocks]#</b>, vil standard oppsett bli brukt:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[gedcom_stats_block]#<br />#gm_lang[gedcom_news_block]#<br />#gm_lang[gedcom_favorites_block]#<br />#gm_lang[review_changes_block]#</td><td>#gm_lang[gedcom_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[todays_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"block_default_portal";"~Standard rammer for #gm_lang[mygedview]# page~<br /><br />Dersom du fjerner alle rammene fra listene #gm_lang[main_section]# og #gm_lang[right_section]# eller klikke på knappen <b>#gm_lang[reset_default_blocks]#</b>, vil standard oppsett bli brukt:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[todays_events_block]#<br />#gm_lang[user_messages_block]#<br />#gm_lang[user_favorites_block]#<br />&nbsp;</td><td>#gm_lang[welcome_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[upcoming_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"help_faq.php";"~Ofte spurte spørsmål~<br />#gm_lang[text_faq_help]#<br />"
"hs_intro";"Du kan søke i helpesystemet til Genmod.  #gm_lang[hs_title]# gir deg mulighet til å ha en stor grad av kontroll med søkemulighetene; du bør lett kunne finne det du søker etter."
"hs_keyword_advice";"~#gm_lang[hs_keyword]#~<br />Du angir ordene eller emnet du ønsker å finne.<br /><br />Søket bryr seg ikke om store/små bokstaver.  Dersom du søker etter <b>Ekteskap</b>, så vil du finne tekst som inneholder <b>Ekteskap</b>, <b>ekteskap</b> eller <b>EKTESKAP</b>.  Du vil også finne tekst ordet kan være en del av et annet ord (f.eks.  <b>ekteskapsrådgiver</b>).<br /><br />Du kan også søke etter flere ord samtidig.  Skriv inn ordene med kun mellomrom som skille (eks.  <b>person&nbsp;familie&nbsp;barn</b>).  Når du angir flere ord, vil disse bli angitt i feltet #gm_lang[hs_searchhow]#.<br />"
"hs_searchin_advice";"~#gm_lang[hs_searchin]#~<br />Du bestemmer omfanget av søket ditt her.<br /><br />Vanlige brukere kan bare søke i Brukerhjelpen, mens Administratorer har valget om å søke i Brukerhjelp og/eller Konfigurasjonhjelp.<br /><br />Hjelpetekstene innholder også noen spesielle koder.  Dette valget gir deg også mulighet til å søke etter disse.<br />"
"hs_searchhow_advice";"~#gm_lang[hs_searchhow]#~<br />Du klargjør meningen med det du har angitt i feltet #gm_lang[hs_keyword]# ved å velge blant mulghetene her.<br />Dersom for eksempel du skrev inn  <b>person&nbsp;familie&nbsp;barn</b>, vil:<dl><dt><b>#gm_lang[hs_searchany]#</b></dt><dd> Valget vil søke etter ett eller flere av disse ordene i hjelpeteksten, men rekkefølgen av ordene vil ikke ha noen ingen innvirkning.  Valget betyr: "Finn hjelpetekst som inneholdet <u>ett eller flere</u> av ordene <b>person</b>, <b>familie</b> og <b>barn</b>".</dd><br /><dt><b>#gm_lang[hs_searchall]#</b></dt><dd>Valget vil søke etter alle disse ordene i hjelpeteksten, men rekkefølgen av ordene vil ikke ha noen ingen innvirkning.  Valget betyr: "Finn hjelpetekst som inneholdet <u>alle</u> ordene <b>person</b>, <b>familie</b> og <b>barn</b>".</dd><br /><dt><b>#gm_lang[hs_searchsentence]#</b></dt><dd>Valget vil søke etter alle disse ordene i hjelpeteksten med den rekkefølgen som er angitt.  Valget betyr: "Finn hjelpetekst som inneholdet <u>alle</u> ordene <b>person</b>, <b>familie</b> og <b>barn</b> i nøyaktig den rekkefølgen uten andre ord mellom".  Du vil sannsynligvis ikke få noe resultat med over nevne eksempel, men kan være nyttig med andre orskombinasjoner.</dd></dl><br />NB! Det er noen få begrensninger ved denne type søk.  Noen spesielle tegn som f.eks. <b>&quot; &lt; &gt;</b> osv. er lagret i hjelpeteksten på en spesiell måte og vil derfor ikke bli funnet dersom de er en del av søkeordet.  Dette gjelder i noen tekster også for mellomrom (<b>&amp;nbsp;</b>)."
"PROXY_ADDRESS";"Proxy serveradresse"
"PROXY_PORT";"Proxy serverport"
"emptyserverurl";"Server-URL må korrespondere med reel URL. Les mer under."
"duplicatedb";"Database- og tabell-prefiks brukes allerede et annet sted. Angi enten et annet database eller table-prefiks."
"duplicateindexdir";"Denne Indeksmappen brukes allerede et annet sted. Vennligst lag og angi et entydig navn."
"DBPERSIST";"Bruk vedvarende database-forbindelse"
"INDI_FACTS_ADD";"Legg til personfakta"
"INDI_FACTS_UNIQUE";"Unik personfakta"
"FAM_FACTS_ADD";"Legg til familiefakta"
"FAM_FACTS_UNIQUE";"Unik familiefakta"
"SOUR_FACTS_ADD";"Legg til kildefakta"
"SOUR_FACTS_UNIQUE";"Unik kildefakta"
"REPO_FACTS_ADD";"Legg til oppbevaringsstedsfakta"
"REPO_FACTS_UNIQUE";"Unik oppbevaringsstedsfakta"
"LANG_SELECTION";"Støttede språk"
"MEDIA_ID_PREFIX";"Prefiks til Media-ID"
"FAM_ID_PREFIX";"Prefiks til Familie-ID"
"QUICK_REQUIRED_FAMFACTS";"Vis alltid faktaopplysninger for familier ved Hurtig-oppdatering"
"QUICK_ADD_FAMFACTS";"Vis faktaopplysninger for familier ved Hurtig-oppdatering"
"QUICK_REQUIRED_FACTS";"Fakta som alltid vises ved Hurtig-oppdatering"
"QUICK_ADD_FACTS";"Fakta som vises ved Hurtig-oppdatering"
"AUTO_GENERATE_THUMBS";"Lage automatisk miniatyrbilder"
"more_config_hjaelp";"<br /><b>Mer hjelp</b><br />Mer hjelp er tilgjengelig ved å klikke på <b>?</b> etter ulike valg på siden.<br />"
"THUMBNAIL_WIDTH";"Bredde for laging av miniatyrbilder"
"SHOW_SOURCES";"Vis kilder"
"REQUIRE_ADMIN_AUTH_REGISTRATION";"Krever at en administrator godkjenner nye brukeroppføringer"
"SPLIT_PLACES";"Splitt steder i Endringsvisning"
"ALLOW_REMEMBER_ME";"Vis valget <b>Husk meg</b> på siden Logg inn"
"UNDERLINE_NAME_QUOTES";"Understrek navn omgitt av anførselstegn"
"PRIVACY_BY_RESN";"Bruk GEDCOM (RESN) restriksjoner for personvern"
"SHOW_LDS_AT_GLANCE";"Vis LDS ordineringskoder i diagram-bokser"
"GEDCOM_DEFAULT_TAB";"Standard ark/kort som skal vises på faktasiden til personer"
"SHOW_MARRIED_NAMES";"Vis Navn som gift på personlister"
"SHOW_QUICK_RESN";"Vis felt for personvern i #gm_lang[quick_update_title]# skjemaet"
"USE_QUICK_UPDATE";"Bruke skjemaet #gm_lang[quick_update_title]#"
"SEARCHLOG_CREATE";"Arkivere søke-logg-filer"
"CHANGELOG_CREATE";"Arkiver endring-logg-filer"
"CHART_BOX_TAGS";"Vise andre fakta i diagram"
"configure";"Konfigurer Genmod"
"standard_conf";"<b>Standard</b> konfigurasjons-valg"
"advanced_conf";"<b>Avansert</b> konfigurasjons-valg"
"gedcom_conf";"GEDCOM basisvalg"
"media_conf";"Multimedia"
"accpriv_conf";"Tilgang og personvern"
"displ_conf";"Visning og layout"
"displ_names_conf";"Navn"
"displ_comsurn_conf";"Mest brukte etternavn"
"displ_layout_conf";"Layout"
"displ_hide_conf";"Skjul & Vis"
"editopt_conf";"Valg for å redigere"
"useropt_conf";"Bruker-valg"
"contact_conf";"Kontakt-informasjon"
"meta_conf";"META Tag/merker"
"configure_head";"Oppsett for Genmod"
"gedconf_head";"Oppsett for GEDCOM"
"default_user";"Opprett hovedadministratoren."
"about_user";"Du skal først opprette din hovedadministrator.  Denne bruker har rettigheter til å oppdatere konfigurasjonsfiler, se private data, og opprette andre brukere."
"can_admin";"Bruker kan administrere"
"can_edit";"Nivå for rettigheter"
"access";"Innsyn"
"sync_gedcom";"Kopier innstillingene for slektsbasen"
"user_relationship_priv";"Begrens tilgangen til slektninger"
"user_path_length";"Maks antall ledd for personvern for slektninger"
"add_user";"Legg til ny bruker"
