"stat_sources";"Quellen, "
"help_placelist.php";"~LISTE DER ORTE~<br />(oder Personen je Ort)<br /><br />Auf dieser Seite sehen Sie hierarchisch, welche Personen oder Familien mit einem Ort verknüpft sind.<br /><br />Wenn eine Verbindung zwischen einer Person oder Familie und einem Ereignis an einem bestimmten Ort besteht, bekommen Sie es angezeigt.<br /><br />Die Ergebnisse werden in einer 2-spaltigen Liste angezeigt:<br />Eine für Personen und eine für Familien.<br /><br />#gm_lang[more_help]#"
"help_medialist.php";"~MULTI MEDIA LISTE~<br /><br />Die Multi Media Seite listet alle Multi Media Objekte (MMO), die in der GEDCOM-Datei vorkommen.<br /><br />Zu jedem Multimedia-Objekt finden Sie den Titel oder Dateinamen des Objekts sowie die Namen der Personen oder Familien, die mit dem MMO verbunden sind, sowie Notizen zum Objekt.<br /><br />Auf den Titel oder Dateinamen des MMO zu klicken bewirkt das gleiche wie ein Klick auf sein Thumbnail.<br />Abhängig vom Dateiformat (*.gif, *.jpg), wird das MMO mit dem GM-internen Viewer geöffnet oder in einem Viewer-plugin Ihres Browsers.<br /><br />Wenn Sie auf den "Zeige" Link einer Person oder Familie klicken, gelangen Sie zur Seite der jeweiligen Familie oder Person.<br /><br />"
"help_uploadmedia.php";"~MULTIMEDIA-DATEIEN HOCHLADEN~<br /><br />Das Hochladen der Dateien ist einfach, hier aber ein paar Zusatzinformationen.<br /><br /><b>Thumbnails</b><br />Thumbnails sollten ungefährt 100 Pixel breit sein.<br />Der Dateiname muss der selbe sein, wie der des Original-Bildes.<br /><br /><b>Hochladen</b><br />Die Dateien werden automatisch in das Verzeichnis ../media hochgeladen, wenn es sich um Originale handelt und in das Verzeichnis ../media/thumbs/ bei thumbnails.<br /><br />#gm_lang[readme_help]#"
"help_calendar.php";"~JAHRESTAG KALENDER~<br /><br /><ul><li><a href="#calendar_general">Allgemeine Informationen</a><li><a href="#calendar_day">#gm_lang[day]#</a><li><a href="#calendar_month">#gm_lang[month]#</a><li><a href="#calendar_year">#gm_lang[year]#</a><li><a href="#calendar_show">#gm_lang[show]# / #gm_lang[showcal]#</a><li><a href="#calendar_sex">#gm_lang[sex]#</a><li><a href="#calendar_event">Ereignis</a><li><a href="#calendar_button">Vorauswahl (Buttons)</a><li><a href="#calendar_tip">Tipp</a></ul><br /><a name="calendar_general"></a>Der Jahrestag-Kalender zeigt Personen und Familien an, die mit einem Ereignis in Verbindung stehen, das sich an einem bestimmten Tag und/oder Monat oder einem bestimmten Zeitraum ereignet hat. Er besitzt ein mehrstufiges Filtersystem, um das gewünschte Datum/den gewünschten Zeitraum und die Art der Ereignisse auszuwählen.<br /><br /><dl><dt><b><a href="#calendar_day">Tag anzeigen</b></dt><dd>Dies zeigt die Ereignisse eines bestimmten Tages an (unabhängig vom gewählten Jahr). Es wird entweder eine einzelne Liste ausgegeben, die die Namen von Personen oder aber Familien enthält, oder eine 2-spaltige Liste mit Personen in der einen Spalte und Familien in der anderen  Spalte.</dd><dt><b><a href="#calendar_month">Monat anzeigen</a></b></dt><dd>Dies zeigt wird einen <b>Kalender</b> an, wobei die Namen von Personen und Familien jeweils in den Tages-Kästchen erscheinen. Der Kalender erscheint wie in dem Jahr, das Sie im Jahres-Feld eingegeben haben. Alle Ereignisse, die sich in der Vergangenheit bis zu diesem Jahr ereignet haben, werden angezeigt.<br />In Kombination mit der Option "<a href="#calendar_show">#gm_lang[recent_events]#</a>" ergibt sich eine realistische Ansicht, wie sich die Ereignisse für die Vorfahren dargestellt haben.</dd><dt><b><a href="#calendar_year">Jahr anzeigen</a></b></dt><dd>Dies zeigt die Ereignisse eines oder mehrerer Jahre. Es wird entweder eine einzelne Liste ausgegeben, die die Namen von Personen oder aber Familien enthält, oder eine 2-spaltige Liste mit Personen in der einen Spalte und Familien in der anderen  Spalte.</dd></dl><br />Die aktuell eingestellten Datums-Werte sind im Kalender-Menü farblich hervorgehoben dargestellt.<br /><br />Die Namen und Daten, die in der Liste oder im Kalender erscheinen, können Sie anklicken.<br />Wenn Sie auf einen Namen klicken, gelangen Sie Detail-Seite der betreffenden Person oder Familie, wenn Sie auf ein Datum klicken, gelangen Sie in die "Heute"-Ansicht (oder das Jahr) für das angeklickte Datum.<br /><br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_day"> </a>#gm_lang[annivers_date_select_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_month"> </a>#gm_lang[annivers_month_select_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_year"> </a>#gm_lang[annivers_year_select_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_show"> </a>#gm_lang[annivers_show_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_sex"> </a>#gm_lang[annivers_sex_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_event"> </a>#gm_lang[annivers_event_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_button"> </a>#gm_lang[day_month_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_tip"> </a>#gm_lang[annivers_tip_help]#"
"help_clippings.php";"~AUSSCHNITTSAMMELBEHÄLTER~<br />Der Ausschnittssammelbehälter erlaubt "Ausschnitte" aus diesem Stammbaum zu sammeln und in eine separate GEDCOM-Datei zu speichern, die man anschließend herunterladen kann.<br /><br />* Wie wählt man Abschnitte aus ?<br />Jeder anklickbare Name führt auf die Detail-Seite der betreffenden Person (Familie, Quelle). Dort gibt es die Option "Zum Ausschnittsammelbehälter hinzufügen".<br />Klicken Sie auf diesen Link und Sie gelangen zu einer Liste von Optionen.<br /><br />* Wie herunterladen ?<br />Sobald Sie Elemente in Ihrem Sammelbehälter haben, können Sie diese durch Klick auf "Jetzt herunterladen" herunterladen.<br />Folgen Sie den weiteren Anweisungen."
"help_search.php";"~Die SUCH-SEITE~<br /><br />Obwohl diese Seite sehr einfach aussieht, arbeitet Sie mit einem vielseitigen Such-Algorithmus.<br /><br />Die meisten Genealogie-Webseiten ermöglichen nur eine einfache (Nach-)Namen-Suche.<br />Auf dieser Seite können Sie praktisch nach allem suchen.<br /><br />Das Such-Feld auf der linken Seite ist das gleiche wie im Seitenkopf.<br /><br />Wenn Sie nach Personen in Verbindung mit einer bestimmten Jahreszahl suchen, geben Sie nur das Jahr ein. Das Programm wird alle Verbindungen finden.<br /><br />Suchen Sie einen Namen oder einen Ort ?<br />Geben Sie den Namen oder den Ort -vollständing oder teilweise- ein, und das Programm erledigt den Rest.<br /><br />SOUNDEX (Phonetische) Suche<br />Mit diesen Such-Feldern auf der rechten Seite, können Sie nach Namen von Personen oder Orten suchen, auch wenn Sie die genaue Schreibweise nicht kennen.<br /><br />Sie finden weitere Hilfe, wenn Sie auf die Fragezeichen an den Feldern klicken.<br /><br />"
"help_individual.php";"~PERSÖNLICHE INFORMATIONEN SEITE~<br /><br />Auf dieser Seite werden alle Details zu einer Person aufgelistet.<br /><br />Falls ein Bild vorhanden ist, wird es links oben angezeigt.<br />Direkt neben dem Bild (sofern vorhanden) sehen Sie alle Namen der Person.<br />Zu den Namen können Notizen oder Quellen angegeben sein. Wenn zu einem Namen diese Angaben vorhanden sind, werden Sie jeweils unter dem Namen angezeigt.<br />Wenn die Person auch unter anderem Namen bekannt ist (AKA = Also Known As), erscheint dies hier ebenfalls.<br /><br />Wenn Sie Rechte zum Editieren der Daten haben, sehen Sie bei einigen Angaben auch Links zum Editieren oder Löschen.<br /><br />Auf dieser Seite gibt es außerdem die Registerkarten "Persönliche Fakten und Details", "Notizen", "Quellen", "Multimedia" und "Direkte Verwandtschaft".<br /><br />Auf diesen Registerkarten finden Sie alle Informationen die in der GEDCOM-Datei zu dieser Person gespeichert sind.<br /><br />Die Registerkarte "Perönliche Fakten und Details" zeigt die Daten der Person und zu Hochzeiten. Wenn Sie auf ein Datum auf dieser Registerkarte klicken, gelangen Sie zum Jahrestagkalender für dieses Datum, der Ihnen andere Ereignisse dieses Datums aus der GEDCOM-Datei zeigt. Wenn Sie auf einen Ort klicken, gelangen Sie in die Liste der Orte und finden so andere Personen, in deren Leben dieser Ort irgendeine Rolle spielte. Bei Hochzeiten und anderen Familienereignissen, wird der Name des Ehepartners angezeigt, so dass Sie direkt zum Partner gelangen können; außerdem ist ein Link zur Familien-Seite vorhanden.<br /><br />Die "Notizen"-Registerkarte zeigt alle  allgemeinen Notizen, die zu dieser Person vorhanden sind.<br /><br />Die Registerkarte "Quellen" zeigt alle Quellen, in denen diese Person genannt wird. Klicken Sie auf den Titel einer Quelle, erhalten Sie weitere Informationen zu dieser Quelle, sowie eine Liste von weiteren Personen, die in dieser Quelle genannt werden.<br /><br />Die Registerkarte "Multimedia" zeigt alle Bilder oder andere Media-Dateien, die zu dieser Person vorhanden sind. Wenn Sie auf ein Thumbnail eines Bildes klicken, öffnet sich ein größeres Bild-Betrachtungsfenster.<br /><br />Die Registerkarte "Direkte Verwandschaft" listet die Eltern und Geschwistern, sowie die Ehepartner und Kinder dieser Person auf. Alle Personen sind in Boxen dargestellt, die den Boxen in den Diagrammen ähneln.<br /><br />Am rechten Rand des Bildschirmes sehen Sie eine Box mit Links.<br />Die meisten Links in dieser Box entsprechen denen im Menü der Kopfzeile. Wenn Sie z.B. auf den "Stammbaum"-Link an der rechten Seite klicken, gelangen Sie zum Stammbaum DIESER PERSON. Das ist der Unterschied zu den Links im Menü, denn dort führt der "Stammbaum"-Link zum Grund-Stammbaum dieser GEDCOM-Datei.<br /><br />Wenn der Administrator diese Funktion aktiviert hat, erscheint bei diesen Links rechts auch "GEDCOM-Datensatz anzeigen". Dieser Link zeigt Ihnen die GEDCOM Rohdaten dieser Person.<br /><br />Wenn der Ausschnittssammelbehälter aktiviert wurde, erscheint auch ein Link, der diese Person in den Ausschnittssammelbehälter hinzufügt.<br /><br />Der Link "Verwandschaft mit mir" erscheint nur, wenn Sie angemeldet sind und ihnen eine ID in der GEDCOM-Datei zugewiesen wurde. Sie bekommen mit diesem Link angezeigt, wie Sie mit dieser Person verwandt sind.<br /><br />Weitere Hilfe zu dieser Seite erhalten Sie, wenn Sie auf die <b>?</b> neben den Links oder Elementen klicken."
"help_editconfig.php";"~Genmod KONFIGURIEREN~<br /><br />Auf dieser Seite werden die Grundeinstellungen des Programmes vorgenommen, nachdem Genmod neu auf Ihrem Server installiert wurde und zum ersten Mal gestartet wird..<br />#gm_lang[review_readme]#<br /><br />Da dies <b>Grund</b>einstellungen sind, gelten Sie für das gesamte Programm und für alle GEDCOM-Dateien, die Sie darin benutzen.<br />Für jede GEDCOM-Datei können Sie zusätlich noch jeweils eigene Einstellungen festlegen.<br />Hier auf der Konfigurations-Seite können Sie auch auf den Link zur GEDCOM-Verwaltung direkt über der Tabelle klicken.<br />Normalerweise erreichen Sie disen Link im Menü "Mein GedView Portal"."
"help_reportengine.php";"~BERICHTE~<br />Die GM Bericht-Routine nutzt Vorlage-Dateien im XML-Format, um automatisch PDF-Berichte zu erstellen. Zunächst müssen Sie den gewünschten Bericht auswählen. Die Liste der verfügbaren Berichte wird aus den vorhandenen Berichtsvorlagen im "reports"-Verzeichnis generiert. Sobald Sie einen Bericht ausgewählt haben, werden noch berichtspezifische Parameter abgefragt, z.B. welche Person oder Familie die Basis für den Bericht bilden soll oder ob Fotos angezeigt werden sollen oder nicht. Anschließend klicken Sie auf den Button "#gm_lang[download_report]#", um den Bericht auf Ihren Rechner herunterzuladen.<br /><br />Sie können eigene Berichte erstellen, indem Sie eine bestehende Vorlage kopieren und den XML-Code anpassen. Um die so erstellte Vorlage zur Auswahl hinzuzufügen, speichern Sie die Datei im "reports"-Verzeichnis, dann wird GM die Datei finden und automatisch zur Berichts-Auswahlliste hinzufügen."
"help_contents_gedcom_info";"GEDCOM-Informationen"
"help_contents_gedcom_places";"Orte in der GEDCOM-Datei"
"SHOW_SOURCES";"Quellen anzeigen?"
"configure";"Genmod konfigurieren"
"standard_conf";"Konfiguration Grundeinstellungen"
"advanced_conf";"Konfiguration erweiterte Einstellungen"
"meta_conf";"Konfiguration META Tags"
"configure_head";"Genmod Konfiguration"
"gedconf_head";"GEDCOM Konfiguration"
"default_user";"Erstellen Sie den Hauptadministrator."
"about_user";"Sie müssen zunächst den Hauptadministrator erstellen. Dieser Benutzer wird das Recht erhalten, die Konfigurationsdateien zu verändern, private Daten zu sehen oder andere Benutzer zu erstellen."
"can_admin";"darf verwalten"
"can_edit";"Zugriffsrechte"
"access";"Zugreifen"
"add_user";"Neuen Benutzer hinzufügen"
"current_users";"Liste vorhandener Benutzer"
"leave_blank";"Passwort leer lassen, um das aktuelle Passwort beizubehalten."
"other_theme";"Anderes Darstellungsthema. Bitte Verzeichnis eingeben."
"performing_update";"Update wird durchgeführt."
"config_file_read";"Konfigurationsdatei wurde gelesen."
"does_not_exist";"existiert nicht"
"media_drive_letter";"Der Pfad zur Media-Datei sollte keinen Laufwerksbuchstaben enthalten. Diese Datei kann sonst eventuell nicht angezeigt werden."
"gm_config_write_error";"Fehler!!! Die Genmod-Konfigurationsdatei kann nicht geschrieben werden. Bitte Lese- und Schreib-Berechtigungen überprüfen und neu versuchen."
"db_setup_bad";"Ihre aktuelle Datenbank-Konfiguration ist unzulässig. Bitte überprüfen Sie ihre Datenbankverbindungsparameter und konfigurieren Sie diese neu."
"bad_host_user_pass";"Genmod konnte keine Verbindung zu Ihrem Datenbank Host aufbauen. Überprüfen Sie bitte den Host, Benutzernamen und Passwort."
"bad_database_name";"Genmod hat eine Verbindung zu Ihrem Datenbank Host hergestellt, konnte aber den von Ihnen angegebenen Datenbank Namen nicht verwenden. Bitte prüfen Sie, dass diese Datenbank existiert und dass der angegebene Benutzername die notwendigen Zugriffsrechte hat."
"click_here_to_continue";"Hier klicken, um fortzufahren."
"mysql";"MySQL"
"db";"Datenbank"
"admin_gedcoms";"Hier klicken, um GEDCOMs zu verwalten."
"current_gedcoms";"Vorhandene GEDCOMs"
"gedcom_adm_head";"GEDCOM Verwaltung"
"ged_download";"Download"
"ged_gedcom";"GEDCOM-Datei"
"ged_title";"GEDCOM Bezeichnung"
"ged_config";"Konfigurations-Datei"
"ged_privacy";"Datenschutzdatei"
"show_phpinfo";"PHPInfo-Seite anzeigen"
"confirm_gedcom_delete";"Wollen Sie diese GEDCOM Datei wirklich löschen"
"gregorian";"Gregorianisch"
"julian";"Julianisch"
"config_french";"Französisch"
"jewish";"Jüdisch"
"config_hebrew";"Hebräisch"
"jewish_and_gregorian";"Jüdisch and Gregorianisch"
"hebrew_and_gregorian";"Hebräisch and Gregorianisch"
"hijri";"Hijri"
"arabic_cal";"Arabisch"
"disabled";"Deaktiviert"
"mouseover";"Bei "Mouse Over""
"mousedown";"Bei "Mouse Down""
"click";"Bei "Mouse Click""
"mailto";"E-Mail Verknüpfung"
"messaging";"Interne Nachrichten-Funktion von Genmod"
"messaging2";"Interne Nachrichten-Funktion und E-Mail Verknüpfung"
"messaging3";"Genmod sendet E-Mails ohne sie zu speichern"
"no_messaging";"keine Nachrichten-Funktion"
"no_logs";"Logging deaktivieren"
"daily";"Täglich"
"weekly";"Wöchentlich"
"monthly";"Monatlich"
"yearly";"Jährlich"
"enter_db_pass";"Aus Sicherheitsgründen müssen Sie einen Datanbank-Benutzernamen und ein Datenbank-Passwort eingeben, bevor Sie die Konfiguration verändern."
"config_still_writable";"Für Ihre Datei config.php bestehen noch schreib-Rechte. Wenn die Konfiguration beendet ist, sollten Sie die Rechte sicherheitshalber wieder auf Nur-Lesen setzen."
"admin_verification_waiting";"Offene Anträge für Benutzerzugänge"
"DEFAULT_GEDCOM";"Standard GEDCOM"
"privileges";"Rechte"
"date_registered";"Datum der Registrierung"
"last_login";"Letzte Anmeldung"
"server_url_note";"Geben Sie die URL zu Ihrem Genmod-Ordner an. Sie sollten diesen Wert nur ändern, wenn Sie die Bedeutung verstehen. Genmod hat die SERVER_URL wie folgt ermittelt: #GUESS_URL#"
"DBHOST";"Host für die Datenbank"
"DBUSER";"Benutzername für die Datenbank"
"DBPASS";"Passwort für die Datenbank"
"DBNAME";"Name der Datenbank"
"TBLPREFIX";"Prefix der Datenbank Tabelle"
"ALLOW_CHANGE_GEDCOM";"Wechsel der GEDCOM-Datei erlauben"
"CHARACTER_SET";"Kodierung der Schriftzeichen"
"LANGUAGE";"Sprache"
"ENABLE_MULTI_LANGUAGE";"Besuchern den Wechsel der Anzeige-Sprache erlauben"
"CALENDAR_FORMAT";"Kalender Format"
"DISPLAY_JEWISH_THOUSANDS";"Hebräische Tausender anzeigen"
"DISPLAY_JEWISH_GERESHAYIM";"Hebräische Gershayim anzeigen"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Jüdische Ashkenaz Schreibweise"
"DEFAULT_PEDIGREE_GENERATIONS";"Anzahl standardmäßig dargestellter Generationen in der Stammbaum-Darstellung"
"MAX_PEDIGREE_GENERATIONS";"Maximale Anzahl Generationen im Stammbaum"
"MAX_DESCENDANCY_GENERATIONS";"Maximale Anzahl Generationen im Nachfahrenbaum"
"USE_RIN";"RIN# anstelle von GEDCOM ID verwenden"
"PEDIGREE_ROOT_ID";"GEDCOM-Personennummer der standardmäßig ausgewählten Person für Stammbaum und Nachfahrenbaum"
"GEDCOM_ID_PREFIX";"GEDCOM ID Prefix"
"PEDIGREE_FULL_DETAILS";"Geburts- und Todesdetails im Stammbaum und Nachfahrenbaum anzeigen"
"PEDIGREE_LAYOUT";"Standard Stammbaum Layout"
"SHOW_EMPTY_BOXES";"Leere Boxen im Stammbaum anzeigen"
"ZOOM_BOXES";"Boxen in Diagrammen zoombar"
"LINK_ICONS";"PopUp Links in Diagrammen"
"ABBREVIATE_CHART_LABELS";"Bezeichnungen in Diagrammen abkürzen"
"HIDE_LIVE_PEOPLE";"Lebende Personen verbergen"
"REQUIRE_AUTHENTICATION";"Besucher Login notwendig"
"WELCOME_TEXT_AUTH_MODE";"Willkommenstext auf der Login-Seite (Authentifizierungs-Modus)"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Vordefinierter Text, der besagt, dass alle Benutzer einen Zugang beantragen können"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Vordefinierter Text, der besagt, dass der Administrator über den Zugangs-Antrag entscheidet"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Vordefinierter Text, der besagt, dass nur Familienmitglieder einen Zugang beantragen können"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Selbsterstellter Text wie unten angegeben (erscheint nur in der Originalsprache!)"
"WELCOME_TEXT_AUTH_MODE_CUST";"Selbsterstellter Text für den Authentifizierungs-Modus"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Standard Kopf für benutzerdefinierten Willkommens-Text"
"CHECK_CHILD_DATES";"Daten der Kinder überprüfen"
"MAX_ALIVE_AGE";"Alter, ab dem angenommen wird, dass eine Person verstorben ist"
"SHOW_GEDCOM_RECORD";"Besuchern erlauben die GEDCOM-Roh-Daten anzusehen"
"ALLOW_EDIT_GEDCOM";"Online Editieren erlauben"
"INDEX_DIRECTORY";"Verzeichnis der Index-Dateien"
"ALPHA_INDEX_LISTS";"Lange Namens-Listen in Anfangsbuchstaben-Listen aufteilen"
"SHOW_ID_NUMBERS";"ID Nummern bei Namen anzeigen"
"SHOW_PEDIGREE_PLACES";"Anzahl der angezeigten Ebenen der hierarchischen Orts-Angaben"
"MEDIA_EXTERNAL";"Links beibehalten"
"MEDIA_DIRECTORY";"Verzeichnis der Multimedia-Dateien"
"MEDIA_DIRECTORY_LEVELS";"Multimedia Verzeichnis-Tiefe"
"SHOW_HIGHLIGHT_IMAGES";"Definierte Fotos in den Personenboxen anzeigen"
"USE_THUMBS_MAIN";"Thumbnails für Bild-Darstellung auf der Personen-Seite verwenden"
"ENABLE_CLIPPINGS_CART";"Ausschnittssammelbehäter aktivieren"
"HIDE_GEDCOM_ERRORS";"GEDCOM-Fehler verbergen"
"WORD_WRAPPED_NOTES";"Leerzeichen an umgebrochene Notizinformationen anfügen"
"COMMON_NAMES_THRESHOLD";"Mindestanzahl eines Nachnamens, der in der Liste der häufigsten Nachnamen erscheinen soll"
"COMMON_NAMES_ADD";"Namen, die zu der Liste der häufigsten Nachnamen hinzugefügt werden sollen (durch Komma getrennt)"
"COMMON_NAMES_REMOVE";"Namen, die aus der Liste der häufigsten Nachnamen entfernt werden sollen (durch Komma getrennt)"
"HOME_SITE_URL";"URL der Hauptseite der WebSite"
"HOME_SITE_TEXT";"Text für Hauptseite der WebSite"
"CONTACT_EMAIL";"Ihre Kontakt-Emailadresse für genealogische Fragen"
"CONTACT_METHOD";"Kontakt Methode (genealogische Fragen)"
"WEBMASTER_EMAIL";"Email-Adresse des Webmasters"
"SUPPORT_METHOD";"Support Kontakt Methode"
"FAVICON";"Pfad und Dateiname der FavIcon-Grafik"
"THEME_DIR";"Themen Verzeichnis"
"GM_SESSION_SAVE_PATH";"Pfad für die Session-Speicherung"
"SERVER_URL";"Genmod URL"
"LOGIN_URL";"Login URL"
"GM_SESSION_TIME";"Session Timeout"
"SHOW_STATS";"Aufruf-Statistik anzeigen"
"SHOW_COUNTER";"Besucher-Zähler anzeigen"
"USE_REGISTRATION_MODULE";"Besuchern erlauben eine Registrierung anzufordern"
"ALLOW_USER_THEMES";"Besuchern die Auswahl eines Themes erlauben"
"GM_SIMPLE_MAIL";"Einfache Mail-Header bei E-Mails verwenden"
"gedcom_title";"Geben Sie einen Bezeichnung ein, welche die Daten in dieser GEDCOM-Datei beschreibt"
"LOGFILE_CREATE";"Log-Dateien erzeugen"
"GM_MEMORY_LIMIT";"Max. Speicher Begrenzung"
"GM_STORE_MESSAGES";"Erlauben Nachrichten online zu speichern"
"ALLOW_THEME_DROPDOWN";"Theme-Dropdown-Auswahl zum Wechseln von Themes anzeigen"
"META_AUTHOR";"META Tag Autor"
"META_AUTHOR_descr";"Lassen Sie dieses Feld leer, um den vollständigen Namen der GEDCOM-Kontaktperson zu verwenden."
"META_PUBLISHER";"META Tag Publisher"
"META_PUBLISHER_descr";"Lassen Sie dieses Feld leer, um den vollständigen Namen der GEDCOM-Kontaktperson zu verwenden."
"META_COPYRIGHT";"META Tag Copyright"
"META_COPYRIGHT_descr";"Lassen Sie dieses Feld leer, um den vollständigen Namen der GEDCOM-Kontaktperson zu verwenden."
"META_DESCRIPTION";"META Tag Description"
"META_DESCRIPTION_descr";"Lassen Sie dieses Feld leer, um den Titel der aktiven GEDCOM-Datei zu verwenden."
"META_PAGE_TOPIC";"META Tag Page-Topic"
"META_PAGE_TOPIC_descr";"Lassen Sie dieses Feld leer, um den Titel der aktiven GEDCOM-Datei zu verwenden."
"META_AUDIENCE";"META Tag Audience"
"META_PAGE_TYPE";"META Tag Page Type"
"META_ROBOTS";"META Tag Robots"
"META_REVISIT";"Gibt an, wie oft crawler die META Tags untersuchen sollen"
"META_KEYWORDS";"META Tag Keywords"
"META_TITLE";"Zu 'TITLE'-Kennung im Kopfbereich hinzufügen"
"welcome_new";"Willkommen auf Ihrer neuen Genmod-Website. Da sie diese Seite angezeigt bekommen, haben Sie Genmod auf Ihrem Webserver schon erfolgreich installiert und sind nun bereit, es nach Ihren Vorstellungen zu konfigurieren.<br />"
"review_readme";"Sie sollten zunächst die Datei <a href="readme.txt" target="_blank">readme.txt</a> durchlesen, bevor Sie die Konfiguration von Genmod fortsetzen.<br /><br />"
"return_editconfig";"Sie können jederzeit diese Konfigurationsseite aufrufen, indem Sie auf der <b>Administrationsseite</b> auf <b>Konfiguration</b> klicken (oder im Browser die Seite editconfig.php aufrufen ).<br />"
"return_editconfig_gedcom";"Sie können zu dieser Konfiguration jederzeit zurückkehren, indem Sie auf den Link <b>Bearbeiten</b> in der Tabelle <b>Vorhandene GEDCOMs</b> auf der Seite <b>GEDCOM Administration</b> klicken, oder indem Sie in Ihrem Browser die Datei editconfig_gedcom.php aufrufen.<br />"
"save_config";"Konfiguration speichern"
"download_here";"Hier Klicken, um die Datei herunterzuladen."
"download_gedconf";"GEDCOM Konfiguration herunterladen."
"not_writable";"Die Konfiguration lässt sich nicht speichern. Mit dem Download-Button können Sie Ihre Einstellungen in eine Datei speichern, die Sie anschließend manuell hochladen müssen."
"download_file";"Datei Download"
"upload_to_index";"Datei kann anschließend auch manuell in Ihr Index-Verzeichnis hochgeladen werden: "
"edit_privacy";"Konfiguration der Datenschutzdatei"
"edit_privacy_title";"Konfiguration der Datenschutzdatei"
"PRIV_PUBLIC";"Allen Besuchern zeigen"
"PRIV_USER";"Nur angemeldeten Besuchern zeigen"
"PRIV_NONE";"Nur Administratoren zeigen"
"PRIV_HIDE";"Auch vor Administratoren verbergen"
"save_changed_settings";"Änderungen speichern"
"add_new_pp_setting";"Neue Einstellung für eine Person hinzufügen"
"add_new_up_setting";"Neue Einstellung für einen Benutzer hinzufügen"
"add_new_gf_setting";"Neue globale Einstellung hinzufügen"
"add_new_pf_setting";"Neue Einstellung für Ereignisse hinzufügen"
"add_new_pf_setting_indi";"Neue Einstellung für Ereignisse von Personen hinzufügen"
"add_new_pf_setting_source";"Neue Einstellung für Ereignisse von Quellen hinzufügen"
"privacy_indi_id";"Personen-ID"
"privacy_source_id";"Quellen-ID"
"privacy_indi_source";"Person / Quelle"
"privacy_indi";"Person"
"privacy_source";"Quelle"
"file_read_error";"F E H L E R !!! Die Datenschutz-Datei konnte nicht gelesen werden!"
"edit_exist_person_privacy_settings";"Vorhandene Einstellungen für Personen bearbeiten"
"edit_exist_user_privacy_settings";"Vorhandene Einstellungen für Benutzer bearbeiten"
"edit_exist_global_facts_settings";"Vorhandene globale Einstellungen bearbeiten"
"edit_exist_person_facts_settings";"Vorhandene Ereignis-Einstellungen bearbeiten"
"accessible_by";"Wem zeigen?"
"hide";"Verbergen"
"show_question";"Anzeigen?"
"user_name";"Benutzername"
"name_of_fact";"Ereignis-Bezeichnung"
"choice";"Auswahl"
"fact_show";"Ereignis zeigen"
"fact_details";"Ereignis-Details zeigen"
"privacy_header";"Datenschutz-Einstellungen bearbeiten in"
"unable_to_find_privacy_indi";"Zu folgender ID kann keine Person gefunden werden:"
"save_and_import";"Nach dem Speichern dieser GEDCOM Konfiguration müssen Sie die Daten importieren, indem  Sie auf den <strong>"Diese GEDCOM-Datei importieren"</strong> Button klicken oder über fogende Menüpunkte: <strong>Verwalten->GEDCOM Datei Management->GEDCOM Import</strong>"
"help_info";"Hilfe erhalten Sie, wenn Sie auf das jeweilige rote Fragezeichen (?) hinter der Einstellungsbezeichnung klicken."
"SHOW_LIVING_NAMES";"Namen lebender Personen anzeigen"
"USE_RELATIONSHIP_PRIVACY";"Verwandtschafts-Datenschutz einschalten"
"MAX_RELATION_PATH_LENGTH";"Max. Länge der Verwandtschaft"
"CHECK_MARRIAGE_RELATIONS";"Verwandtschaft anhand von Eheschließungen überprüfen"
"SHOW_DEAD_PEOPLE";"Verstorbene Personen anzeigen"
"select_privacyfile_button";"Datenschutzdatei auswählen"
"PRIVACY_BY_YEAR";"Datenschutz mittels Alter eines Ereignisses begrenzen"
"edit_langdiff";"Sprach-Dateien bearbeiten und konfigurieren"
"bom_check";"Sprach-Datei BOM-Test"
"bom_not_found";"Es wurde keine BOM gefunden."
"bom_found";"BOM wurde gefunden in "
"edit_lang_utility";"Bearbeitungsmodul für Sprach-Dateien"
"language_to_edit";"Zu bearbeitende Sprache"
"file_to_edit";"Zu bearbeitende Sprachdatei"
"check";"Prüfen"
"lang_save";"Speichern"
"contents";"Inhalt"
"listing";"Eintragung"
"no_content";"kein Inhalt"
"original_message";"Original Inhalt"
