"select_an_option";"Select an option below:"
"block_default_portal";"~Default blocks on #gm_lang[mygedview]# page~<br /><br />When you remove all entries from the #gm_lang[main_section]# and #gm_lang[right_section]# lists, or when you click the <b>#gm_lang[reset_default_blocks]#</b> button, the block list will be set as follows:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[todays_events_block]#<br />#gm_lang[user_messages_block]#<br />#gm_lang[user_favorites_block]#<br />&nbsp;</td><td>#gm_lang[welcome_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[upcoming_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"help_faq.php";"~Frequently Asked Questions~<br />#gm_lang[text_faq_help]#<br />"
"hs_intro";"You can search Genmod's Help system.  The #gm_lang[hs_title]# feature gives you a high degree of control over the way the search functions; you should be able to find what you are looking for easily."
"hs_keyword_advice";"~#gm_lang[hs_keyword]#~<br />You enter the words or the phrase you wish to find.<br /><br />The search does not pay attention to the case (upper or lower) of the search terms or the text being examined.  This means that if you search for <b>Individual</b>, you will find text containing <b>Individual</b>, <b>individual</b>, or <b>INDIVIDUAL</b>.  You will also find text containing <b>individuals</b>, etc. since the search is looking for sequences of characters rather than words.<br /><br />You can have the search look for several words at once.  Enter all of the words, separating each of them by a space, like this: <b>individual&nbsp;family&nbsp;child</b>.  When more than one word is entered, the meaning of what you have typed is clarified in the #gm_lang[hs_searchhow]# field.<br />"
"hs_searchin_advice";"~#gm_lang[hs_searchin]#~<br />You determine the scope of the search here.<br /><br />Administrators have the choice of searching User Help or Configuration Help or both.  Users do not have this choice; because they do not have access to any configuration features, they can only search the User Help file.<br /><br />The Help files contain not only Help text but also certain text strings used to build input forms and other material.  This option lets you control whether the entire Help file should be examined or whether only the Help text should be looked at.<br />"
"hs_searchhow_advice";"~#gm_lang[hs_searchhow]#~<br />You clarify the meaning of what you have entered into the #gm_lang[hs_keyword]# field by selecting among the possibilities presented here.<br /><dl><dt><b>#gm_lang[hs_searchany]#</b></dt><dd>If you have entered <b>individual&nbsp;family&nbsp;child</b>, this option will find Help text that contains one of the words listed.  The order of the words doesn't matter.  The meaning of the search is: "Find Help text containing <b>individual</b> <u>or</u> <b>family</b> <u>or</u> <b>child</b>".<br /></dd><dt><b>#gm_lang[hs_searchall]#</b></dt><dd>If you have entered <b>individual&nbsp;family&nbsp;child</b>, this option will find Help text that contains all of the words listed.  The order of the words doesn't matter.  The meaning of the search is: "Find Help text containing <b>individual</b> <u>and</u> <b>family</b> <u>and</u> <b>child</b>".<br /></dd><dt><b>#gm_lang[hs_searchsentence]#</b></dt><dd>If you have entered <b>individual&nbsp;family&nbsp;child</b>, this option will find Help text that contains all of the words listed in the order given.  The meaning of the search is: "Find Help text containing the words <b>individual&nbsp;family&nbsp;child</b> in exactly that order with no other words or characters between".  You probably won't find this particular phrase in any Help text.<br /><br />There are a few limitations on this type of search.  Certain special characters such as <b>&quot; &lt; &gt;</b> etc. are contained within the Help text in symbolic form and won't be found if they form part of the text you enter.  Some Help text contains a special kind of Space character represented by <b>&amp;nbsp;</b> and you won't find phrases containing this character.</dd></dl>"
"PROXY_ADDRESS";"Proxy Server Address"
"PROXY_PORT";"Proxy Server Port"
"PROXY_USER";"Proxy Authentication Username"
"PROXY_PASSWORD";"Proxy Authentication Password"
"emptyserverurl";"Server URL must correspond with actual URL. Please read below."
"duplicatedb";"Database and table prefix already used by another site. Specify either another database or another table prefix."
"duplicateindexdir";"This Index Directory is already in use by another site. Please create and specify a unique one."
"DBPERSIST";"Use persistent database connections"
"INDI_FACTS_ADD";"Individual Add Facts"
"INDI_FACTS_UNIQUE";"Unique Individual Facts"
"FAM_FACTS_ADD";"Family Add Facts"
"FAM_FACTS_UNIQUE";"Unique Family Facts"
"SOUR_FACTS_ADD";"Source Add Facts"
"SOUR_FACTS_UNIQUE";"Unique Source Facts"
"REPO_FACTS_ADD";"Repository Add Facts"
"REPO_FACTS_UNIQUE";"Unique Repository Facts"
"MEDIA_FACTS_ADD";"Multimedia Object Add Facts"
"MEDIA_FACTS_UNIQUE";"Unique Multimedia Object Facts"
"NOTE_FACTS_ADD";"General Note Add Facts"
"NOTE_FACTS_UNIQUE";"Unique General Note Facts"
"LANG_SELECTION";"Supported languages"
"MEDIA_ID_PREFIX";"Media ID prefix"
"FAM_ID_PREFIX";"Family ID prefix"
"NOTE_ID_PREFIX";"Note ID prefix"
"QUICK_REQUIRED_FAMFACTS";"Facts for families to always show on Quick Update"
"QUICK_ADD_FAMFACTS";"Facts for families to show on Quick Update"
"QUICK_REQUIRED_FACTS";"Facts to always show on Quick Update"
"QUICK_ADD_FACTS";"Facts to show on Quick Update"
"AUTO_GENERATE_THUMBS";"Automatically generated thumbnails"
"more_config_hjaelp";"<br /><b>More help</b><br />More help is available by clicking the <b>?</b> next to items on the page.<br />"
"THUMBNAIL_WIDTH";"Width of generated thumbnails"
"SHOW_SOURCES";"Show sources"
"LINK_PRIVACY";"Privacy by linked records"
"REQUIRE_ADMIN_AUTH_REGISTRATION";"Require an administrator to approve new user registrations"
"SPLIT_PLACES";"Split places in Edit mode"
"ALLOW_REMEMBER_ME";"Show <b>Remember Me</b> option on Login page"
"UNDERLINE_NAME_QUOTES";"Underline names in quotes"
"PRIVACY_BY_RESN";"Use GEDCOM (RESN) Privacy restriction"
"SHOW_LDS_AT_GLANCE";"Show LDS ordinance codes in chart boxes"
"GEDCOM_DEFAULT_TAB";"Default tab to show on Individual page"
"SHOW_MARRIED_NAMES";"Show married names on Individual list"
"SHOW_NICK";"Show nicknames in person names"
"SHOW_QUICK_RESN";"Show privacy fields on #gm_lang[quick_update_title]# form"
"USE_QUICK_UPDATE";"Use #gm_lang[quick_update_title]# form"
"SEARCHLOG_CREATE";"Archive SearchLog files"
"CHANGELOG_CREATE";"Archive ChangeLog files"
"CHART_BOX_TAGS";"Other facts to show in charts"
"configure";"Configure Genmod"
"standard_conf";"Standard Configuration Options"
"advanced_conf";"Advanced Configuration Options"
"gedcom_conf";"File Basics"
"media_conf";"Multimedia"
"accpriv_conf";"Access"
"displ_conf";"Display and Layout"
"displ_names_conf";"Names"
"displ_comsurn_conf";"Common Surnames"
"displ_layout_conf";"Layout"
"displ_hide_conf";"Hide and Show"
"editopt_conf";"Edit Options"
"useropt_conf";"User Options"
"contact_conf";"Contact Information"
"meta_conf";"Web Site and META Tag Settings"
"configure_head";"Genmod Configuration"
"gedconf_head";"GEDCOM Configuration"
"default_user";"Create the default administrative user."
"about_user";"You must first create your main administrative user.  This user will have privileges to update the configuration files, view private data, and create other users."
"can_admin";"User can administer"
"can_edit";"Access level"
"access";"Access"
"sync_gedcom";"Synchronize User Settings with GEDCOM Data"
"user_relationship_priv";"Limit access to related people"
"user_path_length";"Max relationship privacy path length"
"user_path_marr";"Use partners in path calculation"
"add_user";"Add a new user"
"current_users";"User List"
"select";"Select"
"do_massupdate";"Perform mass update with selected"
"mass_update";"Mass update user settings"
"mu_users";"Users to be updated"
"mu_options";"Options to be changed"
"mu_descr";"Description"
"mu_new_value";"Select a new value"
"leave_blank";"Leave password blank if you want to keep the current password."
"other_theme";"Other, please type in"
"performing_update";"Performing update."
"config_file_read";"Config file read."
"does_not_exist";"does not exist"
"media_drive_letter";"Media path should not contain a drive letter; media may not be displayed."
"gm_config_write_error";"Error!!! Cannot write to the Genmod configuration file.  Please check file and directory permissions and try again."
"db_setup_bad";"Your current database configuration is bad.  Please check your database connection parameters and configure again."
"bad_host_user_pass";"Genmod was unable to make a connection to your database host.  Check the host, username, and password to make sure they are correct."
"bad_database_name";"Genmod made a connection to your database host, but was unable to use the database with the name you entered.  Check that the database exists and that the username you entered has the appropriate permissions on that database."
"click_here_to_continue";"Click here to continue."
"mysql";"MySQL"
"db";"Database"
"admin_gedcoms";"Click here to administer files"
"current_gedcoms";"Current files"
"gedcom_adm_head";"File Administration"
"ged_download";"Download"
"ged_gedcom";"Data file"
"ged_title";"Title"
"ged_config";"Configuration file"
"ged_search";"SearchLog files"
"ged_change";"ChangeLog files"
"ged_privacy";"Privacy file"
"show_phpinfo";"Show PHP information page"
"confirm_gedcom_delete";"Are you sure you want to delete this file"
"gregorian";"Gregorian"
"julian";"Julian"
"config_french";"French"
"jewish";"Jewish"
"config_hebrew";"Hebrew"
"jewish_and_gregorian";"Jewish and Gregorian"
"hebrew_and_gregorian";"Hebrew and Gregorian"
"hijri";"Hijri"
"arabic_cal";"Arabic"
"disabled";"Disabled"
"mouseover";"On Mouse Over"
"mousedown";"On Mouse Down"
"click";"On Mouse Click"
"mailto";"Mailto link"
"messaging";"Genmod internal messaging"
"messaging2";"Internal messaging with emails"
"messaging3";"Genmod sends emails with no storage"
"no_messaging";"No contact method"
"no_logs";"Disable logging"
"daily";"Daily"
"weekly";"Weekly"
"monthly";"Monthly"
"yearly";"Yearly"
"enter_db_pass";"For security, you must enter the #gm_lang[DBUSER]# and #gm_lang[DBPASS]# before changing configuration values."
"config_still_writable";"Your <i>config.php</i> file is still writable.  For security, you should set the permissions of this file back to read-only when you have finished configuring your site."
"admin_verification_waiting";"User accounts awaiting verification by admin"
"admin_user_warnings";"One or more user accounts have warnings"
"DEFAULT_GEDCOM";"Default file"
"privileges";"Privileges"
"date_registered";"Date registered"
"last_login";"Last logged in"
"normal";"All news"
"urgent";"Urgent news"
"server_url_note";"This should be the URL to your Genmod folder.  You should only change this setting if you are sure you know what you are doing.  Genmod has determined this value to be <b>#GUESS_URL#</b>"
"DBHOST";"Database Host"
"DBUSER";"Database Username"
"DBPASS";"Database Password"
"DBNAME";"Database Name"
"TBLPREFIX";"Database Table Prefix"
"ALLOW_CHANGE_GEDCOM";"Allow GEDCOM switching"
"upload_path";"Upload path"
"gedcom_path";"Path and name of GEDCOM on server"
"CHARACTER_SET";"Character Set encoding"
"LANGUAGE";"Language"
"ENABLE_MULTI_LANGUAGE";"Allow user to change language"
"CALENDAR_FORMAT";"Calendar format"
"DISPLAY_JEWISH_THOUSANDS";"Display Hebrew Thousands"
"DISPLAY_JEWISH_GERESHAYIM";"Display Hebrew Gershayim"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Jewish Ashkenaz pronunciation"
"USE_RTL_FUNCTIONS";"Use RTL processing"
"DEFAULT_PEDIGREE_GENERATIONS";"Pedigree generations"
"MAX_PEDIGREE_GENERATIONS";"Maximum Pedigree generations"
"MAX_DESCENDANCY_GENERATIONS";"Maximum Descendancy generations"
"USE_RIN";"Use RIN number instead of GEDCOM ID"
"PEDIGREE_ROOT_ID";"Default person for Pedigree and Descendancy charts"
"GEDCOM_ID_PREFIX";"Individual ID prefix"
"SOURCE_ID_PREFIX";"Source ID prefix"
"REPO_ID_PREFIX";"Repository ID prefix"
"PEDIGREE_FULL_DETAILS";"Show Birth and Death details on Pedigree and Descendancy charts"
"PEDIGREE_LAYOUT";"Default Pedigree chart layout"
"SHOW_EMPTY_BOXES";"Show empty boxes on Pedigree charts"
"ZOOM_BOXES";"Zoom boxes on charts"
"LINK_ICONS";"PopUp links on charts"
"ABBREVIATE_CHART_LABELS";"Abbreviate chart labels"
"SHOW_PARENTS_AGE";"Show age of parents next to child's birthdate"
"SHOW_RELATIVES_EVENTS";"Show events of close relatives on Individual page"
"EXPAND_RELATIVES_EVENTS";"Automatically expand list of events"
"HIDE_LIVE_PEOPLE";"Show people who are alive"
"REQUIRE_AUTHENTICATION";"Require visitor authentication"
"WELCOME_TEXT_AUTH_MODE";"Welcome text on Login page in Authentication mode"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Predefined text that states all users can request a user account"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Predefined text that states admin will decide on each request for a user account"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Predefined text that states only family members can request a user account"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Choose user defined welcome text typed below"
"WELCOME_TEXT_AUTH_MODE_CUST";"Custom Welcome text for Authentication mode"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Standard header for custom Welcome text"
"CHECK_CHILD_DATES";"Check child dates"
"MAX_ALIVE_AGE";"Age at which to assume a person is dead"
"SHOW_GEDCOM_RECORD";"Allow users to see raw GEDCOM records"
"EDIT_GEDCOM_RECORD";"Allow users to edit raw GEDCOM records"
"ALLOW_EDIT_GEDCOM";"Enable online editing"
"EDIT_AUTOCLOSE";"Autoclose edit window"
"INDEX_DIRECTORY";"Index file directory"
"POSTAL_CODE";"Postal Code position"
"ALPHA_INDEX_LISTS";"Break up lists by the first letter, if longer than"
"SHOW_ID_NUMBERS";"Show ID numbers next to names"
"SHOW_FAM_ID_NUMBERS";"Show ID numbers next to families"
"SHOW_PEDIGREE_PLACES";"Place levels to show in person boxes"
"MEDIA_EXTERNAL";"Keep links"
"MEDIA_DIRECTORY";"MultiMedia directory"
"MEDIA_DIRECTORY_LEVELS";"Multi-Media directory levels to keep"
"SHOW_HIGHLIGHT_IMAGES";"Show highlight images in people boxes"
"USE_THUMBS_MAIN";"Use thumbnail for main picture on Individual page"
"ENABLE_CLIPPINGS_CART";"Enable Clippings Cart"
"HIDE_GEDCOM_ERRORS";"Hide GEDCOM errors"
"WORD_WRAPPED_NOTES";"Add spaces where notes were wrapped"
"DAYS_TO_SHOW_LIMIT";"Upcoming Events block day limit"
"COMMON_NAMES_THRESHOLD";"Min. no. of occurrences to be a 'Common Surname'"
"COMMON_NAMES_ADD";"Names to add to Common Surnames (comma separated)"
"COMMON_NAMES_REMOVE";"Names to remove from Common Surnames (comma separated)"
"HOME_SITE_URL";"Main WebSite URL"
"HOME_SITE_TEXT";"Main WebSite text"
"CONTACT_EMAIL";"Genealogy contact"
"CONTACT_METHOD";"Contact method"
"WEBMASTER_EMAIL";"Support contact"
"SUPPORT_METHOD";"Support method"
"FAVICON";"Favorites icon"
"THEME_DIR";"Theme directory"
"PHP_TIME_LIMIT";"PHP time limit"
"GM_SESSION_SAVE_PATH";"Session save path"
"SERVER_URL";"Genmod URL"
"LOGIN_URL";"Login URL"
"GM_SESSION_TIME";"Session timeout"
"SHOW_STATS";"Show execution statistics"
"SHOW_COUNTER";"Show hit counters"
"USE_REGISTRATION_MODULE";"Allow visitors to request account registration"
"ALLOW_USER_THEMES";"Allow users to select their own theme"
"GM_SIMPLE_MAIL";"Use simple mail headers in external mails"
"gedcom_title";"#gm_lang[ged_title]#"
"LOGFILE_CREATE";"Archive log files"
"GM_MEMORY_LIMIT";"Memory limit"
"GM_STORE_MESSAGES";"Allow messages to be stored online"
"ALLOW_THEME_DROPDOWN";"Display theme dropdown selector for theme changes"
"MAX_VIEW_RATE";"Maximum page view rate"
"page_views";"&nbsp;&nbsp;page views in&nbsp;&nbsp;"
"seconds";"&nbsp;&nbsp;seconds"
"LOCKOUT_TIME";"Minutes to block intruding IP's"
"META_AUTHOR";"Author META tag"
"META_AUTHOR_descr";"Leave this field empty to use the full name of the #gm_lang[CONTACT_EMAIL]#."
"META_PUBLISHER";"Publisher META tag"
"META_PUBLISHER_descr";"Leave this field empty to use the full name of the  #gm_lang[CONTACT_EMAIL]#."
"META_COPYRIGHT";"Copyright META tag"
"META_COPYRIGHT_descr";"Leave this field empty to use the full name of the  #gm_lang[CONTACT_EMAIL]#."
"META_DESCRIPTION";"Description META tag"
"META_DESCRIPTION_descr";"Leave this field empty to use the title of the currently active database."
"META_PAGE_TOPIC";"Page-topic META tag"
"META_PAGE_TOPIC_descr";"Leave this field empty to use the title of the currently active database."
"META_AUDIENCE";"Audience META tag"
"META_PAGE_TYPE";"Page-type META tag"
"META_ROBOTS";"Robots META tag"
"META_REVISIT";"How often should crawlers revisit META tag"
"META_KEYWORDS";"Keywords META tag"
"META_SURNAME_KEYWORDS";"Add Most Common Surnames to Keywords META field"
"META_TITLE";"Add to TITLE header tag"
"RSS_FORMAT";"RSS Format"
"NEWS_TYPE";"Type of Genmod News to display on Admin page"
"welcome_new";"Welcome to your new Genmod website."
"welcome_new2";"<br /><br />Since you are seeing this page, you have successfully installed Genmod on your server and are ready to begin configuring it to your requirements.<br /><br />"
"return_editconfig_gedcom";"You may return to this configuration at any time by clicking the link <b>Edit</b> in the <b>#gm_lang[current_gedcoms]#</b> table on the <b>#gm_lang[gedcom_adm_head]#</b> page or by pointing your browser to </i>editconfig_gedcom.php</i>.<br />"
"save_config";"Save configuration"
"download_here";"Click here to download file."
"download_gedconf";"Download GEDCOM configuration."
"not_writable";"We have detected that your configuration file is not writable by PHP.  You can use the <b>#gm_lang[download_file]#</b> button to save your settings to a file that you can upload manually."
"download_file";"Download File"
"upload_to_index";"Upload the file to your index directory: "
"import_sql";"SQL files have been found in your index directory. Since they may have originated from the User Migration tool, you have the option to import the information into your database. Do you wish to attempt importing these files into your database now? All existing user-related information (users, news, favorites, block layouts, and messages) in your database will be lost.<br /><br />If you choose to proceed, Genmod will attempt to import the data. If this is not successful, you will be asked to make the first administrator account anyway.<br /><br />"
"edit_privacy";"Edit Privacy"
"edit_privacy_title";"Edit GEDCOM privacy settings"
"PRIV_PUBLIC";"Show to public"
"PRIV_USER";"Show only to authenticated users"
"PRIV_NONE";"Show only to admin users"
"PRIV_HIDE";"Hide even from admin users"
"save_changed_settings";"Save changes"
"add_new_pp_setting";"Add new setting for Record Level Privacy"
"add_new_up_setting";"Add new setting for User Related Privacy"
"add_new_gf_setting";"Add new setting for Global Fact Level Privacy"
"add_new_pf_setting";"Add new setting for Specific Fact Level Privacy"
"add_new_pf_setting_indi";"Add new setting for Specific Fact Level Privacy for individuals"
"add_new_pf_setting_source";"Add new setting for Specific Fact Level Privacy for sources"
"privacy_indi_id";"Individual - ID"
"privacy_source_id";"Source - ID"
"privacy_indi_source";"Individual / Source"
"privacy_indi";"Individual"
"privacy_source";"Source"
"file_read_error";"E R R O R !!! Could not read privacy file!"
"edit_exist_person_privacy_settings";"Edit existing settings for Record Level Privacy "
"edit_exist_user_privacy_settings";"Edit existing settings for User Related Privacy"
"edit_exist_global_facts_settings";"Edit existing settings for Global Fact Level Privacy"
"edit_exist_person_facts_settings";"Edit existing settings for Specific Fact Level Privacy"
"general_privacy";"General Privacy settings"
"person_privacy";"Record Level Privacy settings"
"user_privacy";"User Related Privacy settings"
"global_facts";"Global Fact Level Privacy settings"
"person_facts";"Specific Fact Level Privacy settings"
"accessible_by";"Show to?"
"hide";"Hide"
"show_question";"Show?"
"user_name";"Username"
"name_of_fact";"Name of fact"
"choice";"Choice"
"fact_show";"Show fact"
"fact_details";"Show fact details"
"privacy_header";"Edit privacy settings"
"unable_to_find_privacy_indi";"Unable to find individual with id"
"save_and_import";"After you save this GEDCOM configuration you will need to import the GEDCOM by clicking the <b>Import GEDCOM</b> button or by going to <b>Admin->Manage GEDCOMs->Import</b>"
"help_info";"You can get help for each item by clicking on the red &quot;?&quot; beside the label for each cell."
"SHOW_LIVING_NAMES";"Show living names"
"SHOW_RESEARCH_LOG";"Show ToDo's"
"USE_RELATIONSHIP_PRIVACY";"Use relationship privacy"
"MAX_RELATION_PATH_LENGTH";"Max. relation path length"
"CHECK_MARRIAGE_RELATIONS";"Check marriage relations"
"SHOW_DEAD_PEOPLE";"Show dead people"
"select_privacyfile_button";"Select privacy file"
"PRIVACY_BY_YEAR";"Limit Privacy by age of event"
"enable_disable_lang";"Configure supported languages"
"translator_tools";"Translator tools"
"edit_langdiff";"Edit and configure language files"
"bom_check";"Byte Order Mark (BOM) check"
"bom_check_desc";"This check will analyze all the language files for the BOM (Byte Order Mark). If found, it will remove the BOM from the affected file. These special codes can cause malfunctions in some parts of Genmod."
"lang_debug";"Help Text Debug Option"
"lang_debug_desc";"When you enable this option, the names of the language variables used in help text will print in the help text popup window.  This will help translators determine the variable name when text needs to be adjusted.<br /><br />This setting will only be valid during your current Genmod session."
"lang_debug_use";"Use Help Text Debug Option"
"bom_not_found";"No BOM has been found."
"bom_found";"BOM has been found in "
"edit_lang_utility";"Language File Edit Utility"
"edit_lang_utility_desc";"You can use this utility to edit the contents of a language file by using the contents of the English one.<br /><br />You will see the contents of the original English language file and the contents of the same file type (there are four of these) in your chosen language.  You click on the message text shown below the English version.  This opens a new window where you can modify the text.  You can save the changes or abandon them."
"language_to_edit";"Language to edit"
"file_to_edit";"Language file type to edit"
"check";"Check"
"lang_save";"Save"
"contents";"Contents"
"listing";"Listing"
"no_content";"No Content"
"editlang";"Edit"
"savelang";"Save"
"original_message";"Original message"
"message_to_edit";"Message to edit"
"changed_message";"Changed content"
"message_empty_warning";"-> Warning!!! This message is empty in #LANGUAGE_FILE# <-"
"language_to_export";"Language to export"
"export_lang_utility";"Language File Export Utility"
"export";"Export"
"export_lang_utility_desc";"You can create documentation for administrators.<br /><br />This utility will produce an HTML version of the Configuration Help file in the selected language.  You can use your browser to look at this file, which is formatted for printing."
"export_ok";"Help messages were exported"
"compare_lang_utility";"Language File Comparison Utility"
"compare_lang_utility_desc";"This utility will compare two sets of language files to produce a list of the additions and subtractions between them.<br /><br />Read also the file <a href="languages/LANG_CHANGELOG.txt" target="_blank">LANG_CHANGELOG.txt</a> for changes to the English version.  The English files should be used as the reference from which all others are produced."
"new_language";"Source language"
"old_language";"Secondary language"
"compare";"Compare"
"comparing";"Language files that are compared"
"comparing_main";"Main texts"
"comparing_facts";"Facts"
"additions";"Additions"
"no_additions";"No Additions"
"subtractions";"Subtractions"
"no_subtractions";"No subtractions"
"config_lang_utility";"Configuration of supported languages"
"active";"Active"
"edit_settings";"Edit settings"
"lang_edit";"Edit"
"lang_language";"Language"
"export_filename";"Output file name:"
"lang_back";"Return to the main menu to edit and configure language files"
"lang_back_admin";"Return to the Admin menu"
"lang_back_manage_gedcoms";"Return to the GEDCOM management menu"
"lang_name_czech";"Czech"
"lang_name_chinese";"Chinese"
"lang_name_danish";"Danish"
"lang_name_dutch";"Dutch"
"lang_name_english";"English"
"lang_name_finnish";"Finnish"
"lang_name_french";"French"
"lang_name_german";"German"
"lang_name_hebrew";"Hebrew"
"lang_name_hungarian";"Hungarian"
"lang_name_italian";"Italian"
"lang_name_norwegian";"Norwegian"
"lang_name_polish";"Polish"
"lang_name_portuguese";"Portuguese"
"lang_name_portuguese_br";"Portuguese (Brazil)"
"lang_name_russian";"Russian"
"lang_name_spanish";"Spanish"
"lang_name_spanish_ar";"Spanish (Latin America)"
"lang_name_swedish";"Swedish"
"lang_name_turkish";"Turkish"
"lang_name_greek";"Greek"
"lang_name_arabic";"Arabic"
"lang_name_lithuanian";"Lithuanian"
"lang_name_vietnamese";"Vietnamese"
"lang_new_language";"New Language"
"original_lang_name";"Original name of language in #D_LANGNAME#"
"lang_shortcut";"Abbreviation for language files"
"lang_langcode";"Language detection codes"
"lang_filenames";"Language files"
"flagsfile";"Flag file"
"text_direction";"Text direction"
"date_format";"Date format"
"time_format";"Time format"
"week_start";"Week starting day"
"name_reverse";"Surname first"
"ltr";"Left to right"
"rtl";"Right to left"
"file_does_not_exist";"ERROR! The file does not exist..."
"alphabet_upper";"Alphabet upper case"
"alphabet_lower";"Alphabet lower case"
"lang_config_write_error";"Error writing language settings into the file <b>lang_settings.php</b>.  Please check permissions and try again."
"translation_forum";"Genmod Translations forum on Genmod.net"
"translation_forum_desc";"This <a href="http://www.genmod.net/forum/viewforum.php?f=4" target=_blank><b>link</b></a> opens a new browser window.  You will be redirected to the Translations forum of Genmod, where you can discuss translation topics."
"system_time";"Current System Time:"
"gedcom_not_imported";"This GEDCOM has not yet been imported."
"lang_set_file_read_error";"E R R O R !!! Could not read <b>lang_settings.php</b>!"
"add_new_language";"Add files and settings for a new language"
"add_new_language_desc";"This routine lets you add a new, previously unavailable and completely unsupported language to Genmod.<br /><br />You can set up the standard settings of the new language.  These include language detection code, language direction, start of the week for this language, time settings, alphabet, etc.<br /><br />You will get more help on the settings of languages supported by Genmod after selecting the language and clicking the <b>#gm_lang[add_new_lang_button]#</b> button.<br /><br />More help is available on the Configuration page for the language.<br />"
"add_new_lang_button";"Add new language"
"hide_translated";"Hide translated"
"lang_file_write_error";"E R R O R !!!<br /><br />Could not write changes into the selected language file.  Please check Write permissions on <b>#lang_filename#</b>"
"no_open";"E R R O R !!!<br /><br />Cannot open file <b>#lang_filename#</b>"
"never";"Never"
"users_total";"Total number of users"
"users_admin";"Site Administrators"
"users_unver";"Unverified by User"
"users_unver_admin";"Unverified by Administrator"
"users_langs";"Users' languages"
"warn_users";"Users with warnings"
"users_gedadmin";"GEDCOM Administrators"
"cleanup_users";"Cleanup users"
"usr_no_cleanup";"Nothing found to cleanup"
"back_useradmin";"Back to User Administration"
"del_proceed";"Continue"
"del_unveru";"User didn't verify within 7 days."
"del_unvera";"User not verified by administrator."
"del_gedrights";"GEDCOM no longer active, remove user references."
"usr_idle";"Number of months since the last login for a user's account to be considered inactive: "
"usr_idle_toolong";"User's account has been inactive too long: "
"usr_unset_rights";"Unset GEDCOM rights for "
"usr_unset_rootid";"Unset root ID for "
"usr_unset_gedcomid";"Unset GEDCOM ID for "
"usr_deleted";"Deleted user: "
"configured_languages";"Languages used"
"message_to_all";"Send message to all users"
"ip_address";"IP address"
"date_time";"Date and time"
"searchtype";"Search type"
"query";"Query"
"syslog";"System Log"
"show_last";"Show last"
"show_events";"Show Events"
"error";"Error message"
"warning";"Warning message"
"information";"Informational message"
"view_syslog";"View System Log"
"view_gedlog";"View GEDCOM Log"
"view_searchlog";"View Search Log"
"cleanup_older";"Cleanup older than"
"cleanup_success";"Cleanup successful"
"cleanup_failed";"Cleanup failed"
"export_log";"Export logrecords"
"genmodnews";"Genmod News"
"um_header";"User Information Migration tool"
"um_proceed";"Choose an option or click the link below to return to the Administration menu<br /><br />"
"um_creating";"Creating"
"um_file_create_fail1";"Creation of new file failed, a file with that name already exists:"
"um_file_create_fail2";"Cannot create"
"um_file_create_fail3";"Check access rights on this directory."
"um_file_create_succ1";"Creation of new file successful:"
"um_file_not_created";"File is not created."
"um_nomsg";"No Messages seem to be present in the system."
"um_nofav";"No Favorites seem to be present in the system."
"um_nonews";"No News seems to be present in the system."
"um_noblocks";"No Blocks seems to be present in the system."
"um_noaction";"No action is required to migrate user information to SQL mode.<br /><br />Once switched to SQL mode, you need to restart the User Migration tool to import all data into the SQL database.  Genmod will use existing files from Index mode.<br /><br /><b>Do <u>not</u> remove <i>authenticate.php</i> and <i>.dat</i> files from your index directory while switching.</b><br />"
"um_import";"Import"
"um_export";"Export"
"um_imp_users";"Importing users"
"um_imp_blocks";"Importing blocks"
"um_imp_favorites";"Importing favorites"
"um_imp_messages";"Importing messages"
"um_imp_news";"Importing news"
"um_nousers";"File <i>authenticate.php</i> not found in your index directory. Migration is cancelled."
"um_imp_succ";"Import successful"
"um_imp_fail";"Import failed"
"um_backup";"Backup"
"um_restore";"Restore"
"um_zip_succ";"ZIP file successfully created."
"um_zip_dl";"Download ZIPped backup file "
"um_bu_explain";"This tool can make a backup of several kinds of data in Genmod.<br /><br />The data you choose to back up will be gathered into a ZIP file, which you can download by clicking the link at the bottom of the page, after the backup has been successfully made.<br /><br />The ZIP file will remain in your Index directory until you remove it manually.<br />"
"um_bu_config";"Genmod Configuration File, Include Files and Lockout tables"
"um_res_config";"Restore Lockout tables"
"um_bu_mypages";"MyPages"
"um_res_mypages";"Restore MyPages"
"um_bu_gedcoms";"GEDCOM Files"
"um_bu_gedsets";"GEDCOM Settings, Configuration and Privacy files"
"um_res_gedsets";"Restore GEDCOM Settings, Configuration and Privacy files"
"um_res_changes";"Restore GEDCOM changes pending approval"
"um_bu_media";"Backup mediafiles in use by Genmod"
"um_bu_logs";"GEDCOM Logs, SearchLogs, Genmod Logs and hitcounters"
"um_res_logs";"Restore SearchLogs, GEDCOM Logs, Genmod Logs and hitcounters"
