"ABBREVIATE_CHART_LABELS";"Bezeichnungen in Diagrammen abkürzen"
"pls_note09";"Sie haben Ihren Antrag auf Benutzer-Registrierung bestätigt."
"pls_note10";"Der Administrator wurde benachrichtigt. Sobald dieser Ihren Account freigegeben hat, können Sie sich mit Ihrem Benutzernamen und Ihrem Passwort einloggen."
"pls_note10a";"Sie können sich jetzt mit ihrem Benutzernamen und Passwort anmelden."
"pls_note11";"Um ein neues Passwort zu beantragen, geben Sie bitte Ihren Benutzernamen und die E-Mail-Adresse Ihres Zugangs ein.<br /><br />Wir werden Ihnen eine spezielle URL zumailen, die einen Bestätigungs-Code für Ihren Zugang enthält. Auf der Web-Seite dieser URL können Sie Ihr Passwort ändern und sich anmelden. Aus Sicherheitsgründen dürfen Sie diesen Bestätigungs-Code niemandem mitteilen, auch nicht dem Administrator dieser Seite (wir werden Sie nie danach fragen!).<br /><br />Falls Sie Hilfe benötigen, schreiben Sie bitte eine Anfrage an den Administrator."
"pls_note12";"Bitte tragen Sie in diesem Feld ein, warum Sie einen Zugang beantragen und wie Sie mit Personen aus der Datenbank verwandt sind."
"portal_config_intructions";"Sie können die Seite Ihren Wünschen anpassen, indem Sie die Positionen der einzelnen Blöcke angeben.<br /><br />Die Seite ist die beiden Bereiche <b>Hauptbereich</b> und <b>Rechts</b> aufgeteilt. Die Blöcke im <b>Hauptbereich</b> erscheinen größer und unterhalb der Seiten-Überschrift. Der Bereich <b>Rechts</b> beginnt rechts von der Überschrift und setzt sich am rechten Rand der Seite nach unten fort.<br /><br />Jeder Bereich hat seine eigene Liste von Blöcken, die dort in der Reihenfolge ihrer Nennung angezeigt werden. Sie können Blöcke hinzufügen, entfernen oder umsortieren, wie es Ihnen beliebt.<br /><br />Wenn eine der beiden Listen leer ist, dann werden die Blöcke des anderen Bereiches auf der vollen Seitenbreite dargestellt.<br /><br />"
"portrait";"Hochformat"
"preferred_lang";"Dieser Nutzer bevorzugt Nachrichten in #USERLANG#"
"prev";"&lt; Vorhergehende Seite"
"priest";"Pfarrer"
"print";"Drucken"
"print_preview";"Ausdruck-optimierte Version"
"privacy";"Datenschutz"
"privacy_error";"Details dieser Person sind vertraulich.<br />"
"privacy_header";"Datenschutz-Einstellungen bearbeiten in"
"privacy_indi";"Person"
"privacy_indi_id";"Personen-ID"
"privacy_indi_source";"Person / Quelle"
"privacy_list_fam_error";"Aus Datenschutzgründen werden eine oder mehrere Familien verborgen."
"privacy_list_indi_error";"Aus Datenschutzgründen werden eine oder mehrere Personen verborgen."
"privacy_not_granted";"Sie haben keinen Zugriff auf"
"privacy_prevented_editing";"Die Datenschutzeinstellungen verhindern, dass Sie diesen Datensatz bearbeiten können."
"privacy_source";"Quelle"
"privacy_source_id";"Quellen-ID"
"private";"Privat"
"privileges";"Rechte"
"processed_for";"Datei bearbeitet"
"provide_email";"Bitte geben Sie die E-Mail-Adresse an, damit wir Ihre Nachricht beantworten können, andernfalls ist eine Antwort nicht möglich. Ihre E-Mail-Adresse wird ausschließlich zur Beantwortung Ihrer Anfrage genutzt."
"publication";"Publikation:"
"pwreqinfo";"Hallo...<br /><br />Das neue Passwort wurde an die von Ihnen angegebene E-Mail-Adresse versandt.<br /><br />Sie sollten die E-Mail bald in Ihrem Postfach finden.<br /><br />Hinweis:<br />Sie sollten sich baldmöglichst mit dem neuen Passwort anmelden und Ihr Passwort aus Datenschutzgründen gleich ändern."
"qm";"(?)"
"qm_ah";"(?)"
"quick_update_instructions";"Auf dieser Seite können Sie schnell die Daten einer Person aktualisieren. Sie müssen nur die Daten eintragen, die neu sind oder von den Informationen in der Datenbank abweichen. Nachdem ihre Daten übermittelt wurden, müssen sie noch von einem Administrator kontrolliert und akzeptiert werden, bevor sie für alle Nutzer sichtbar werden."
"quick_update_title";"Schnelle Aktualisierung"
"rabbi";"Rabbiner"
"random_media_block";"Zufälliges Bild"
"random_media_descr";"Der Block "Zufälliges Bild" wählt bei jedem Portalaufruf zufällig ein Bild aus der Datenbank aus und zeigt es an."
"random_picture";"Zufällig ausgewähltes Bild"
"reading_file";"GEDCOM-Datei wird gelesen"
"readme_documentation";"README-Datei / Dokumentation"
"rebuild_indexes";"Index-Dateien neu erstellen"
"recent_changes";"Aktuelle Änderungen"
"recent_changes_block";"Aktuelle Änderungen"
"recent_changes_descr";"Der "Aktuelle Änderungen"-Block listet alle Änderungen, die an der GEDCOM-Datei im letzten Monat vorgenommen wurden. Dieser Block kann Ihnen helfen, diese jüngsten Veränderungen zu verfolgen. Die Änderungen werden automatisch anhand des "CHAN"-tags erkannt."
"recent_changes_none";"<b>Innerhalb der letzten #gm_lang[global_num1]# Tage, gab es keine Änderungen.</b><br />"
"recent_changes_some";"<b>In den letzten #gm_lang[global_num1]# Tagen durchgeführte Änderungen</b><br />"
"recent_events";"Jüngere Ereignisse (&lt; 100 Jahre)"
"record";"Datensatz"
"record_copied";"Datensatz in die Zwischenablage kopiert"
"register_info_01";"Der Zugang zu privaten Daten auf dieser Webseite kann eingeschränkt sein wegen geltender Datenschutzbestimmungen. Viele Personen möchten nicht, dass ihre persönlichen Daten im Internet öffentlich zugänglich sind, da diese dann durch Identitäts-Diebstahl oder für Spam-Versandt missbraucht werden könnten.<br /><br />Um die privaten Daten zu sehen, müssen Sie einen Zugang zu dieser Webseite haben. Um einen Zugang zu bekommen, können Sie sich selbst registrieren, wobei Sie einige Fragen zu Ihrer Person beantworten müssen. Sobald der Administrator Ihre Angaben geprüft und die Registrierung aktiviert hat, können Sie sich auf der Weibseite einloggen und private Daten ansehen.<br /><br />Falls die Verwandschaftsüberprüfung eingeschaltet wurde, können Sie auch danach nur auf die privaten Daten ihrer eigenen näheren Verwandtschaft zugreifen. Der Administrator kann Ihnen auch Rechte zur Veränderung der vorhandenen Daten geben oder zum Eingeben neuer Daten.<br /><br />Bitte beachten Sie, dass Sie nur dann Zugriff auf die Daten erhalten, wenn Sie nachweisen können, dass Sie mit einer der Personen in der Datenbank verwandt sind. Falls dies nicht der Fall sein sollte, wäre es nutzlos, einen Antrag zu stellen, weil diesem wahrscheinlich nicht nachgegangen wird.<br /><br />Falls Sie weitere Unterstützung brauchen, klicken Sie bitte auf den unten stehenden Link und fragen Sie den Administrator per E-Mail um Rat.<br /><br />"
"registernew";"Verifizierung der neuen Benutzerdaten"
"registry_officer";"Standesbeamter"
"rela_husb";"Verwandtschaft mit dem Ehemann"
"rela_wife";"Verwandschaft mit der Ehefrau"
"relationship_chart";"Verwandtschaftsberechnung"
"relationship_to_me";"Verwandtschaft mit mir"
"relatives";"Direkte Verwandschaft"
"relatives_report";"Verwandten Bericht"
"remember_me";"Auf diesem Computer angemeldet bleiben?"
"remove";"Entfernen"
"remove_custom_tags";"Benutzerdefinierte GM Tags entfernen? (z.B. _GMU, _THUM)"
"remove_person";"Person entfernen"
"reorder_children";"Kindern neu ordnen"
"reorder_families";"Familien neu ordnen"
"replace";"Datensatz ersetzen"
"reply";"Antwort"
"repo_info";"Archiv Informationen"
"repo_list";"Archiv Liste"
"repo_name";"Archiv-Name:"
"reports";"Berichte"
"repos_found";"gefundene Archive"
"requestaccount";"Als neuer Benutzer anmelden"
"requestpassword";"Passwort verloren! Neues beantragen"
"research_log";"Forschungs-Protokoll"
"reset";"Reset"
"reset_default_blocks";"Reset zur Block Standard-Auswahl"
"resolution";"Bildschirmauflösung"
"return_editconfig_gedcom";"Sie können zu dieser Konfiguration jederzeit zurückkehren, indem Sie auf den Link <b>Bearbeiten</b> in der Tabelle <b>Vorhandene GEDCOMs</b> auf der Seite <b>GEDCOM Administration</b> klicken, oder indem Sie in Ihrem Browser die Datei editconfig_gedcom.php aufrufen.<br />"
"review_changes";"GEDCOM-Änderung überprüfen"
"review_changes_block";"Offene Änderungen"
"review_changes_body";"An einer genealogischen Datenbank wurden Änderungen vorgenommen. Diese Änderungen müssen kontrolliert und akzeptiert werden, bevor sie für alle Nutzer sichtbar werden. Bitte klicken Sie auf die angegebene URL, um auf die Genmod-Seite zu gelangen und melden Sie sich an, um die Änderung zu kontrollieren. "
"review_changes_descr";"Der "offene Änderungen"-Block zeigt Benutzern mit Editierrechten eine Liste der Datensätze die online geändert wurden und die noch kontrolliert und akzeptiert bzw. verworfen werden müssen.<br /><br />Wenn dieser Block aktiviert ist, erhalten Benutzer mit Editierrechten täglich eine Mail, die auf offene Änderungen hinweist."
"review_changes_email";"Erinnerungs E-Mails versenden?"
"review_changes_email_freq";"Erinnerungs E-Mails Häufigkeit (Tage)"
"review_changes_subject";"Genmod - Änderungen kontrollieren"
"right_section";"Blöcke im rechten Bereich"
"root_person";"ID der Startperson"
"rootid";"Startperson für die Stammbaumdarstellung"
"rss_descr";"Neuigkeiten und Links von der Seite #GEDCOM_TITLE#"
"rss_feeds";"RSS Feeds"
"rss_logo_descr";"erstellt mit Genmod"
"rtl";"Rechts nach links"
"run_report";"Bericht erstellen"
"run_tools";"Möchten Sie eines der folgenden Tools anwenden, bevor die GEDCOM-Datei importiert wird:"
"same_ids";"Sie haben zweimal die selbe ID eingegeben. Das Zusammenführen ist nicht möglich."
"saturday";"Samstag"
"save";"Speichern"
"save_and_import";"Nach dem Speichern dieser GEDCOM Konfiguration müssen Sie die Daten importieren, indem  Sie auf den <strong>"Diese GEDCOM-Datei importieren"</strong> Button klicken oder über fogende Menüpunkte: <strong>Verwalten->GEDCOM Datei Management->GEDCOM Import</strong>"
"save_changed_settings";"Änderungen speichern"
"save_config";"Konfiguration speichern"
"savedata";"Geänderte Daten speichern"
"sealing";"Siegelung"
"search";"Suche"
"search_DM";"Daitch-Mokotoff"
"search_fams";"Familien"
"search_gedcom";"GEDCOM-Dateien durchsuchen"
"search_geds";"GEDCOMS in denen gesucht wird"
"search_general";"Normale Suche"
"search_indis";"Personen"
"search_inrecs";"Suchen nach"
"search_more_chars";"Bitte mehr als einen Buchstaben eingeben"
"search_options";"Such-Optionen"
"search_place";"Ort"
"search_russell";"Russell"
"search_soundex";"Soundex Suche"
"search_soundextype";"Soundex Variante:"
"search_sources";"Quellen"
"search_type";"Such-Methode"
"search_year";"Jahr"
"sec";"s"
"security_no_create";"Sicherheits-Hinweis: Die Datei <b><i>index.php</i></b> existiert nicht im Ordner "
"security_not_exist";"Sicherheits-Hinweis: Die Datei <b><i>index.php</i></b> konnte nicht erstellt werden im Ordner "
"select_an_option";"Wählen Sie bitte eine der unten aufgeführten Optionen:"
"select_date";"Datum auswählen"
"select_fact";"Ein Ereignis auswählen..."
"select_gedcom_records";"Wählen Sie zwei GEDCOM-Datensätze zum Zusammenführen aus. Die Datensätze müssen vom gleichen Typ sein."
"select_privacyfile_button";"Datenschutzdatei auswählen"
"select_report";"Bericht auswählen"
"selected_report";"Ausgewählter Bericht"
"send";"Absenden"
"sending_to";"Diese Nachricht wird an #TO_USER# gesendet"
"sep";"September"
"servant";"Diener"
"server_url_note";"Geben Sie die URL zu Ihrem Genmod-Ordner an. Sie sollten diesen Wert nur ändern, wenn Sie die Bedeutung verstehen. Genmod hat die SERVER_URL wie folgt ermittelt: #GUESS_URL#"
"set_link";"Link setzen"
"sex";"Geschlecht"
"show";"Zeigen"
"show_age";"Altersanker anzeigen"
"show_basic";"Grunddaten auch ausdrucken falls leer?"
"show_changes";"Dieser Eintrag wurde geändert. Hier klicken, um die Änderungen zu sehen."
"show_cousins";"Cousins und Cousinen anzeigen"
"show_details";"Details zeigen"
"show_empty_block";"Soll der Block verborgen werden, wenn er leer ist?"
"show_notes";"Notizen anzeigen?"
"show_path";"Pfad anzeigen"
"show_photos";"Fotos zeigen?"
"show_phpinfo";"PHPInfo-Seite anzeigen"
"show_place_hierarchy";"Orts-Hierarchie anzeigen"
"show_place_list";"Alle Orte in einer Liste anzeigen"
"show_question";"Anzeigen?"
"show_spouses";"Ehepartner anzeigen"
"show_surnames";"Nachnamen anzeigen"
"show_thumbnail";"Thumbnails anzeigen"
"showcal";"Anzeige der Ereignisse von:"
"sibling";"Geschwister"
"siblings";"Geschwister"
"sister";"Schwester"
"site_default";"Grundeinstellung"
"skip_cleanup";"Korrigieren überspringen"
"skip_surnames";"Nachnamen Sprung-Liste"
"slk_list";"EXCEL SLK Liste"
"son";"Sohn"
"sorry";"<b>Leider ist die Hilfe für dieses Thema noch nicht fertiggestellt.</b>"
"sort_by";"Sortieren nach"
"sort_by_birth";"Nach Geburtstagen sortieren"
"sort_by_marriage";"Nach Hochzeitsdatum sortieren"
"sosa_10";"Ur-Großvater"
"sosa_11";"Ur-Großmutter"
"sosa_12";"Ur-Großvater"
"sosa_13";"Ur-Großmutter"
"sosa_14";"Ur-Großvater"
"sosa_15";"Ur-Großmutter"
"sosa_16";"Ur-Ur-Großvater"
"sosa_17";"Ur-Ur-Großmutter"
"sosa_18";"Ur-Ur-Großvater"
"sosa_19";"Ur-Ur-Großmutter"
"sosa_2";"Vater"
"sosa_20";"Ur-Ur-Großvater"
"sosa_21";"Ur-Ur-Großmutter"
"sosa_22";"Ur-Ur-Großvater"
"sosa_23";"Ur-Ur-Großmutter"
"sosa_24";"Ur-Ur-Großvater"
"sosa_25";"Ur-Ur-Großmutter"
"sosa_26";"Ur-Ur-Großvater"
"sosa_27";"Ur-Ur-Großmutter"
"sosa_28";"Ur-Ur-Großvater"
"sosa_29";"Ur-Ur-Großmutter"
"sosa_3";"Mutter"
"sosa_30";"Ur-Ur-Großvater"
"sosa_31";"Ur-Ur-Großmutter"
"sosa_32";"Ur-Ur-Ur-Großvater"
"sosa_33";"Ur-Ur-Ur-Großmutter"
"sosa_34";"Ur-Ur-Ur-Großvater"
"sosa_35";"Ur-Ur-Ur-Großmutter"
"sosa_36";"Ur-Ur-Ur-Großvater"
"sosa_37";"Ur-Ur-Ur-Großmutter"
"sosa_38";"Ur-Ur-Ur-Großvater"
"sosa_39";"Ur-Ur-Ur-Großmutter"
"sosa_4";"Großvater"
"sosa_40";"Ur-Ur-Ur-Großvater"
"sosa_41";"Ur-Ur-Ur-Großmutter"
"sosa_42";"Ur-Ur-Ur-Großvater"
"sosa_43";"Ur-Ur-Ur-Großmutter"
"sosa_44";"Ur-Ur-Ur-Großvater"
"sosa_45";"Ur-Ur-Ur-Großmutter"
"sosa_46";"Ur-Ur-Ur-Großvater"
"sosa_47";"Ur-Ur-Ur-Großmutter"
"sosa_48";"Ur-Ur-Ur-Großvater"
"sosa_49";"Ur-Ur-Ur-Großmutter"
"sosa_5";"Großmutter"
"sosa_50";"Ur-Ur-Ur-Großvater"
"sosa_51";"Ur-Ur-Ur-Großmutter"
"sosa_52";"Ur-Ur-Ur-Großvater"
"sosa_53";"Ur-Ur-Ur-Großmutter"
"sosa_54";"Ur-Ur-Ur-Großvater"
"sosa_55";"Ur-Ur-Ur-Großmutter"
"sosa_56";"Ur-Ur-Ur-Großvater"
"sosa_57";"Ur-Ur-Ur-Großmutter"
"sosa_58";"Ur-Ur-Ur-Großvater"
"sosa_59";"Ur-Ur-Ur-Großmutter"
"sosa_6";"Großvater"
"sosa_60";"Ur-Ur-Ur-Großvater"
"sosa_61";"Ur-Ur-Ur-Großmutter"
"sosa_62";"Ur-Ur-Ur-Großvater"
"sosa_63";"Ur-Ur-Ur-Großmutter"
"sosa_7";"Großmutter"
"sosa_8";"Ur-Großvater"
"sosa_9";"Ur-Großmutter"
"soundex_search";"Den Namen nach Aussprache suchen (Soundex-Methode):"
"source";"Quelle"
"source_complete";"Update der Quellen-Index-Datei ist komplett."
"source_downloaded_from";"Daten der Quelle wurden geladen von:"
"source_info";"Informationen zur Quelle"
"source_list";"Quellen Liste"
"source_name";"Quellen-Name:"
"sources";"Quellen"
"sources_found";"Quellen gefunden"
"spouse";"Ehepartner"
"spouse-family";"Ehepartner und Kinder"
"ssourcess";"Quellen"
"standard_conf";"Konfiguration Grundeinstellungen"
"start_at_parents";"Bei den Eltern beginnen"
"starts_with";"Starte mit:"
"stat_10_none";"keiner"
"stat_11_mb";"Geburtsmonat"
"stat_12_md";"Sterbemonat"
"stat_13_mm";"Hochzeitsmonat"
"stat_14_mb1";"Geburtsmonat des ersten Kindes in Bezug"
"stat_15_mm1";"Monat der ersten Hochzeit"
"stat_16_mmb";"Anzahl Monate zwischen Hochzeit und Geburt des ersten Kindes."
"stat_17_arb";"Alter bezogen auf das Geburtsjahr."
"stat_18_ard";"Alter bezogen auf das Sterbejahr."
"stat_19_arm";"Alter im Jahr der Hochzeit."
"stat_200_none";"alle (bzw. keine)"
"stat_201_num";"Anzahl"
"stat_202_perc";"Prozentzahlen"
"stat_20_arm1";"Alter im Jahr der ersten Hochzeit."
"stat_21_nok";"Anzahl der Kinder."
"stat_300_none";"keiner"
"stat_301_mf";"männlich/weiblich"
"stat_302_cgp";"Zeiträume (Bitte Bereichsgrenzen für Zeiträume angeben)"
"stat_families";"Familien, "
"stat_gax";"Bitte Bereichsgrenzen für das Alter angeben"
"stat_gmx";"Bitte Bereichsgrenzen für Monat angeben"
"stat_gnx";"Bitte Bereichsgrenzen für Anzahl angeben"
"stat_individuals";"Personen, "
"stat_other";"Andere Datensätze"
"stat_sources";"Quellen, "
"statar_xga";"Bereichsgrenzen für Anzahl (X-Achse):"
"statar_xgl";"Bereichsgrenzen für Alter (X-Achse):"
"statar_xgm";"Bereichsgrenzen für Monate (x-Achse)."
"statar_xgp";"Bereichsgrenzen für Zeiträume (X-Achse):"
"statar_zgp";"Bereichsgrenzen für Zeiträume (Z-Achse):"
"statistics";"Statistik"
"statlxa";"entlang der X-Achse:"
"statlya";"entlang der Y-Achse:"
"statlza";"entlang der Z-Achse:"
"statmess1";"<b>Hier nur die Werte angeben, die sich gegebenenfalls auf die X-Achse oder die Z-Achse beziehen</b>"
"statnfam";"Anzahl der Familien ="
"statnfemale";"Anzahl weibliche Personen ="
"statnmale";"Anzahl männliche Personen ="
"statnnames";"Anzahl der Namen ="
"statreset";"Zurücksetzen"
"statsubmit";"Grafik anzeigen"
"status";"Status"
"statutci";"Index kann nicht erstellt werden"
"statvars";"Geben Sie bitte die folgenden Variablen zum Zeichnen ein"
"step1";"Schritt 1 von 4:"
"step2";"Schritt 2 von 4:"
"step3";"Schritt 3 von 4:"
"step4";"Schritt 4 von 4:"
"stepbrother";"Stiefbruder"
"stepdad";"Stiefvater"
"stepfamily";"Stief-Familie"
"stepmom";"Stiefmutter"
"stepsister";"Stiefschwester"
"still_living_error";"Diese Person lebt noch oder hat keine Geburts- oder Sterbedaten. Alle Details lebender Personen sind verborgen.<br />Für weitere Informationen schreiben Sie an"
"stpl";"..."
"stplGDno";"Die "Graphics Display Library" ist in PHP4 nicht verfügbar. Bitte wenden Sie sich an Ihren System-Administrator."
"stplage";"Alter"
"stplgzas";"Bereiche Z-Achse:"
"stplinfo";"Zeichnungs-Informationen:"
"stplipot";"/ pro Zeitraum"
"stpljpgraphno";"Die "JPgraph"-Module befinden sich nicht im Ordner <i>Genmod/jpgraph/</i>. Bitte laden Sie sich diese von http://www.aditus.nu/jpgraph/jpdownload.php herunter<br> <h3>Installieren Sie zuerst JPgraph ins Verzeichnis <i>Genmod/jpgraph/</i></h3>.<br>"
"stplmf";"/ männlich-weiblich"
"stplmonth";"Monat"
"stplnoim";"nicht verfügbar:"
"stplnumbers";"Anzahl für eine Familie"
"stplperc";"Prozentzahl"
"stpltype";"Typ:"
"subtractions";"Entfernte Teile"
"suffix";"Namenszusatz:"
"sunday";"Sonntag"
"support_contact";"Kontakt für technische Fragen"
"surname";"Nachname:"
"surnames";"Nachname"
"system_time";"Aktuelle System-Zeit:"
"tables_exist";"Genmod Tabellen sind schon in der Datenbank vorhanden"
"temple";"HLT Tempel"
"temple_code";"HLT Tempel Code:"
"text";"Quellen-Text:"
"text_direction";"Schreibrichtung"
"thankyou";"Hallo #user_fullname# ...<br />Danke für Ihre Anmeldung"
"theme_select_block";"Theme Auswahl"
"theme_select_descr";"Der Block "Theme Auswahl" zeigt die Theme-Auswahl-Liste an - auch dann, wenn der Wechsel des Themes eigentlich deaktiviert ist."
"thumb_genned";"Thumbnail wurde automatisch erstellt."
"thumbgen_error";"Es kann kein Thumbnail erstellt werden für "
"thumbnail";"Thumbnail"
"thursday";"Donnerstag"
"time_format";"Uhrzeitformat"
"time_limit";"PHP Zeitlimit"
"timeline_chart";"Lebenspannenanzeige"
"timeline_instructions";"In den meisten neueren Browsern, kann man die Rechtecke durch Klicken und gleichzeitiges Ziehen innerhalb der Ansicht bewegen."
"timeline_title";"Genmod - Anzeige der Lebensspanne"
"timeout_error";"Die maximal zulässige Ausführungszeit des Scriptes wurde überschritten, bevor ein Verwandtschaftsverhältnis gefunden werden konnte."
"title";"Titel"
"titles_found";"Titel"
"to";"bis"
"to_family";"mit Familie"
"to_person";"mit Person"
"to_source";"mit Quelle"
"today";"Heute"
"todays_events_block";"An diesem Tag"
"todays_events_descr";"Der Block "An diesem Tag in Ihrer Chronik..." zeigt eine Liste von Ereignissen in der Datenbank an, die sich heute jähren.<br /><br />Wenn keine Ereignisse stattfanden, wird der Block nicht angezeigt. Auf der Mein GedView-Seite des Benutzers zeigt dieser Block nur lebende Personen, auf der Stammbaum-Begrüßungs-Seite zeigt er Daten aller Personen."
"tools_readme";"Lesen Sie in der Datei #README.TXT# das Kapitel "tools" für weitere Informationen."
"top10_pageviews";"Meist aufgerufene Einträge"
"top10_pageviews_block";"Meist aufgerufene Einträge"
"top10_pageviews_descr";"Dieser Block zeigt die 10 Datensätze an, die am häufigsten aufgerufen wurden. Sie müssen dazu in der GEDCOM-Konfiguration die Zähler zunächst aktivieren."
"top10_pageviews_msg";"Sie müssen in der GEDCOM-Konfiguration die Zähler zunächst aktivieren."
"top10_pageviews_nohits";"Es können keine Treffer angezeigt werden."
"top_level";"zurück"
"total_dead";"Insgesamt verstorben"
"total_fams";"Familien insgesamt"
"total_indis";"Personen insgesamt"
"total_living";"Insgesamt lebend"
"total_memory_usage";"Speicherbedarf insgesamt:"
"total_names";"Namen insgesamt"
"total_not_born";"Insgesamt noch nicht geboren"
"total_privacy_checks";"Gesamtanzahl der Datenschutz-Überprüfungen:"
"total_queries";"Gesamtanzahl der Datenanfragen an die Datenbank:"
"total_repositories";"Gesamtanzahl Archive"
"total_sources";"Gesamtanzahl Quellen:"
"total_unic_places";"Gesamtanzahl Orte"
"translation_forum";"Link zum Genmod Übersetzungs-Forum bei SourceForge.net"
"tuesday";"Dienstag"
"twin";"Zwilling"
"twin_brother";"Zwillingsbruder"
"twin_sister";"Zwillingsschwester"
"type";"Typ"
"um_creating";"Erstellen"
"um_file_create_fail1";"Die neue Datei konnte nicht erstellt werden, weil eine Datei mit gleichem Namen bereits existiert:"
"um_file_create_fail2";"Erstellen fehlgeschlagen"
"um_file_create_fail3";"Prüfen Sie die Zugriffsrechte für dieses Verzeichnis."
"um_file_create_succ1";"Erstellen der neuen Datei abgeschlossen:"
"um_file_not_created";"Datei wurde nicht erstellt."
"um_header";"Benutzerdaten Migrations-Tool"
"um_noblocks";"Es sind keine Blöcke vorhanden."
"um_nofav";"Es sind keine Lesezeichen vorhanden."
"um_nomsg";"Es liegen keine Nachrichten vor."
"um_nonews";"Es liegen keine Neuigkeiten vor."
"um_proceed";"Mit Export der Benutzerdaten fortfahren ?<br /><br />"
"unable_to_create_index";"Index-Datei kann nicht erstellt werden. Stellen Sie sicher, dass die Rechte zum Schreiben im Genmod-Verzeichnis gesetzt sind. Die Rechte können zurückgesetzt werden, sobald die Index-Dateien erstellt wurden."
"unable_to_find_family";"Zu folgender ID kann keine Familie gefunden werden:"
"unable_to_find_indi";"Zu folgender ID kann keine Person gefunden werden:"
"unable_to_find_privacy_indi";"Zu folgender ID kann keine Person gefunden werden:"
"unable_to_find_record";"Zu folgender ID kann kein Datensatz gefunden werden:"
"unable_to_find_repo";"Kann das Archiv zu folgender ID nicht finden:"
"unable_to_find_source";"Zu folgender ID kann keine Quelle gefunden werden:"
"unable_to_open";"Es ist nicht möglich, das Verzeichnis für den Ausschnitts-Sammelbehälter zum Schreiben zu öffnen."
"undo";"löschen"
"unknown";"Unbekannt"
"unmatching_facts";"Die folgenden Fakten stimmen nicht überein. Wählen Sie aus, welche Sie übernehmen möchten."
"unrecognized_code";"Unbekannter GEDCOM-Code"
"unrecognized_code_msg";"Ein Fehler ist aufgetreten, bitte melden Sie diesen an "
"upcoming_events";"Bevorstehende Ereignisse"
"upcoming_events_block";"Bevorstehende Ereignisse"
"upcoming_events_descr";"Der Block "Bevorstehende Ereignisse" zeigt eine Liste von Daten aus der Datenbank an, die sich in den kommenden 30 Tagen jähren.<br /><br />Auf der Mein GedView-Seite des Benutzers zeigt dieser Block nur lebende Personen, auf der Stammbaum-Begrüßungs-Seite zeigt er Daten aller Personen."
"update_address";"Adresse aktualisieren"
"update_fact";"Ereignis aktualisieren"
"update_fact_restricted";"Das Aktualisieren dieses Ereignisses ist eingeschränkt:"
"update_myaccount";"Meine Benutzerdaten aktualisieren"
"update_name";"Namen aktualisieren"
"update_photo";"Foto aktualisieren"
"update_successful";"Update erfolgreich"
"update_user";"Benutzerdaten aktualisieren"
"updating_family_names";"Erneuere Familien Namen für "FAM""
"updating_is_dead";"Aktualisiere den "Lebt"-Status von Person "
"updating_linked";"Aktualisiere verknüpfte Datensätze"
"upgrade";"Genmod-Upgrade"
"upload";"Upload"
"upload_error";"Beim übertragen (upload) Ihrer Datei auf Ihren Server trat ein Fehler auf."
"upload_file";"Datei von ihrem Computer hochladen"
"upload_gedcom";"GEDCOM-Datei auf Ihren Server laden (upload)"
"upload_media";"Multimedia-Dateien auf Server übertragen (upload)"
"upload_successful";"Upload erfolgreich"
"upload_to_index";"Datei kann anschließend auch manuell in Ihr Index-Verzeichnis hochgeladen werden: "
"use_blocks_for_default";"Diese Blöcke als Voreinstellung für alle Benutzer verwenden?"
"user_admin";"Benutzer-Verwaltung"
"user_cannot_edit";"Dieser Benutzername kann diese GEDCOM-Datei nicht editieren."
"user_contact_method";"Bevorzugte Kontaktaufnahme"
"user_create_error";"Der Benutzer konnte nicht angelegt werden. Bitte nochmal versuchen."
"user_created";"Benutzer wurde erfolgreich angelegt."
"user_default_tab";"Standardregister zur Anzeige einer Personen-Informationsseite"
"user_favorites_block";"Benutzer Lesezeichen"
"user_favorites_descr";"Der "Lesezeichen"-Block zeigt dem Benutzer eine Liste der von ihm als wichtig angesehenen Personen in der Datenbank an, deren Daten er so schneller wieder auffinden kann."
"user_info";"Meine Benutzerdaten"
"user_manual";"Genmod Benutzer Handbuch"
"user_messages_block";"Benutzer-Nachrichten"
"user_messages_descr";"Der Block "Benutzer-Nachrichten" zeigt eine Liste von Nachrichten an, die der aktuelle Benutzer erhalten hat."
"user_name";"Benutzername"
"user_news_block";"Benutzer-Journal"
"user_news_descr";"Der Block "Benutzer-Journal" ermöglicht dem Benutzer Notizen oder ein Journal online zu verwalten."
"user_not_found";"Die eingegebenen Informationen waren falsch. Bitte versuchen Sie es erneut."
"user_theme";"Mein Theme"
"user_verify";"Benutzer Verifizierung"
"username";"Benutzername"
"users_logged_in";"Angemeldete Benutzer"
"utf8_to_ansi";"Möchten Sie diese GEDCOM-Datei vom UTF-8 in das ANSI (ISO-8859-1)-Format konvertieren?"
"valid_gedcom";"Gültige GEDCOM-Datei erkannt. Keine Korrektur notwendig."
"validate_gedcom";"GEDCOM-Datei überprüfen"
"var_not_exist";"<span style=font-weight: bold>Diese Sprach-Variable existiert nicht. Bitte melden Sie dies als Fehler.</span>"
"verified";"Benutzer hat sich selber verifiziert"
"verified_by_admin";"Benutzer wurde durch den Administrator freigegeben"
"verify_upload_instructions";"Wenn Sie fortfahren, wird die alte GEDCOM-Datei durch die neu hochgeladene Datei ersetzt und der Import-Prozess beginnt erneut. Wenn Sie abbrechen, bleibt die alte GEDCOM-Datei unverändert."
"view";"Zeige"
