"ABBREVIATE_CHART_LABELS";"Forkorte ledeord i diagram"
"lang_name_portuguese_br";"Brasiliansk Portugisisk"
"lang_name_russian";"Russisk"
"lang_name_spanish";"Spansk"
"lang_name_spanish_ar";"Latin-amerikansk spansk"
"lang_name_swedish";"Svensk"
"lang_name_turkish";"Tyrkisk"
"lang_name_vietnamese";"Vietnamesisk"
"lang_new_language";"Nytt språk"
"lang_save";"Lagre"
"lang_set_file_read_error";"F E I L !!! Klarte ikke å lese filen [language_settings.php]!"
"lang_shortcut";"Kort-navn for språk-filer"
"language_to_edit";"Språk som skal endre"
"language_to_export";"Eksportere språk"
"last_email_sent";"Sist e påminnelse med epost ble sendt "
"last_login";"Sist logget inn"
"lastname";"Etternavn"
"lastname_search";"Etternavn"
"launch_media_tool";"Lag koblinger til bilder / andre medier."
"lds_sealing";"Mormoner kobling:"
"leave_blank";"La feltet for passord være tomt, hvis du vil bevare det eksisterende passordet."
"line_up_generations";"Vis like slektsledd på linje"
"link_as_child";"Koble denne personen til en eksisterende familie som et barn"
"link_as_husband";"Koble denne personen til en eksisterende familie som en ektemann"
"link_as_wife";"Koble denne personen til en eksisterende familie som en hustru"
"link_exists";"En referense finnes fra før."
"link_media";"Kobling av Media"
"link_media_records";"Knytt media-objekt til personer"
"link_new_husb";"Legg til en ektemann/partner ved å bruke en registrert person"
"link_new_wife";"Legg til en hustru/partner ved å bruke en registrert person"
"list_children";"(Sortert etter alder)"
"listing";"Vis liste"
"lists";"Lister"
"living";"Lever"
"living_only";"Nålevende personer"
"living_or_all";"Vise bare hendelser for levende personer?"
"load_english";"Hent Engelske språk-filer"
"locked";"Ikke gjør endringer"
"lodger";"Leietaker"
"logfile_content";"Innhold i logg-filen"
"logged_in_as";"Logget inn som "
"logged_in_users_block";"Rammen Brukere som er logget inn"
"logged_in_users_descr";"Rammen for brukere som er logget inn, viser en liste med bruker som er logget inn på det gjeldende tidspunktet..."
"login";"Logg inn"
"login_aut";"Endre bruker"
"login_block";"Rammen Logg inn"
"login_descr";"Rammen for 'Logg inn' skriver et brukernavn og passord for brukere slik at de kan logg seg inn."
"login_head";"Genmod innlogging for brukere"
"login_user";"1 bruker pålogget"
"login_users";"#gm_lang[global_num2]# brukere pålogget"
"logout";"Logg ut"
"logs";"Logg"
"lost_password";"Glemt passordet ditt?"
"lost_pw_reset";"Nytt passord"
"ltr";"Venstre til høyre"
"macfile_detected";"Oppdaget Macintosh-fil.  Under oppryddingen vil denne filen bli konvertert til en DOS-fil."
"magnify";"Forstørr"
"mail01_line01";"Hei #user_fullname# ..."
"mail01_line02";"En anmodning er gjort på ( #SERVER_NAME# ) om å få en brukerkonto med din epost-adresse ( #user_email# )."
"mail01_line03";"Opplysningene om deg ble gitt ved forespørsel om brukerkonto."
"mail01_line04";"Vennligst klikk på linken under og fyll ut riktige data for å bekrefte kontoen og epost-adressen din."
"mail01_line05";"Dersom du ikke har bedt om å få en konto, kan du bare slette denne e-posten."
"mail01_line06";"Du vil ikke få tilsendt flere e-poster herfra, fordi kontoen vil bli slettet etter 7 dager dersom den ikke bekreftes."
"mail01_subject";"Din registrering hos #SERVER_NAME#"
"mail02_line01";"Hei administrator ..."
"mail02_line02";"En ny bruker har registreret seg hos ( #SERVER_NAME# )."
"mail02_line03";"Brukeren har fått tilsendt en e-post med de nødvendige data for å bekrefte ønske om konto."
"mail02_line04";"Så snart brukeren har bekreftet kontoen, vil du få en epost der du blir bedt om å gi denne brukeren tillatelse til å få en konto."
"mail02_line04a";"Så snart brukeren har bekreftet kontoen, vil du få en epost om dette.  Brukeren vil nå kunne logge seg inn uten at du trenger å gjøre noe."
"mail02_subject";"Ny registrering på #SERVER_NAME#"
"mail03_line01";"Hei administrator ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) har bekreftet ønsket om å få en brukerkonto."
"mail03_line03";"Klikk på linken "Admin" på siden "Logg inn" på Genmod for å godkjenne den nye brukeren på nettstedet ditt."
"mail03_line03a";"Du behøver ikke forta deg noe; brukeren kan nå logge seg inn."
"mail03_subject";"Ny bekreftelse fra #SERVER_NAME#"
"mail04_line01";"Hei #user_fullname# ..."
"mail04_line02";"Det ble bestilt et nytt passord til brukernavnet ditt!"
"mail04_line03";"Anbefaling:"
"mail04_line04";"Vennligst klikk på linken under. Logg deg inn med det nye passordet. Du bør så angi et nytt passord for å verne om sikkerheten til dataene dine."
"mail04_line05";"Etter at du har logget deg inn, velg da valget '#gm_lang[myuserdata]#' i menyen '#gm_lang[mygedview]#' og fyll ut passordfeltet for å endre passordet ditt."
"mail04_subject";"Data anmodning fra #SERVER_NAME#"
"mailto";"Besøkende sitt eget e-post-program"
"main_section";"Hoved seksjons-rammer"
"make_slklist";"Lag EXCEL (*.slk) regneark"
"male";"Mann"
"malecousin";"Fetter"
"manage_gedcoms";"Slektsfil(er) og personvern"
"manage_media";"Behandling av bilder"
"manage_media_files";"Behandle Media-filer"
"mandatory";"Felt merket med * må fylles ut."
"mar";"mars"
"marr_name_import_instr";"Du må BARE klikk på knappen under dersom du ønsker at Genmod skal kopiere etternavnet til ektemannen som Navn som gift for ektefellen i denne slektsbasen.  Dette vil gi deg mulighet til å søke og vise hustruer med etternavnet som gift."
"marriage";"Bryllup:"
"marriage_license";"Ekteskapsattest:"
"mass_update";"Brukerinnstillinger for fler-oppdatering"
"max_generation";"Du kan vise maks #PEDIGREE_GENERATIONS# slektsledd!"
"max_media_depth";"Du kan bare bruke #MEDIA_DIRECTORY_LEVELS# mappe-nivåer"
"max_upload_size";"Maks størrelse for opplasting: "
"maxviews_exceeded";"Du har ikke tilgang til å se flere sider. - Prøv igjen senere."
"may";"mai"
"maybe";"Kanskje "
"media";"Bilder / medier"
"media_conf";"Multimedia"
"media_contains";"Media inneholder:"
"media_deleted";"Media-mappen er nå slettet."
"media_drive_letter";"Stien til Medier bør ikke inneholde en stasjons-bokstav, fordi da vil kanskje ikke Medier bli vist."
"media_exists";"Media-fil finnes fra før."
"media_file";"Medie-fil"
"media_file_deleted";"Media-fil er nå slettet."
"media_file_not_deleted";"Klarte ikke å slette media-fil."
"media_file_size";"Media-størrelse"
"media_files";"Bilder eller medie-filer som er knyttet til denne slektsbasen"
"media_folder_corrupt";"Det er en feil med mediamappen."
"media_format";"Media-filtype"
"media_found";"bilder / medier funnet"
"media_id";"Media ID"
"media_import";"Importer og konverter media"
"media_linked";"Dette media-objektet er knyttet til:"
"media_list";"Bilder / medier"
"media_not_deleted";"Media-mappen ble ikke slettet."
"media_not_linked";"Dette media-objektet er ikke knyttet til noe(n) i slektsfilen."
"media_object";"Bilder eller andre medier:"
"media_record_deleted";"Media-oppføringen #xref# og tilhørende koblinger er nå fjernet fra slektsbasen."
"media_record_not_deleted";"Klarte ikke å fjerne media-oppføringen #xref# og tilhørende koblinger fra slektsbasen."
"media_table_created";"Oppdateringen av <i>bilde- / medie</i>-tabellen er ferdig."
"media_thumb_exists";"Media-miniatyrbilde finnes fra før."
"medialist_show";"Vis"
"menu";"Meny"
"merge_facts_same";"Følgende fakta /opplysninger er nøyaktig like i begge oppføringer og vil bli flettet automatisk"
"merge_from";"Flett fra ID:"
"merge_more";"Flette flere oppføringer."
"merge_records";"Flette data (dobbelregisterte)"
"merge_same";"Dataene er ikke av samme type.  Kan ikke flette data som er av forskjellig type!"
"merge_step1";"Flettesteg 1 av 3"
"merge_step2";"Flettesteg 2 av 3"
"merge_step3";"Flettesteg 3 av 3"
"merge_to";"Flett til ID:"
"message";"Ny beskjed til "
"message_body";"Din beskjed:"
"message_deleted";"Beskjed slettet"
"message_email1";"Følgende beskjed ble sendt til kontoen din i Genmod fra "
"message_email2";"Du sendte følgende beskjed til en bruker av Genmod:"
"message_email3";"Du sendte følgende beskjed til administratoren av Genmod:"
"message_empty_warning";"-> Advarsel!!! Dette beskjedfeltet er tomt [#LANGUAGE_FILE#] <-"
"message_from";"Epost-adresse:"
"message_from_name";"Ditt navn:"
"message_instructions";"<b>PS:</b> Privat informasjon om levende personer vil bare bli gitt til slektninger og nære venner.  Du vil bli spurt om å bekrefte din tilknytning / slektskap før du vil få se private data.  Av og til kan informasjon om døde personer også være private.  Hvis dette er tilfelle, er det på grunn av at det ikke funnet nok informasjon om personen til å avgjøre om vedkommende lever eller ikke, eller andre opplysninger om personen.<br /><br />Før du gjør en foresprsel, vennligst sjekk opp at det er riktig person ved å se på datoer, steder og nære slektninger.  Dersom du legger inn endringer i slektsdataene, vær vennlig å oppgi kildene der du fant dataene.<br /><br />"
"message_sent";"Beskjed sendt"
"message_subject";"Emne:"
"message_to";"Beskjed til:"
"message_to_all";"Send beskjed til alle brukere"
"message_to_edit";"Tekst som skal endres"
"messaging";"Genmod interne beskjeder"
"messaging2";"Genmod interne beskjeder med e-post-kopi"
"messaging3";"Genmod ekstern e-post"
"meta_conf";"META Tag/merker"
"mgv";"Min side"
"min_generation";"Du må vise minst 3 slektsledd!"
"monday";"mandag"
"monday_1st";"M"
"month";"Måned"
"month1";"måned"
"month_before_day";"Måned før dag (MM DD YYYY)"
"monthly";"Månedlig"
"months";"måneder"
"more_config_hjaelp";"<br /><b>Mer hjelp</b><br />Mer hjelp er tilgjengelig ved å klikke på <b>?</b> etter ulike valg på siden.<br />"
"more_events_privacy";"<br />Det finnes flere hendelser for de neste #gm_lang[global_num4]# dagene, men på grunn av hensyn til personvern vises ikke disse."
"more_events_privacy1";"<br />Det finnes flere hendelser for i morgen, men på grunn av hensyn til personvern vises ikke disse."
"more_information";"For mer informasjon, kontakt"
"more_today_privacy";"<br />Det finnes flere hendelser for i dag, men på grunn av hensyn til personvern vises ikke disse."
"mother";"Mor"
"mothers_family_with";"Familien til mor til "
"mousedown";"Ved å holde museknappen inne"
"mouseover";"Ved å føre musen over"
"move_down";"Flytt ned"
"move_file_success";"Media- og miniatyrbilde-filer er nå flyttet."
"move_left";"Flytt til venstre"
"move_right";"Flytt til høyre"
"move_to";"Flytt til"
"move_up";"Flytt opp"
"movedown_faq_item";"Flytt et spørmål med svar ned"
"moveup_faq_item";"Flytt et spørmål med svar opp"
"mu_descr";"Beskrivelse"
"mu_new_value";"Velg en ny verdi"
"mu_options";"Valg som skal endres"
"mu_users";"Brukere som skal oppdateres"
"multi_title";"Bilder eller andre medier"
"must_provide";"Du må sørge for et "
"my_favorites";"Mine favoritter"
"my_indi";"Meg selv"
"my_journal";"Min notatblokk"
"my_messages";"Mine beskjeder"
"my_pages";"Mine sider"
"my_pedigree";"Mitt anetre"
"mygedview";"Min GedView"
"mygedview_desc";"Dette er <i>din side</i> der du kan velge egne <i>favoritter</i>, bli påminnet om <i>kommende begivenheter</i> og <i>samarbeide med andre brukere</i>."
"mysql";"MySQL"
"myuserdata";"Min konto"
"name";"Navn"
"name_contains";"Navn inneholder:"
"name_description";"Navn / beskrivelse"
"name_list";"Navneliste"
"name_of_fact";"Navn på fakta"
"name_reverse";"Etternavn først"
"never";"Aldri"
"new";"Ny"
"new_gedcom_title";"Slektsbase fra [#GEDCOMFILE#]"
"new_language";"Språk i kildefilene"
"new_record";"Nye oppføringer"
"new_repo_created";"Nytt oppbevaringssted er opprettet"
"new_source_created";"Den nye kilden er lagret!"
"newfact";"Ny faktaopplysning"
"news_saved";"Nyhets- / Notablokkinnlegg er lagret...!"
"next";"Neste >"
"next_email_sent";"Neste påminnelse vil bli sendt med epost etter "
"next_path";"Finn neste slektslinje"
"no";"Nei"
"no_account_yet";"Har du ikke <b>egen</b> konto enda!?"
"no_additions";"Ikke noen tillegg"
"no_changes";"Det er ikke noen endringer som det er nødvendig å vise på nytt."
"no_children";"<i>Ingen registerte barn</i>"
"no_content";"Ikke noe innhold"
"no_events_all";"Fant ingen hendelser for de neste #gm_lang[global_num4]# dagene."
"no_events_all1";"Fant ingen hendelser for i morgen."
"no_events_living";"Fant ingen hendelser for levende personer for de neste #gm_lang[global_num4]# dagene."
"no_events_living1";"Fant ingen hendelser for levende personer for i morgen."
"no_events_privacy";"Det finnes hendelser for de neste #gm_lang[global_num4]# dagene, men på grunn av hensyn til personvern vises ikke disse."
"no_events_privacy1";"Det finnes hendelser for i morgen, men på grunn av hensyn til personvern vises ikke disse."
"no_family_facts";"Ingen faktopplysninger for denne familien."
"no_faq_items";"Listen med spørsmål&svar er tom."
"no_favorites";"<i>Du har ikke valgt noen favoritter enda!</i><br />For å legge til en person til dine favoritter, kan du enten finne siden med fakta om personen og så klikke på linken <br />"Legg til i Mine favoritter" eller bruk ID-feltet under for å legge til en person ved hjelp av personens ID-nummer."
"no_gedcom_favorites";"Det er ikke valgt noen Favoritter enda.  Det er administrator som kan legge til personer her, slik at disse vises ved oppstart."
"no_id";"Ingen spørsmål&svarID er angitt !"
"no_journal";"Du har ikke laget noen notater enda."
"no_link_found";"- Kan ikke finne flere slektslinjer mellom de to personene!"
"no_login";"Bruker kan ikke godkjennes."
"no_login_users";"Ingen brukere er pålogget"
"no_logs";"Ingen logging"
"no_matches_found";"Fant ingen like fakta-felt"
"no_messages";"Det er ingen beskjeder til deg."
"no_messaging";"Ingen kontaktlink"
"no_news";"Ingen nyhetsartikler er blitt lagt inn...!"
"no_open";"F E I L !!!<br /><br />Klarte ikke å åpne filen #lang_filename#"
"no_results";"Fant ingen..."
"no_subtractions";"Ingen fjernet"
"no_tab1";"Det er ikke noen fakta / opplysninger om denne personen."
"no_tab2";"Det er ikke noen noter for denne personen."
"no_tab3";"Det er ikke noen kilder knyttet til denne personen."
"no_tab4";"Det er ikke noen bilder eller andre medier knyttet til denne personen."
"no_tab5";"Det er ikke noen nære slektninger knyttet til denne personen."
"no_tab6";"Det er ikke noen forsker-logg knyttet til denne personen."
"no_temple";"Ingen Tempel-Living tilordning"
"no_thumb_dir";"mappen/katalogen for miniatyrbilde(r) finnes ikke og den kunne heller ikke opprettes."
"no_to_user";"Det ble ikke oppgitt en annen bruker som mottaker. - Kan ikke fortsette."
"no_upload";"Klarte ikke å laste opp (upload) mediafiler fordi multi-media-filer ikke er aktivert eller fordi mediamappen/-katalogen ikke har skriverettighet."
"none";"Ingen"
"none_today_all";"Fant ingen hendelser for i dag."
"none_today_living";"Fant ingen hendelser for levende personer for i dag."
"none_today_privacy";"Det finnes hendelser for i dag, men på grunn av hensyn til personvern vises ikke disse."
"normal";"Alle nyheter"
"not_an_array";"Ikke en tabell"
"not_writable";"Det har vist seg at PHP ikke kan skrive til konfigurasjonsfilen. Du kan derfor bruke "Last ned"-knappen til lagre innstillingene dine i en fil, som du etterpå henter (upload) manuelt."
"note";"Note"
"notes";"Noter"
"notes_sources_media";"Noter, kilder, og media"
"nov";"november"
"now_import";"Nå bør du importere innholdet i slektsfilen til Genmod ved å klikke på linken "Importer" nedenfor."
"num_to_show";"Antall deler som skal vises"
"number_children";"Antall barn: "
"number_sign";"#"
"nurse";"Pleier"
"object_note";"Note for objekt:"
"oct";"oktober"
"of";"av"
"old_language";"Språk i de andre"
"old_record";"Gamle oppføringer"
"oldest_top";"Vis de eldste øverst"
"on_this_day";"Årsdag for hendelser i slekten..."
"optional";"Tilleggsverktøy"
"optional_tools";"Du kan også velg å kjøre følgende tilleggsverktøy før importering."
"options";"Valg:"
"order";"Rekkefølge"
"orientation";"Retning"
"original_lang_name";"Original-navn til #D_LANGNAME#"
"original_message";"Original tekst"
"other";"Annet"
"other_records";"Navn som er knyttet til denne kilden:"
"other_repo_records";"Kilder som er knyttet til dette oppbevaringsstedet:"
"other_theme";"Annet, vennligst tast inn"
"page";"Side"
"page_views";"&nbsp;&nbsp;sider vist i&nbsp;&nbsp;"
"parent";"Far eller mor"
"parents";"Foreldre:"
"parents_and_child";"Familien, foreldre og barn."
"parents_and_family";"Familien og foreldre."
"parents_desc";"Familien, foreldre og alle etterkommere."
"parents_timeline";"Vis partnere på en tidslinje"
"password";"Passord"
"password_mismatch";"De to passordene er forskjellige."
"passwordlength";"Passordet må inneholde minst 6 tegn."
"paste_id_into_field";"Legg inn følgende kilde-ID inn i endringsfeltet som en referanse til denne kilden "
"paste_person";"Legg inn person"
"paste_rid_into_field";"Lim inn følgende ID for oppbevaringsstedet til aktuelle koblings-feltet for ulike kilder: "
"path_to_gedcom";"Angi stien til slektsfilen din:"
"patriarch_list";"Stamfedre"
"pdf_reports";"PDF rapporter"
"pedigree_chart";"Anetre"
"people";"Personer"
"per_page";"bilder / medier pr. side"
"performing_update";"Oppdaterer."
"performing_validation";"Sjekken er utført...!  Gjør de nødvendige valgene og klikk deretter på 'Rydd'"
"person1";"Person 1 "
"person2";"Person 2 "
"person_ancestor_fams";"Personen og slektninger i direkte linje med deres familier."
"person_ancestors";"Personen og slektninger i direkte linje."
"person_desc";"Personen, ektefelle/partner, og alle etterkommere."
"person_facts";"Personvern-innstillinger for personlige Fakta"
"person_links";"Linker til diagram, familie(r), og nære slektninger til denne personen. - Klikk her for å vise denne personen som startperson i diagrammet."
"person_list";"Personliste:"
"person_living";"Denne personen lever fortsatt. Personlige data vises derfor ikke."
"person_not_found";"Fant ikke person."
"person_parents_sibs";"Personen, foreldre og søsken."
"person_privacy";"Personvern-innstillinger for personer"
"person_private";"Data for denne personen er private. Personlige data vises derfor ikke."
"person_spouse";"Personen, samt ektefelle/partner og barn."
"personal_facts";"Fakta og detaljer om personen"
"phone";"Tlf:"
"photo_replace";"Ønsker du å erstatte et eldre bilde med dette?"
"phpinfo";"PHPInfo"
"place_cleanup_detected";"Oppdaget ugyldig stedskoder.  Disse bør endres!  Følgende steder er ugyldige: "
"place_contains";"Stedsnavn inneholder:"
"place_description";"Sted / Beskrivelse"
"place_list";"Stedsnavn"
"place_list2";"Alle stedsnavn"
"place_list_aft";"Stedsnavn etter"
"please_be_patient";"Vennligst VENT..."
"please_wait";"Vent litt - Bygger opp Indeksfilene på nytt."
"pls_note06";"Du vil nå få tilsendt en bekreftelses-epost til adressen ( #user_email# ).<br />Ved hjelp av denne e-posten kan du aktivere kontoen din. Dersom du ikke aktiverer kontoen din innen 7 dager, vil den bli slettet (du kan registrere kontoen igjen etter de 7 dagene, om du ønsker det). For å logge deg inn på dette nettstedet, kreves det at du oppgir et brukernavn og passord.<br /><br /><br /><br />"
"pls_note06a";"Vi vil nå sende en bekreftelse på e-post til adressen ( #user_email# ). Du må bekrefte ønske ditt om å få en konto ved å følge instruksene i i e-posten. Dersom du ikke bekrefter ønsket om å få en konto innen 7 dager, vil ønsket om en konto bli avslått automatisk.  Dersom senere ønsker å få en ny konto, må du søke på nytt.<br /><br />Etter at du har fulgt instruksjonene i bekreftelses-e-posten, kan du logge deg inn.  For å logge deg inn på denne nettsiden, kreves det at du oppgir brukernavnrt og passordet ditt.<br /><br />"
"pls_note07";"Oppgi det brukernavnet, passordet og kontrollkoden du fikk tilsendt pr. epost fra dette nettstedet som en bekreftelse på søknaden din."
"pls_note08";"Informasjonen om brukeren <b>#user_name#</b> er sjekket."
"pls_note09";"Du er gjenkjent som en søker på dette nettstedet."
"pls_note10";"Administratoren til nettstedet har fått beskjed om søknaden.<br />Så snart vedkommende har godkjent kontoen din,<br />kan du logge deg inn med ditt brukernavn og passord."
"pls_note10a";"Du kan nå logge deg inn med brukernavnet og passordet ditt."
"pls_note11";"For å få et nytt passord, må du oppgi brukernavnet og epost-adressen til brukerkontoen din. <br /><br />Vi vil deretter sende deg en epost med en spesiell internettadresse, som inneholder en bekreftelses-kode for kontoen din.<br />På denne internettsiden vil du kunne endre passordet for å få tilgang til brukersiden din igjen.<br />Av sikkerhetsgrunner, bør du ikke vise denne bekreftelses-koden til noen, inkludert administrator(ene) til denne siden (vi vil heller ikke spørre etter den).<br /><br />Dersom du ønsker å få mer hjelp vedrørende dette, så kontakt administrator."
"pls_note12";"Bruk dette feltet for å beskrive hvorfor du ber om å få en konto på dette nettstedet og hvordan du eventuelt er knyttet til noen i slektsbasen."
"portal_config_intructions";"Her kan du tilpasse siden ved å bestemme hvor de ulike rammene på siden skal plasseres.<br />Siden er delt opp i to seksjoner, 'Hoved'-seksjonen og 'Høyre' seksjon.<br />'Hoved'-seksjonen er tildelt en større bredde og kommer under velkomsttittel på siden.<br />Den 'høyre' seksjonen begynner til høyre for tittelen og fremstår som en mer hurtiginformasjons-blokk.<br />Hver seksjon har sin egen liste med rammer som vil bli vist på siden i den rekkefølgen som de er listet.<br />Du kan legge til, fjerne og omorganisere rammene slik du ønsker det.<br /><br />Dersom listen for en av seksjonene er tom, vil de andre rammene bruke hele bredden på siden.<br /><br />"
"portrait";"Stående tre"
"position_item";"Plassering"
"preferred_lang";"Denne brukeren ønsker å motta beskjeden på #USERLANG#<br />"
"prev";"< Forrige"
"preview";"Forhåndsvis"
"preview_faq_item";"Forhåndsvis alle Spørsmål og svar"
"priest";"Prest"
"print";"Skriv ut"
"print_preview";"Utskrifts-vennlig utgave"
"privacy";"Personvern"
"privacy_error";"Opplysninger om denne personen er privat.<br />"
"privacy_header";"Rediger personvern-innstillinger innenfra"
"privacy_indi";"Person"
"privacy_indi_id";"Person-ID"
"privacy_indi_source";"Person / Kilde"
"privacy_list_fam_error";"Av hensyn til personvern, er en eller flere familier skjult."
"privacy_list_indi_error";"Av hensyn til personvern, er en eller flere personer skjult."
"privacy_not_granted";"Du har ikke tilgang til"
"privacy_prevented_editing";"På grunn av hensyn til personvern, kan du ikke endre opplysningene."
"privacy_source";"Kilde"
"privacy_source_id";"Kilde-ID"
"private";"Privat"
"privileges";"Rettigheter"
"processed_for";"Behandlet fil for "
"provide_email";"Vennligst oppgi epost-adressen din, så vi kan besvare denne henvendelse.<br />Dersom du ikke oppgir epost-adressen din, har vi ikke mulig til å besvare denne forespørselen.<br />PS. Epost-adressen din vil ikke bli brukt til annet enn å besvare denne forespørselen."
"publication";"Publikasjon:"
"pwreqinfo";"Hei...<br /><br />En epost med det nye passordet ble sendt til epost-adressen.<br /><br />Vær vennlig å sjekk epost-kontoen din om noen minutter.<br /><br />Anbefaling:<br /><br />Etter at du har mottatt eposten, bør du logge deg inn på dette nettstedet med ditt nye passord og endre det. Dette bør gjøres for å verne om sikkerheten til dataene din."
"qm";"<i>?</i>"
"qm_ah";"<i>?</i>"
"query";"Spørring"
"quick_update_instructions";"Denne siden gir deg mulighet til å foreta en hurtig-oppdatering av informasjon til en person.  Du trenger bare å fylle ut informasjon som er ny eller som skal endres.  Etter at endringene har blitt sendt, må de sjekks av en bruker med rett til å godkjenne før de blir vist for andre brukere."
"quick_update_title";"Hurtig-oppdatering"
"rabbi";"Rabbi"
"random_media_block";"Rammen Tilfeldig utvalgt bilde- / mediefil"
"random_media_descr";"Rammen for tilfeldig viste bilde / mediefil velger et tilfeldig foto eller annet medie-objekt i den aktive slektsbasen og viser det til brukeren."
"random_picture";"Tilfeldig utvalgt bilde / medie"
"reading_file";"Leser slektsfilen"
"readme_documentation";"ReadMe-dokumentasjon (Engelsk)"
"rebuild_indexes";"Lag indeksene på nytt"
"recent_changes";"Siste endringer"
"recent_changes_block";"Rammen Siste endringer"
"recent_changes_descr";"Rammen <i>Siste endringer</i> vil vise en liste med alle endringer som er gjort i slektsbasen/-filen den siste måneden.  Denne rammen kan hjelpe deg til å holde deg oppdatert med de endringene som er gjort.  Endringene som vises er knyttet til CHAN-merket (tag)."
"recent_changes_none";"<b>Det har ikke vært gjort noen endringer de siste #gm_lang[global_num3]# dagene.</b><br />"
"recent_changes_some";"<b>Endringer gjort de siste #gm_lang[global_num3]# dagene</b><br />"
"recent_events";"De siste 100 årene"
"record";"Oppføring"
"record_copied";"Data er kopiert til klippebordet"
"record_not_removed";"Klarte ikke å fjerne oppføringen #xref# i slektsfilen."
"record_not_updated";"Klarte ikke å oppdatere oppføringen #pid#."
"record_removed";"Oppføringen #xref# er nå fjernet fra slektsfilen."
"record_to_be_deleted";"Oppføring som skal slettes"
"record_updated";"Oppføringen #pid# er nå oppdatert."
"recs_present";"Antall logginger:"
"refresh";"Oppdater"
"register_info_01";"~Søke om å få en brukerkonto~<br /><br />Opplysninger som kan vise offentlig på dette nettstedet, kan være begrenset i henhold til lov om personvern.<br />Mange personer vil heller ikke at deres personlige data ligger åpent på internett.<br />Disse kan bli misbrukt til spam eller av identitetstyver.<br /><br />For å få tilgang til dette nettstedet, må du be om å få en brukerkonto.<br />Etter at kontoen din er blitt godkjent, vil du kunne logge deg inn.<br /><br />Dersom personvern for slektskap er aktivert, vil du etter å ha logget deg inn, bare få tilgang til private opplysninger til de nærmeste slektningene dine.<br />Administrator kan også gi deg tilgang til å gjøre endringer eller legge til informasjon i slektsbasen.<br /><br />Hvis du trenger mer opplysninger, kan du bruke linken under til å kontakte ansvarlig for nettstedet.<br /><br />"
"register_info_02";"~Søke om å få en brukerkonto~<br /><br />Opplysninger som kan vise offentlig på dette nettstedet, kan være begrenset i henhold til lov om personvern.<br />Mange personer vil heller ikke at deres personlige data ligger åpent på internett.<br />Disse kan bli misbrukt til spam eller av identitetstyver.<br /><br />For å få tilgang til dette nettstedet, må du be om å få en brukerkonto.<br />Dersom kontoen din blir godkjent, vil du kunne logge deg inn og se private data.<br /><br />Dersom personvern for slektskap er aktivert, vil du etter å ha logget deg inn, bare få tilgang til private opplysninger til de nærmeste slektningene dine.<br />Administrator kan også gi deg tilgang til å gjøre endringer eller legge til informasjon i slektsbasen.<br /><br />Hvis du trenger mer opplysninger, kan du bruke linken under til å kontakte ansvarlig for nettstedet.<br /><br />"
"register_info_03";"~Søke om å få en brukerkonto~<br /><br />Opplysninger som kan vise offentlig på dette nettstedet, kan være begrenset i henhold til lov om personvern.<br />Mange personer vil heller ikke at deres personlige data ligger åpent på internett.<br />Disse kan bli misbrukt til spam eller av identitetstyver.<br /><br />Det er <u>bare familimedlemmer</u> som har eller kan få tilgang til dette nettstedet! Har du ikke konto, må du søke.<br />Dersom kontoen din blir godkjent, vil du kunne logge deg inn og se private data.<br /><br />Dersom personvern for slektskap er aktivert, vil du etter å ha logget deg inn, bare få tilgang til private opplysninger til de nærmeste slektningene dine.<br />Administrator kan også gi deg tilgang til å gjøre endringer eller legge til informasjon i slektsbasen.<br /><br />Hvis du trenger mer opplysninger, kan du bruke linken under til å kontakte ansvarlig for nettstedet.<br /><br />"
"registernew";"Bekreftelse av ny konto"
"registry_officer";"Registerfører"
"reject";"Avvis"
"reject_all";"Avslå alle endringer"
"reject_all_confirm";"Er du sikker på at du ikke vil godkjenne alle endringene vist her?"
"reject_successful";"Avvisning er utført"
"rela_husb";"Slektskap til ektemann"
"rela_wife";"Slektskap til hustru"
"relationship_chart";"Slektskap"
"relationship_to_me";"Slektskap til deg"
"relatives";"Nære slektninger"
"relatives_events";"Hendelser til nære slektninger"
"relatives_report";"Slektninger"
"remember_me";"Huske meg?"
"remove";"Fjern"
"remove_child";"Fjerne koblingen til familien for dette barnet"
"remove_custom_tags";"Fjerne fakta-koder laget av Genmod? (f.eks. _GMU, _THUM)"
"remove_person";"Fjern person"
"reorder_children";"Vis barn i annen rekkefølge"
"reorder_families";"Vis familier i annen rekkefølge"
"replace";"Erstatt oppføring"
"reply";"Svar"
"repo";"Oppbevaringssted"
"repo_contains";"Oppbevaringsstedet inneholder:"
"repo_info";"Informasjon om oppbevaringssted"
"repo_list";"Oppbevaringssteder"
"repo_name";"Navn på oppbevaringssted:"
"reports";"Rapporter"
"repos_found";"oppbevaringssteder funnet"
"requestaccount";"Søke om brukerkonto"
"requestpassword";"Be om nytt passord"
"research_log";"Forsknings-logg"
"reset";"Vanlig størrelse / oppsett"
"reset_default_blocks";"Tilbakestill til standardrammer"
"resolution";"Skjermoppløsning"
"restore_faq_edits";"Gjenopprett endringsmuligheten for spørsmål og svar"
