"ABBREVIATE_CHART_LABELS";"קצר תגים בתרשימים"
"lang_name_chinese";"סינית"
"lang_name_czech";"צ'כית"
"lang_name_danish";"דנית"
"lang_name_dutch";"הולנדית"
"lang_name_english";"אנגלית"
"lang_name_finnish";"פינית"
"lang_name_french";"צרפתית"
"lang_name_german";"גרמנית"
"lang_name_greek";"יוונית"
"lang_name_hebrew";"עברית"
"lang_name_hungarian";"הונגרית"
"lang_name_italian";"איטלקית"
"lang_name_lithuanian";"ליטאית"
"lang_name_norwegian";"נורבגית"
"lang_name_polish";"פולנית"
"lang_name_portuguese";"פורטוגזית"
"lang_name_portuguese_br";"פורטוגזית (ברזיל)"
"lang_name_russian";"רוסית"
"lang_name_spanish";"ספרדית"
"lang_name_spanish_ar";"ספרדית (אמריקה הלטינית)"
"lang_name_swedish";"שוודית"
"lang_name_turkish";"טורקית"
"lang_new_language";"שפה חדשה"
"lang_save";"שמור"
"lang_set_file_read_error";"ש ג י א ה !!!לא הצליח לקרא את <b>lang_settings.php</b>!"
"lang_shortcut";"סימון מקוצר לשפה בשם קובץ שפה"
"language_to_edit";"שפת עריכה"
"language_to_export";"שפה שאותו רוצים לייצא"
"last_email_sent";"התזכורת האחרונה נשלחה בדואר אלקטרוני ב-"
"last_login";"התחברות אחרונה ב-"
"lastname";"שם משפחה"
"lastname_search";"משפחה"
"launch_media_tool";"הקשה כאן פותחת את הכלי להוספת מדיה."
"lds_sealing";"אישור המורמונים:"
"leave_blank";"השאר את תיבת הסיסמא ריקה, אם ברצונך לשמור על הסיסמא הקיימת."
"line_up_generations";"סדר בשורה לפי דורות"
"link_as_child";"קשר אדם זה למשפחה קיימת בתור ילד"
"link_as_husband";"קשר אדם זה למשפחה קיימת בתור בעל"
"link_as_wife";"קשר אדם זה למשפחה קיימת בתור אישה"
"link_media";"קשר מדיה"
"link_media_records";"קשר מדיה"
"link_new_husb";"הוסף בעל ע"י שימוש באדם קיים"
"link_new_wife";"הוסף אישה ע"י שימוש באדם קיים"
"list_children";"הצג ילדים לפי תאריך לידה."
"listing";"רישום"
"lists";"רשימות"
"living";"חי"
"living_only";"אנשים חיים"
"living_or_all";"הצג רק אירועים של אנשים חיים?"
"locked";"אין לשנות"
"lodger";"דייר"
"logfile_content";"תוכן קובץ יומן"
"logged_in_as";"מחובר בקוד"
"logged_in_users_block";"משתמשים מחוברים"
"logged_in_users_descr";"אזור משתמשים מחוברים מראה רשימה של המשתמשים המחוברים עכשיו לאתר."
"login";"התחבר"
"login_aut";"ערוך משתמש"
"login_block";"התחברות"
"login_descr";"אזור התחברות מקבל קוד משתמש וסיסמא עבור התחברות משתמשים לאתר."
"login_head";"Genmod התחברות משתמש"
"login_user";"1 משתמש מחובר"
"login_users";"#gm_lang[global_num2]# משתמשים מחוברים"
"logout";"התנתק"
"lost_password";"שכחת את סיסמתך?"
"lost_pw_reset";"בקשת סיסמא אבודה"
"ltr";"שמאל לימין"
"macfile_detected";"התגלה שהקובץ הוא קובץ מקינטוש. הניקוי ייסב את הקובץ למבנה DOS."
"magnify";"הגדל"
"mail01_line01";"שלום #user_fullname# ..."
"mail01_line02";"קיבלנו בקשה ב-( #SERVER_NAME# ) ליצור קוד משתמש עם הכתובת האלקטרונית שלך ( #user_email# )."
"mail01_line03";"הנתונים על הבקשה מוצגים מתחת לקישור למטה."
"mail01_line04";"לחץ על הקישורית הבאה ומלא את הנתונים הדרושים כדי לאשר את קוד המשתמש וכתובת הדואר האלאקטרוני שלך."
"mail01_line05";"מחק הודעה זו אם לא ביקשת קוד משתמש."
"mail01_line06";"לא תקבל דואר נוסף מאתר זה, מכיוון שקוד המשתמש ימחק אוטומטית לאחר שבעה ימים."
"mail01_subject";"הרשמתך ב-#SERVER_NAME#"
"mail02_line01";"שלום המנהלן ..."
"mail02_line02";"משתמש פוטנציאלי נרשם ב-#SERVER_NAME#"
"mail02_line03";"המשתמש קיבל דואר אלקטרוני עם הנתונים הדרושים לאמות המשתמש המבוקש."
"mail02_line04";"מיד אחרי שהמשתמש יבצע את אישורו תקבל הודעה בדואר שלך כדי שתאפשר למשתמש להתחבר לאתר שלך."
"mail02_line04a";"תקבל הודעה בדואר אלקטרוני אחרי שהמשתמש הפוטנציאלי הזה יאשר את עצמו. אחרי האישור, המשתמש יוכל להתחבר ללא שום פעולה נוספת שלך."
"mail02_subject";"רישום חדש ב-#SERVER_NAME#"
"mail03_line01";"שלום המנהלן ..."
"mail03_line02";"משתמש #newuser[username]# ( #newuser[fullname]# ) אישר נתוני הרישום שלו."
"mail03_line03";"השתמש בקישור מתחת כדי להתחבר לאתר שלך, לעריכת נתוני המשתמש של המבקש, ובכך לאפשר למבקש להתחבר לאתר שלך."
"mail03_line03a";"לא נדרשת פעולה מצידך; המשתמש יכול עכשיו להתחבר."
"mail03_subject";"אמות חדש ב-#SERVER_NAME#"
"mail04_line01";"שלום #user_fullname# ..."
"mail04_line02";"קיבלנו בקשה לסיסמא חדשה עבור קוד המשתמש שלך."
"mail04_line03";"המלצה:"
"mail04_line04";"הקש על הקישור מתחת או הדבק אותו לדפדפן שלך, התחבר עם הסיסמא החדשה ושנה אותה מיידית כדי לשמור על שלמות הנתונים."
"mail04_subject";"בקשת נתונים על #SERVER_NAME#"
"mailto";"קישור דואר אלקטרוני"
"main_section";"האזורים הראשיים"
"make_slklist";"צור רשימת <span dir="ltr">EXCEL (SLK)</span>"
"male";"זכר"
"malecousin";"בן דוד"
"manage_gedcoms";"נהל קבצי GEDCOM וערוך פרטיות"
"manage_media";"נהל מדיה"
"manage_media_files";"נהל קובצי מדיה"
"mandatory";"שדות המסומנים עם * הם שדות חובה."
"mar";"מרץ"
"marr_name_import_instr";"לחץ על הכפתור למטה רק אם ברצונך לאפשר ל-Genmod לחשב שמות נישואין של הנשים ב-GEDCOM הזה. אופציה זו מאפשרת חיפוש ורישום של נשים לפי שמות הנישואין שלהן. <i>שים לב: שמות הנישואין יופיעו ברשימות אם אפשרת את האופציה הזו בהגדרות ה-GEDCOM. <b>חישוב שמות הנישואין הוא רשות.</b></i>"
"marriage";"נישואין:"
"marriage_license";"רשיון נישואין:"
"max_generation";"המספר המכסימלי של דורות באילן יוחסין הוא #PEDIGREE_GENERATIONS#."
"max_media_depth";"ניתן רק לרדת לעומק #MEDIA_DIRECTORY_LEVELS# תיקיות"
"max_upload_size";"גודל העלאה מכסימלי: "
"may";"מאי"
"maybe";"אולי "
"media";"מדיה"
"media_conf";"מולטימדיה"
"media_contains";"מדיה מכילה:"
"media_deleted";"תיקיית המדיה הוסרה בהצלחה."
"media_drive_letter";"אין לכלול בכתובת המדיה את האות של הכונן; יתכן והמדיה לא תוצג."
"media_exists";"קובץ המדיה כבר קיים."
"media_file";"קובץ מדיה"
"media_file_deleted";"קובץ מדיה נמחק בהצלחה."
"media_file_not_deleted";"לא ניתן למחוק את קובץ המדיה."
"media_file_size";"גודל המדיה"
"media_files";"קובצי מדיה המוזכרים ב-GEDCOM זה"
"media_folder_corrupt";"תיקית המדיה מקולקלת."
"media_format";"מבנה המדיה"
"media_found";"ישויות מולטימדיה נמצאו"
"media_id";"קוד זיהוי של מדיה"
"media_import";"ייבא והסב מדיה"
"media_linked";"המדיה הזו מקושרת ל-"
"media_list";"רשימת המולטימדיה"
"media_not_deleted";"תיקיית המדיה לא הוסרה."
"media_not_linked";"המדיה הזו אינה מקושרת לשום רשומת GEDCOM."
"media_object";"ישות מולטימדיה:"
"media_record_deleted";"רשומת מדיה #xref# וקישורים נמחקו בהצלחה ממאגר נתונים."
"media_record_not_deleted";"לא ניתן למחוק את רשומת המדיה #xref# וקישורים ממאגר הנתונים."
"media_table_created";"טבלת <i>מדיה</i> עודכנה בהצלחה."
"media_thumb_exists";"תמונה מזערית של המדיה כבר קיימת"
"medialist_show";"הראה"
"menu";"תפריטים"
"merge_facts_same";"העובדות הבאות זהות בשתי הרשומות וימוזגו בצורה אוטומטית."
"merge_from";"מזג מקוד זיהוי:"
"merge_more";"מזג רשומות נוספות."
"merge_records";"מזג רשומות"
"merge_same";"הרשומות אינן מסוג זהה. לא ניתן למזג רשומות מסוגים שונים."
"merge_step1";"שלב מיזוג 1 מתוך 3"
"merge_step2";"שלב מיזוג 2 מתוך 3"
"merge_step3";"שלב מיזוג 3 מתוך 3"
"merge_to";"מזג לקוד זיהוי:"
"message";"הודעה"
"message_body";"גוף:"
"message_deleted";"ההודעה נמחקה"
"message_email1";"ההודעה הבאה נשלחה למשתמש ה-Genmod שלך מ-"
"message_email2";"שלחת את ההודעה הבאה למשתמש Genmod:"
"message_email3";"שלחת את ההודעה הבאה למנהלן Genmod:"
"message_empty_warning";"-> Warning!!! This message is empty in #LANGUAGE_FILE# <-"
"message_from";"כתובת דואר אלקטרוני:"
"message_from_name";"שמך:"
"message_instructions";"<b>שים לב:</b> נתונים אישיים של אנשים חיים נמסרים רק לקרובי משפחה וחברים קרובים. תתבקש לאשר את הקשר שלך לפני שתוכל לראות נתונים אישיים. לפעמים גם הנתונים של אנשים שנפטרו הם פרטיים מכיוון שאין מספיק מידע על האדם כדי לקבוע אם הוא חי או מת ולנו אין, כפי הנראה, מידע נוסף על האדם.<br /><br />נא בדוק את התאריכים, המקומות וקרובי המשפחה של האדם, כדי לוודא שמדובר באדם הנכון לפני פנייה אלינו. אנחנו מבקשים שתוסיף מידע על המקור שממנו השגת את הנתונים, במידה ותוסיף או תשנה נתונים.<br /><br />"
"message_sent";"ההודעה נשלחה"
"message_subject";"נושא:"
"message_to";"הודעה אל:"
"message_to_all";"שלח הודעה לכל המשתמשים"
"message_to_edit";"הודעה שרוצים לערוך"
"messaging";"הודעות פנימיות של Genmod"
"messaging2";"הודעות פנימיות עם דואר אלקטרוני"
"messaging3";"Genmod שולח דואר אלקטרוני ללא אחסון"
"meta_conf";"מאפייני תצורה של האתר ותווי META"
"mgv";"MyGedView"
"min_generation";"המספר המינימלי של דורות באילן יוחסין הוא 3."
"monday";"שני"
"monday_1st";"ב"
"month";"חודש:"
"month1";"חודש"
"month_before_day";"חודש לפני יום (MM DD YYYY)"
"monthly";"חדשי"
"months";"חודשים"
"more_config_hjaelp";"<br /><b>עזרה נוספת</b><br />עזרה נוספת זמינה ע"י לחיצה על ה-<b>?</b> ליד פירטי הדף.<br />"
"more_events_privacy";"<br />קיימים אירועים נוספים עבור #gm_lang[global_num4]# הימים הבאים, אבל מגבלות פרטיות מונעות ממך לראות אותם."
"more_events_privacy1";"<br />קיימים אירועים נוספים עבור מחר, אבל מגבלות פרטיות מונעות ממך לראות אותם."
"more_information";"לפרטים נוספים נא להתקשר אל "
"more_today_privacy";"<br />אירועים נוספים קיימים עבור היום, אבל מגבלות פרטיות מונעות ממך לראות אותם."
"mother";"אם"
"mothers_family_with";"משפחת אם עם "
"mousedown";"עכבר מושבת"
"mouseover";"עכבר עובר מעל"
"move_down";"העבר למטה"
"move_file_success";"קובצי מדיה והתמונה המזערית הועברו בהצלחה."
"move_left";"העבר ימינה"
"move_right";"העבר שמאלה"
"move_to";"העבר אל"
"move_up";"העבר למעלה"
"movedown_faq_item";"העבר עצם FAQ למטה"
"moveup_faq_item";"העבר עצם FAQ למעלה"
"multi_title";"רשימת מולטימדיה"
"must_provide";"יש לספק "
"my_favorites";"מועדפים שלי"
"my_indi";"נתונים אישיים שלי"
"my_journal";"היומן שלי"
"my_messages";"<span dir="ltr">הודאות שלי</span>"
"my_pedigree";"אילן היוחסין שלי"
"mygedview";"פורטל  MyGedView"
"mygedview_desc";"דף MyGedView מאפשר לך לשמור סימניות של האנשים המועדפים שלך, לעקוב אחרי מאורעות קרובים ולשתף פעולה עם משתמשי Genmod אחרים."
"mysql";"MySQL"
"myuserdata";"המשתמש שלי"
"name";"שם"
"name_contains";"השם מכיל:"
"name_description";"שם / תאור"
"name_list";"רשימת שמות"
"name_of_fact";"שם העובדה"
"name_reverse";"שם משפחה קודם"
"never";"אף פעם לא"
"new_gedcom_title";"חקר שושלת יוחסין מ-[#GEDCOMFILE#]"
"new_language";"שפת המקור"
"new_repo_created";"מאגר חדש נוצר"
"new_source_created";"מקור חדש נוצר בהצלחה."
"news_saved";"כניסת יומן/חדשות נשמרה בהצלחה."
"next";"הבא &gt;"
"next_email_sent";"התזכורת הבאה תשלח בדואר אלקטרוני ב-"
"next_path";"מצא הנתיב הבא"
"no";"לא"
"no_account_yet";"אין קוד משתמש?"
"no_additions";"אין הוספות"
"no_changes";"אין כרגע שינויים לבדיקה."
"no_children";"אין ילדים באתר"
"no_content";"אין תוכן"
"no_events_all";"אין אירוע ב-#gm_lang[global_num4]# הימים הבאים."
"no_events_all1";"אין אירועים למחר."
"no_events_living";"אין אירוע של אנשים חיים ב-#gm_lang[global_num4]# הימים הבאים."
"no_events_living1";"אין אירוע של אנשים חיים למחר."
"no_events_privacy";"קיימים אירועים עבור #gm_lang[global_num4]# הימים הבאים, אבל מגבלות פרטיות מונעות ממך לראות אותם."
"no_events_privacy1";"קיימים אירועים עבור מחר, אבל מגבלות פרטיות מונעות ממך לראות אותם."
"no_faq_items";"רשימת ה-FAQ-ים ריקה."
"no_favorites";"לא בחרת מועדפים. כדי להוסיף אדם לרשימת המועדפים שלך, מצא את פרטי האדם שברצונך להוסיף והקש על הקישור <b>הוסף למועדפים שלי</b> או השתמש בתיבת קוד הזיהוי שלמטה כדי להוסיף אדם לפי קוד הזיהוי שלו."
"no_gedcom_favorites";"כרגע אין מועדפים שנבחרו. המנהלן יכול להוסיף מועדפים שיוצגו בזמן אתחול."
"no_id";"קוד זיהוי של FAQ לא מפורט!"
"no_journal";"לא יצרת שום פריט יומן."
"no_link_found";"לא נמצא קשר (אחר) בין שני האנשים."
"no_login";"לא ניתן לאשר משתמש."
"no_login_users";"אין משתמשים מחוברים ואין משתמשים אלמוניים"
"no_logs";"נטרל בנית יומנים"
"no_matches_found";"אין עובדות מתאימות"
"no_messages";"אין הודעות תלויות ועומדות"
"no_messaging";"אין שיטת קשר"
"no_news";"לא הגשת מאמרי חדשות."
"no_open";"ש ג י א ה !!!<br /><br />לא ניתן לפתוח את הקובץ  <b>#lang_filename#</b>"
"no_results";"לא נמצאו תוצאות"
"no_subtractions";"אין הורדות"
"no_tab1";"לאדם זה אין עובדות."
"no_tab2";"לאדם זה אין הערות."
"no_tab3";"לאדם זה אין מקורות."
"no_tab4";"לאדם זה אין מדיה."
"no_tab5";"לאדם זה אין קרובי משפחה."
"no_tab6";"לאדם זה אין תוספת יומן מחקר."
"no_temple";"אין הסמכה חיה של המקדש"
"no_thumb_dir";"תיקית התמונות המזעריות לא קיימת ולא ניתן ליצור אותה עבורך"
"no_to_user";"לא סיפקת משתמש מקבל. לא ניתן להמשיך."
"no_upload";"העלאת קובצי מדיה אינה מותרת משום שפריטי מולטי-מדיה נפסלו או משום שלא ניתן לכתוב בתיקיית המדיה."
"none";"אין"
"none_today_all";"אין אירועים להיום."
"none_today_living";"אין אירוע של אנשים חיים להיום."
"none_today_privacy";"קיימים אירועים להיום, אבל הגבלות הפרטיות מונעות ממך לראותם."
"not_an_array";"לא מערך"
"not_writable";"גילינו ש-PHP לא יכול לכתוב על קובץ התצורה שלך. אתה יכול להשתמש בכפתור <b>#gm_lang[download_file]#</b> כדי לשמור את ההגדרה שלך לתוך קובץ שאותו תוכל להעלות ידנית."
"note";"הערה"
"notes";"הערות"
"notes_sources_media";"הערות, מקורות ומדיה"
"nov";"נובמבר"
"now_import";"עתה יש לייבא את רשומות ה-GEDCOM לתוך Genmod על ידי הקשה על הקישור ייבא למטה."
"num_to_show";"מספר פריטים להצגה"
"number_children";"מספר הילדים: "
"number_sign";"#"
"nurse";"אחות מטפלת"
"object_note";"הערות הישות:"
"oct";"אוקטובר"
"of";"מתוך"
"old_language";"שפה משנית"
"oldest_top";"הראה את הישן למעלה"
"on_this_day";"ביום הזה - בהיסטוריה שלך..."
"optional";"כלי רשות"
"optional_tools";"ניתן להריץ את הכלים האופציונליים הבאים לפני ייבוא."
"options";"אפשרויות:"
"order";"מיין"
"orientation";"כוון"
"original_lang_name";"שם המקורי של השפה ב#D_LANGNAME#"
"original_message";"הודעה מקורית"
"other";"אחר"
"other_records";"הנתונים הקשורים למקור זה:"
"other_repo_records";"רשומות קשורות למאגר זה:"
"other_theme";"אחר, הקלד"
"page";"דף"
"parent";"הורה"
"parents";"הורים:"
"parents_and_child";"הוסף רשומות הורים וילדים לרשומת המשפחה הזו."
"parents_and_family";"הוסף רשומות הורים לרשומת המשפחה הזו."
"parents_desc";"הוסף רשומות הורים וכל הצאצאים למשפחה זו."
"parents_timeline";"הצג הזוג על תרשים קו הזמן"
"password";"סיסמא"
"password_mismatch";"הסיסמאות אינן מתאימות."
"passwordlength";"אורך הסיסמא לפחות 6 תווים."
"paste_id_into_field";"הדבק את קוד הזיהוי של המקור הבא לשדות העריכה כדי שניתן יהיה להתייחס למקור זה"
"paste_person";"הדבק אדם"
"paste_rid_into_field";"הדבק את זיהוי המאגר הבא לשדות העריכה כדי להתיחס למאגר זה "
"path_to_gedcom";"הכניס נתיב לקובץ ה-GEDCOM שלך:"
"patriarch_list";"רשימת ראשי בית-אב"
"pdf_reports";"דו"חות PDF"
"pedigree_chart";"אילן יוחסין"
"people";"אנשים"
"per_page";"לדף"
"performing_update";"מבצע עדכון:"
"performing_validation";"ביצוע בדיקת GEDCOM, בחר באפשרויות הדרושות ולחץ על <b>ניקיון</b>."
"person1";"אדם א'"
"person2";"אדם ב'"
"person_ancestor_fams";"הוסף אדם זה ואב-אבותיו הישירים ומשפחותיהם."
"person_ancestors";"הוסף אדם זה ואב-אבותיו הישירים."
"person_desc";"הוסף אדם זה, בן/בת זוגו ואת כל הצאצאים."
"person_facts";"ערכי פרטיות של נתונים אישיים"
"person_links";"קישורים לתרשימים, משפחות וקרובי משפחה של אדם זה. יש ללחוץ על הצלמית הזו להצגת העמוד כאשר אדם זה בתחילתו."
"person_list";"רשימת שמות:"
"person_living";"אדם זה חי. נתונים אישיים אינם נכללים."
"person_parents_sibs";"הוסף אדם זה ואחיו ואחיותיו."
"person_privacy";"ערכי פרטיות של אנשים"
"person_private";"נתוני אדם זה אישיים. נתונים אישיים אינם נכללים."
"person_spouse";"הוסף אדם זה, בן/בת זוגו וילדיו."
"personal_facts";"עובדות אישיות בפרוט"
"phone";"טלפון:"
"photo_replace";"האם ברצונך להחליף תמונה ישנה יותר בתמונה זו?"
"phpinfo";"נתוני PHP"
"place_cleanup_detected";"התגלו מקומות במבנה שגוי. יש לתקן את השגיאות."
"place_contains";"מקום מכיל:"
"place_description";"מקום / תיאור"
"place_list";"היררכית המקומות"
"place_list2";"רשימת מקומות"
"place_list_aft";"היררכית המקומות אחרי"
"please_be_patient";"סבלנות בבקשה"
"please_wait";"נא להמתין בזמן שקובצי אינדקס נבנים."
"pls_note06";"נשלח לך דואר של אישור לכתובת האלקטרונית ( #user_email# ). עליך לאשר את בקשת קוד המשתמש שלך לפי ההוראת המופיעות בדאר של האישור. אם לא תאשר את בקשת קוד המשתמש תוך שבעה ימים,  הבקשה לקוד משתמש תדחה באופן אוטומטי. עליך להרשם שנית.<br /><br />אחרי שתנהג לפי ההוראות המופיעות בדאר של האישור, על המנהלן עדיין לאשר את המשתמש שלך לפני שיהיה ניתן להשתמש בקוד המשתמש שלך.<br /><br />כדי להתחבר לאתר זה, עליך לדעת את קוד המשתמש והסיסמא שלך.<br /><br />"
"pls_note06a";"נשלח לך דואר של אישור לכתובת האלקטרונית ( #user_email# ). עליך לאשר את בקשת קוד המשתמש שלך לפי ההוראת המופיעות בדאר של האישור. אם לא תאשר את בקשת קוד המשתמש תוך שבעה ימים,  הבקשה לקוד משתמש תדחה באופן אוטומטי. עליך להרשם שנית.<br /><br />אחרי שתנהג לפי ההוראות המופיעות בדאר של האישור תוכל להתחבר לאתר. כדי להתחבר לאתר זה, עליך לדעת את קוד המשתמש והסיסמא שלך.<br /><br />"
"pls_note07";"~#gm_lang[user_verify]#~<br /><br />כדי לאשר את הבקשה שלך לקוד משתמש, הכנס את קוד המשתמש, הסיסמא וקוד האישור שקיבלת בדואר האלקטרוני."
"pls_note08";"הנתונים על המשתמש #user_name# נבדקו."
"pls_note09";"אישרת את בקשתך לקוד משתמש רשום."
"pls_note10";"הודעה נשלחה למנהלן. תוכל להתחבר עם קוד המשתמש והסיסמא שלך אחרי שהמנהלן יתן את אישורו."
"pls_note10a";"תוכל עכשיו להתחבר עם קוד המשתמש והסיסמה שלך."
"pls_note11";"~#gm_lang[lost_pw_reset]#~<br /><br />כדי שנוכל לשנות את סיסמתך עליך לספק את קוד המשתמש שלך ואת הכתובת האלקטרונית שלך .<br /><br />נשלח לך בדואר אלקטרוני כתובת אינטרנט מיוחדת וקוד אישור עבור קוד המשתמש שלך. בביקור בכתובת האינטרנט תוכל לשנות את סיסמתך ולהתחבר לאתר. מסיבות בטחון אין למסור את קוד האישור הזה לאף אחד, גם לא לאיש הטכני של האתר (אנו לא נבקש את המידע). <br /><br />במידה ותזדקק לסיוע טכני אנא השתמש בקישור בתחתית הדף."
"pls_note12";"אנא השתמש בשדה זה לתאר מדוע אתה מבקש קוד משתמש לאתר זה ומה הקשר שלך לנתוני חקר המשפחה הזה."
"portal_config_intructions";"#gm_lang[customize_page]# <br /> #gm_lang[customize_gedcom_page]#~<br /><br />תוכל לבצע התאמה אישית לדף ע"י הצבת אזורים על הדף לפי רצונך.<br /><br />הדף מחולק לשני חלקים, החלק ה<b>ראשי</b> והחלק ה<b>ימני</b>. האזורים בחלק ה<b>ראשי</b> גדולים יותר ומופיעים מתחת לכותרת של הדף. החלק ה<b>ימני</b> מתחיל מימין לכותרת ויורד כלפי מטה בצד הימני של הדף.<br /><br />לכל חלק יש רשימת האזורים שלו, שיוצגו על הדף בסדר שהם רשומים. ניתן להוסיף, להוריד ולשנות את הסדר של האזורים לפי רצונך.<br /><br />אם אחת הרשימות של האזורים ריקה, האזורים הנותרים תופסים את כל רוחב הדף.<br /><br />"
"portrait";"תצוגה צפופה"
"position_item";"מיקום עצם"
"preferred_lang";"המשתמש מעדיף לקבל הודעות בשפה #USERLANG#"
"prev";"&lt; הקודם"
"preview";"הצגה מוקדמת"
"preview_faq_item";"הצגה מוקדמת של כל עצמי FAQ"
"priest";"כומר"
"print";"הדפס"
"print_preview";"גרסה ידידותית להדפסה"
"privacy";"אישי"
"privacy_error";".הנתונים על אדם זה הם אישיים<br />"
"privacy_header";"ערוך הגדרות פרטיות"
"privacy_indi";"אישי"
"privacy_indi_id";"קוד זיהוי אישי"
"privacy_indi_source";"אישי / מקור"
"privacy_list_fam_error";"עקב חוקי פרטיות, משפחה אחת או יותר מוסתרות."
"privacy_list_indi_error";"עקב חוקי פרטיות, אדם אחד או יותר מוסתרים."
"privacy_not_granted";"אין לך גישה ל-"
"privacy_prevented_editing";"הגדרות הפרטיות מונעות ממך לערוך את הרשומה."
"privacy_source";"מקור"
"privacy_source_id";"קוד זיהוי מקור"
"private";"אישי"
"privileges";"זכויות"
"processed_for";"עבד קובץ עבור "
"provide_email";"ספק את כתובת הדואר האלקטרוני שלך, כדאי שנוכל ליצור קשר אתך בנוגע להודעה זו. אם לא תספק את הכתובת לא נוכל להגיב לפנייתך. כתובת הדואר תשמש אך ורק לתגובה לפניה זו."
"publication";"פרסום:"
"pwreqinfo";"שלום...<br /><br />דואר הכולל סיסמא חדשה נישלח לכתובת אלקטרונית.<br /><br />בדוק את תיבת הדואר שלך מכיוון שהדואר יתקבל תוך מספר דקות.<br /><br />המלצה:<br />אחרי שתקבל את הדואר התחבר לאתר זה עם סיסמתך החדשה ושנה את הסיסמא כדי לשמור על שלמות הנתונים."
"qm";"?"
"qm_ah";"?"
"query";"שאילתא"
"quick_update_instructions";"הדף מאפשר עדכון מהיר של נתוני אדם. עליך למלא נתונים חדשים או נתונים שהשתנו לעומת הקיים באתר. לאחר שהשינויים שלך ישודרו, המינהלן יבדוק אותם לפני שכולם יוכלו לראותם באתר."
"quick_update_title";"עדכון מהיר"
"rabbi";"רב"
"random_media_block";"מדיה אקראית"
"random_media_descr";"אזור מדיה אקראית בוחר בצורה אקראית תמונה או פריט מדיה אחר מהמאגר הנתונים הפעיל ומציג אותו למשתמש."
"random_picture";"תמונה אקראית"
"reading_file";"קובץ GEDCOM בקריאה"
"readme_documentation";"תיעוד (Readme)"
"rebuild_indexes";"בנה אינדקסים מחדש"
"recent_changes";"השינויים האחרונים"
"recent_changes_block";"השינויים האחרונים"
"recent_changes_descr";"אזור השינויים האחרונים מציג את כל השינויים שנעשו למאגר המידע בחודש האחרון. האזור יעזור לך להיות מעודכן לגבי השינויים. השינויים מוצגים על סמך נתון CHAN (תאריך השינוי האחרון) שמוגדר בתקן של ה-GEDCOM."
"recent_changes_none";"<b>לא היו שינויים במשך #gm_lang[global_num3]# הימים האחרונים.</b><br />"
"recent_changes_some";"<b>שינויים שבוצאו תוך #gm_lang[global_num3]# הימים האחרונים</b><br />"
"recent_events";"אירועים ב-100 השנים האחרונות"
"record";"רשומה"
"record_copied";"הרשומה הועתקה ללוח הגזירים"
"record_not_removed";"לא ניתן להסיר את רשומת #xref# מה-GEDCOM."
"record_not_updated";"לא ניתן לעדכן את רשומת #pid#."
"record_removed";"רשומת #xref# נמחקה בהצלחה מה-GEDCOM."
"record_updated";"רשומת #pid# עודכנה בהצלחה."
"refresh";"רענן"
"register_info_01";"~בקשת קוד משתמש חדש~<br /><br />יתכן שכמות המידע שניתן לראות בגלוי באתר זה מוגבלת בהתאם לחוקים הקשורים להגנת הפרטיות. אנשים רבים אינם רוצים שנתונים אישיים שלהם יהיו ניתנים לצפייה בגלוי באינטרנט. יתכן שיעשה שימוש לרעה בנתונים אישיים או גניבת זהות.<br /><br />כדי לקבל גישה לנתונים פרטיים, עליך להיות בעל קוד משתמש. לאחר בדיקת נתוניך על ידי המנהלן ואישור בקשת קוד המשתמש, תוכל להתחבר למערכת.<br /><br />אם תופעל פרטיות של קרובי משפחה, תוכל לצפות, לאחר שתתחבר, רק בנתוני קרובי המשפחה שלך. המנהלן יכול לאפשר עדכון מאגר הנתונים למשתמשים מסויימים, כך שהם יכולים לשנות או להוסיף נתונים.<br /><br />אם הנך זקוק לסיוע נוסף, השתמש בקישור שלמטה כדי להתקשר למנהלן.<br /><br />"
"register_info_02";"~בקשת קוד משתמש חדש~<br /><br />יתכן שכמות המידע שניתן לראות בגלוי באתר זה מוגבלת בהתאם לחוקים הקשורים להגנת הפרטיות. אנשים רבים אינם רוצים שנתונים אישיים שלהם יהיו ניתנים לצפייה בגלוי באינטרנט. יתכן שיעשה שימוש לרעה בנתונים אישיים או גניבת זהות.<br /><br />גישה לאתר זה מותרת למשתמשים <u>מורשים</u> בלבד. לאחר בדיקת נתוניך על ידי המנהלן ואישור בקשת קוד המשתמש, תוכל להתחבר למערכת ולצפות בנתונים פרטיים.<br /><br />אם תופעל פרטיות של קרובי משפחה, תוכל לצפות, לאחר שתתחבר, רק בנתוני קרובי המשפחה שלך. המנהלן יכול לאפשר עדכון מאגר הנתונים למשתמשים מסויימים, כך שהם יכולים לשנות או להוסיף נתונים.<br /><br />אם הנך זקוק לסיוע נוסף, השתמש בקישור שלמטה כדי להתקשר למנהלן.<br /><br />"
